[Main]
Experiment = "VvsI"
Header length = 70    
Date = "20181214 18:11:18"
Comments = "SD: 3I+ to 1I-; voltage1: 2I- to 2I+; voltage2h: 2I- to 3I-"

[System]
System = "PPMS"
Magnet stability range (G) = 5.000000E+1
Magnet check interval (s) = 1.000000E+0
Magnet approach mode = "Linear Approach"
Magnet mode = "Persistent"
Temperature stability time (s) = 1.000000E+0
Temperature approach mode = "Fast Settle"

[Static Magnetic Field]
Set initial magnetic field = TRUE
Initial magnetic field (T) = 0.000000E+0
Delay after setting initial field (s) = 0.000000E+0
Initial field ramp rate (G/min) = 1.000000E+2
Wait for initial field to stabilize = TRUE
Set finish magnetic field = FALSE

[Dynamic Temperature]
Initial temperature (K) = 3.000000E+2
Final temperature (K) = 2.000000E+0
Ramp rate (K/min) = 1.000000E+1
Step control = "Step Control"
Temperature interval (K) = 1.000000
Stability Temperature (K) = 0.200000
Stability time (s) = FALSE
Go to other temperature at finish = FALSE

[Static Voltage 0]
Voltage meter = "Keithley 2182A"
Auto-range = TRUE
GPIB = "07"
Range (V) = 1.000000E-3
Speed = 1.000000

[Static Voltage 1]
Voltage meter = "Keithley 2182A"
Auto-range = TRUE
GPIB = "08"
Range (V) = 1.000000E-3
Speed = 1.000000

[Static Voltage 2]
Voltage meter = "Keithley 6430"
Auto-range = FALSE
GPIB = "21"
Range (V) = 5.000000E+0
Speed = 1.000000

[Dynamic Current]
Operating mode = "Linear"
Current source = "Keithley 6430"
GPIB = "21"
Initial current (A) = 1.000000E-6
Final current (A) = 1.000000E-6
Current step (A) = 1.000000E-12
Number of measurement sequences = 1.000000E+0
Samples/sequence = 3.000000E+1
Pre-measuement delay (s) = 1.000000E+0
Output limit (V) = 5.000000
Auto-range = FALSE
Manual range (A) = 0.000001
Check output compliance = TRUE
Inital delay (s) = 0.000000
Time (s)	Temperature (K)	Current (A)	Voltage 1 (V)	Voltage 2 (V)	Voltage 3 (V)	STD_Voltage 1 (V)	STD_Voltage 2 (V)	STD_Voltage 3 (V)	Resistance 1 (Ohms)	Resistance 2 (Ohms)	Resistance 3 (Ohms)	STD_Resistance 1 (Ohms)	STD_Resistance 2 (Ohms)	STD_Resistance 3 (Ohms)	Magnetic Field (T)
2.165075779E+0	299.995500000E+0	1.000000000E-6	166.133086200E-6	-42.744742830E-6	1.226131633E-3	120.312139025E-9	192.177795785E-9	5.257754466E-6	166.133086190E+0	-42.744742827E+0	1.226131633E+3	120.312139018E-3	192.177795773E-3	5.257754466E+0	-41.356602311E-6
110.304115772E+0	299.134900000E+0	1.000000000E-6	167.720724300E-6	-43.131665677E-6	1.236287917E-3	139.895008490E-9	136.897395003E-9	5.045065239E-6	167.720724290E+0	-43.131665674E+0	1.236287917E+3	139.895008481E-3	136.897394994E-3	5.045065238E+0	-41.356602311E-6
152.994554520E+0	298.079700000E+0	1.000000000E-6	169.822135700E-6	-43.601758422E-6	1.253266467E-3	145.619227080E-9	153.944839668E-9	5.674130876E-6	169.822135689E+0	-43.601758419E+0	1.253266467E+3	145.619227071E-3	153.944839659E-3	5.674130875E+0	-41.356602311E-6
190.157650471E+0	297.142600000E+0	1.000000000E-6	171.830006333E-6	-44.115475137E-6	1.268773333E-3	145.795931611E-9	143.076029420E-9	5.386039016E-6	171.830006323E+0	-44.115475134E+0	1.268773333E+3	145.795931602E-3	143.076029411E-3	5.386039015E+0	-41.356602311E-6
231.490282536E+0	296.084500000E+0	1.000000000E-6	174.050067533E-6	-44.606733103E-6	1.288583150E-3	134.064511201E-9	154.993357047E-9	5.421244174E-6	174.050067523E+0	-44.606733101E+0	1.288583150E+3	134.064511193E-3	154.993357037E-3	5.421244174E+0	-41.356602311E-6
271.876286983E+0	295.115200000E+0	1.000000000E-6	176.205481667E-6	-45.110903758E-6	1.304673717E-3	132.445943848E-9	155.590004786E-9	4.979979942E-6	176.205481656E+0	-45.110903756E+0	1.304673717E+3	132.445943840E-3	155.590004777E-3	4.979979942E+0	-41.356602311E-6
313.280648708E+0	294.089700000E+0	1.000000000E-6	178.464132200E-6	-45.567720737E-6	1.324426867E-3	133.553559529E-9	164.232896780E-9	5.115966001E-6	178.464132189E+0	-45.567720734E+0	1.324426867E+3	133.553559521E-3	164.232896770E-3	5.115966001E+0	-41.356602311E-6
357.952075005E+0	293.067800000E+0	1.000000000E-6	180.696880950E-6	-46.156075183E-6	1.341775883E-3	152.268002735E-9	183.627611116E-9	5.224600461E-6	180.696880939E+0	-46.156075180E+0	1.341775883E+3	152.268002725E-3	183.627611104E-3	5.224600461E+0	-41.356602311E-6
402.370527267E+0	292.063700000E+0	1.000000000E-6	182.860586317E-6	-46.630773863E-6	1.360698433E-3	135.588427360E-9	159.189845617E-9	5.141654770E-6	182.860586305E+0	-46.630773860E+0	1.360698433E+3	135.588427352E-3	159.189845607E-3	5.141654769E+0	-41.356602311E-6
445.919804096E+0	291.086500000E+0	1.000000000E-6	184.971940417E-6	-47.098583472E-6	1.376831317E-3	123.103112333E-9	156.140542202E-9	4.993752698E-6	184.971940405E+0	-47.098583469E+0	1.376831317E+3	123.103112325E-3	156.140542192E-3	4.993752697E+0	-41.356602311E-6
