[Main]
Experiment = ""
Header length = 65    
Date = "20181214 22:04:59"
Comments = "SD: 3I+ to 1I-; voltage1: 2I- to 2I+; voltage2h: 2I- to 3I-"

[System]
System = "PPMS"
Magnet stability range (G) = 5.000000E+1
Magnet check interval (s) = 1.000000E+0
Magnet approach mode = "Linear Approach"
Magnet mode = "Persistent"
Temperature stability time (s) = 1.000000E+0
Temperature approach mode = "Fast Settle"

[Static Magnetic Field]
Set initial magnetic field = FALSE
Set finish magnetic field = FALSE

[Static Temperature]
Set initial temperature = TRUE
Initial temperature (K) = 3.000000E+0
Delay after setting initial temperature (s) = 1.000000E+1
Initial temperature stabilization (K) = 2.000000E-1
Initial temperature ramp rate (K/min) = 1.000000E+1
Wait for initial temperature to stabilize = TRUE
Set final temperature = FALSE

[Static Voltage 0]
Voltage meter = "Keithley 2182A"
Auto-range = TRUE
GPIB = "07"
Range (V) = 1.000000E-3
Speed = 1.000000

[Static Voltage 1]
Voltage meter = "Keithley 2182A"
Auto-range = TRUE
GPIB = "08"
Range (V) = 1.000000E-3
Speed = 1.000000

[Static Voltage 2]
Voltage meter = "Keithley 6430"
Auto-range = TRUE
GPIB = "21"
Range (V) = 2.000000E+1
Speed = 1.000000

[Dynamic Current]
Operating mode = "Linear+Reveresed"
Current source = "Keithley 6430"
GPIB = "21"
Initial current (A) = -1.000000E-6
Final current (A) = 1.000000E-6
Current step (A) = 1.000000E-8
Number of measurement sequences = 1.000000E+0
Samples/sequence = 3.000000E+1
Pre-measuement delay (s) = 1.000000E+0
Output limit (V) = 20.000000
Auto-range = TRUE
Manual range (A) = 0.000010
Check output compliance = TRUE
Inital delay (s) = 1.000000
Time (s)	Current (A)	Voltage 1 (V)	Voltage 2 (V)	Voltage 3 (V)	STD_Voltage 1 (V)	STD_Voltage 2 (V)	STD_Voltage 3 (V)	Resistance 1 (Ohms)	Resistance 2 (Ohms)	Resistance 3 (Ohms)	STD_Resistance 1 (Ohms)	STD_Resistance 2 (Ohms)	STD_Resistance 3 (Ohms)	dI/dV 1 (A/V)	dI/dV 2 (A/V)	dI/dV 3 (A/V)	Magnetic Field (T)	Temperature (K)
499.248504639E-6	-1.000000000E-6	-17.138759903E-3	658.491402700E-6	-136.216373333E-3	14.035482596E-6	42.162598137E-6	12.733500029E-6	17.138759903E+3	-658.491402700E+0	136.216373333E+3	14.035482596E+0	42.162598137E+0	12.733500029E+0	NaN	NaN	NaN	-41.356602311E-6	3.000400000E+0
7.009263515E+0	-990.000000000E-9	-16.996767040E-3	644.893330900E-6	-135.095250000E-3	8.618267257E-6	40.446059532E-6	14.194504765E-6	17.168451556E+3	-651.407404949E+0	136.459848485E+3	8.705320461E+0	40.854605588E+0	14.337883601E+0	70.426074700E-6	-735.398381997E-6	8.919625257E-6	-41.356602311E-6	3.000800000E+0
12.822240353E+0	-980.000000000E-9	-16.835676707E-3	636.581955433E-6	-133.914340000E-3	10.819675906E-6	41.595955309E-6	24.887146662E-6	17.179261946E+3	-649.573423912E+0	136.647285714E+3	11.040485618E+0	42.444852357E+0	25.395047614E+0	62.076971306E-6	-1.203170286E-3	8.468045829E-6	-41.356602311E-6	2.999700000E+0
18.700462818E+0	-970.000000000E-9	-16.673910140E-3	624.940301033E-6	-132.735413333E-3	9.408739416E-6	44.829068463E-6	18.258011625E-6	17.189598082E+3	-644.268351581E+0	136.840632302E+3	9.699731357E+0	46.215534498E+0	18.822692397E+0	61.817470730E-6	-858.984441249E-6	8.482291802E-6	-41.356602311E-6	3.000200000E+0
24.567371368E+0	-960.000000000E-9	-16.525413727E-3	614.968906533E-6	-131.568550000E-3	9.698892341E-6	42.827769265E-6	25.542996206E-6	17.213972632E+3	-640.592610972E+0	137.050572917E+3	10.103012856E+0	44.612259651E+0	26.607287714E+0	67.341693820E-6	-1.002868756E-3	8.569983917E-6	-41.356602311E-6	3.001100000E+0
30.409477234E+0	-950.000000000E-9	-16.363828233E-3	612.316108433E-6	-130.393330000E-3	9.419921313E-6	41.687663261E-6	27.781724953E-6	17.225082351E+3	-644.543272035E+0	137.256136842E+3	9.915706646E+0	43.881750801E+0	29.243921003E+0	61.886743628E-6	-3.769604630E-3	8.509045115E-6	-41.356602311E-6	2.999200000E+0
36.281565189E+0	-940.000000000E-9	-16.200882890E-3	609.296408333E-6	-129.206336667E-3	11.086259544E-6	40.466140563E-6	22.927403921E-6	17.234981798E+3	-648.187668440E+0	137.453549645E+3	11.793893132E+0	43.049085705E+0	24.390855236E+0	61.370271745E-6	-3.311587134E-3	8.424647148E-6	-41.356602311E-6	2.999700000E+0
42.135308266E+0	-930.000000000E-9	-16.046795760E-3	600.506828000E-6	-128.047850000E-3	11.567619851E-6	44.813978992E-6	18.033335989E-6	17.254619097E+3	-645.706266667E+0	137.685860215E+3	12.438300915E+0	48.187074185E+0	19.390683859E+0	64.898346799E-6	-1.137710746E-3	8.631950878E-6	-41.356602311E-6	3.000300000E+0
48.052640915E+0	-920.000000000E-9	-15.882029000E-3	583.703593367E-6	-126.899010000E-3	9.328494689E-6	39.171259397E-6	25.540344690E-6	17.263075000E+3	-634.460427572E+0	137.933706522E+3	10.139668140E+0	42.577455867E+0	27.761244229E+0	60.691853138E-6	-595.123511527E-6	8.704432297E-6	-41.356602311E-6	2.999200000E+0
53.950750828E+0	-910.000000000E-9	-15.727511927E-3	582.469124733E-6	-125.677086667E-3	11.511431794E-6	44.906911968E-6	27.504704718E-6	17.282980139E+3	-640.075961245E+0	138.106688645E+3	12.649925049E+0	49.348254910E+0	30.224950239E+0	64.717767327E-6	-8.100651349E-3	8.183819498E-6	-41.356602311E-6	3.000700000E+0
