[Main]
Experiment = "VvsI"
Header length = 69    
Date = "20181215 00:20:13"
Comments = "SD: 3I+ to 1I-; voltage1: 2I- to 2I+; voltage2h: 2I- to 3I-"

[System]
System = "PPMS"
Magnet stability range (G) = 5.000000E+1
Magnet check interval (s) = 1.000000E+0
Magnet approach mode = "Linear Approach"
Magnet mode = "Persistent"
Temperature stability time (s) = 1.000000E+0
Temperature approach mode = "Fast Settle"

[Static Temperature]
Set initial temperature = FALSE
Set final temperature = FALSE

[Dynamic magnetic field]
Initial field (T) = 9.000000E+0
Final field (T) = -9.000000E+0
Measurement interval (T) = 1.000000E-1
Ramp rate (G/s) = 1.000000E+2
Delay after field step (s) = 1.000000E+0
Measurement Pattern = "Linear"
Go to other field at finish = TRUE
Finish field (T) = 0.000000
Finish ramp rate (G/s) = 100.000000
Delay before setting finish field (s) = 0.000000
Stabilize finish field = TRUE

[Static Voltage 0]
Voltage meter = "Keithley 2182A"
Auto-range = TRUE
GPIB = "7"
Range (V) = 1.000000E-3
Speed = 1.000000

[Static Voltage 1]
Voltage meter = "Keithley 2182A"
Auto-range = TRUE
GPIB = "8"
Range (V) = 1.000000E-3
Speed = 1.000000

[Static Voltage 2]
Voltage meter = "Keithley 6430"
Auto-range = TRUE
GPIB = "21"
Range (V) = 5.000000E+0
Speed = 1.000000

[Dynamic Current]
Operating mode = "Linear"
Current source = "Keithley 6430"
GPIB = "21"
Initial current (A) = 1.000000E-6
Final current (A) = 1.000000E-6
Current step (A) = 1.000000E-12
Number of measurement sequences = 1.000000E+0
Samples/sequence = 3.000000E+1
Pre-measuement delay (s) = 1.000000E+0
Output limit (V) = 5.000000
Auto-range = TRUE
Manual range (A) = 0.000001
Check output compliance = TRUE
Inital delay (s) = 0.000000
Time (s)	Magnetic Field (T)	Current (A)	Voltage 1 (V)	Voltage 2 (V)	Voltage 3 (V)	STD_Voltage 1 (V)	STD_Voltage 2 (V)	STD_Voltage 3 (V)	Resistance 1 (Ohms)	Resistance 2 (Ohms)	Resistance 3 (Ohms)	STD_Resistance 1 (Ohms)	STD_Resistance 2 (Ohms)	STD_Resistance 3 (Ohms)	Temperature (K)
4.068225384E+0	9.000017969E+0	1.000000000E-6	2.939864690E-3	-138.988772583E-6	25.267769167E-3	2.562193538E-6	4.135122124E-6	12.617927371E-6	2.939864690E+3	-138.988772575E+0	25.267769165E+3	2.562193538E+0	4.135122124E+0	12.617927371E+0	32.533200000E+0
101.741174221E+0	8.900029688E+0	1.000000000E-6	2.891308314E-3	-135.385140283E-6	24.826888500E-3	2.624775074E-6	3.100191390E-6	17.611495348E-6	2.891308314E+3	-135.385140275E+0	24.826888498E+3	2.624775074E+0	3.100191390E+0	17.611495347E+0	33.358000000E+0
144.891935349E+0	8.800014844E+0	1.000000000E-6	2.869955163E-3	-134.326942800E-6	24.637764833E-3	2.827544824E-6	2.981389344E-6	7.924180548E-6	2.869955163E+3	-134.326942792E+0	24.637764832E+3	2.827544824E+0	2.981389343E+0	7.924180547E+0	33.714300000E+0
188.036343098E+0	8.700017969E+0	1.000000000E-6	2.849530218E-3	-133.204483683E-6	24.452252167E-3	2.904306876E-6	2.844771784E-6	11.004696871E-6	2.849530218E+3	-133.204483675E+0	24.452252165E+3	2.904306876E+0	2.844771784E+0	11.004696870E+0	34.063400000E+0
231.163698196E+0	8.600017969E+0	1.000000000E-6	2.829716884E-3	-132.959313950E-6	24.275498500E-3	2.008265027E-6	2.784194277E-6	12.152975687E-6	2.829716884E+3	-132.959313942E+0	24.275498498E+3	2.008265027E+0	2.784194277E+0	12.152975686E+0	34.411900000E+0
274.216187954E+0	8.500023437E+0	1.000000000E-6	2.809729229E-3	-132.843918933E-6	24.102496167E-3	1.908428191E-6	2.582054636E-6	9.708679450E-6	2.809729229E+3	-132.843918925E+0	24.102496165E+3	1.908428191E+0	2.582054636E+0	9.708679450E+0	34.755000000E+0
317.366496563E+0	8.400021875E+0	1.000000000E-6	2.791496126E-3	-132.261557567E-6	23.936476167E-3	2.783914235E-6	2.847607674E-6	9.963995419E-6	2.791496125E+3	-132.261557558E+0	23.936476165E+3	2.783914235E+0	2.847607673E+0	9.963995419E+0	35.093200000E+0
360.479344845E+0	8.300021875E+0	1.000000000E-6	2.773062002E-3	-131.510002900E-6	23.767335500E-3	2.954201697E-6	2.587443858E-6	10.394429017E-6	2.773062002E+3	-131.510002892E+0	23.767335499E+3	2.954201697E+0	2.587443858E+0	10.394429017E+0	35.426100000E+0
403.614051819E+0	8.200012500E+0	1.000000000E-6	2.755407975E-3	-130.911149933E-6	23.610332667E-3	2.544220387E-6	2.536264517E-6	7.104823196E-6	2.755407975E+3	-130.911149925E+0	23.610332665E+3	2.544220387E+0	2.536264517E+0	7.104823195E+0	35.751700000E+0
446.731832027E+0	8.100018750E+0	1.000000000E-6	2.737886092E-3	-131.551487067E-6	23.455695333E-3	2.111361465E-6	2.757775986E-6	9.029528634E-6	2.737886091E+3	-131.551487058E+0	23.455695332E+3	2.111361464E+0	2.757775985E+0	9.029528634E+0	36.074500000E+0
