[Main]
Experiment = "IvsV"
Header length = 54    
Date = "20190903 14:18:10"
Comments = "SD: 1Vb to 2V-, BG: 2Va to 2V-, volt1: 1I- to 2I+, volt2: 1V- to 2Vb"

[System]
System = "PPMS"
Magnet stability range (G) = 5.000000E+1
Magnet check interval (s) = 1.000000E+0
Magnet approach mode = "Linear Approach"
Magnet mode = "Persistent"
Temperature stability time (s) = 1.000000E+0
Temperature approach mode = "Fast Settle"

[Dynamic Gate Voltage]
Pattern = "Linear+Reveresed"
Cycles = 1
Initial gate voltage (V) = -7.500000E+1
Final gate voltage (V) = 7.500000E+1
Measurement interval (V) = 2.500000E+1
Ramp step (V) = 1.000000E-1
Ramp delay (s) = 1.000000
Pre-measurement Delay = 3.000000E+2
Leak current measurement threshold = 1.000000
Check compliance = TRUE
Gate voltage source type = "Keithley 2400"
GPIB = "GPIB0::16::INSTR"
Gate leak limit (A) = 1.000000E-6
Autorange = TRUE
Number of current measurements = 30
Speed = 1.000000
Set finish gate voltage = TRUE
Finish gate voltage (V) = 0.000000E+0
Finish gate ramp step (V) = 1.000000E-1
Finish gate ramp delay (s) = 1.000000E+0

[Dynamic Voltage]
Voltage source = "Keithley 6430"
GPIB = "GPIB0::9::INSTR"
Initial Voltage (V) = 0.000000E+0
Final Voltage (V) = 10.000000E+0
Voltage step (V) = 200.000000E-3
Number of measurement sequences = 1.000000E+0
Samples/sequence = 30.000000E+0
Pre-measuement delay (s) = 1.000000E+0
Current limit (A) = 100.000000E-6
Auto-range = TRUE
Manual range (V) = 10.000000E+0
Measurement Type = "Static"
Pattern = "Linear"
Check compliance = TRUE
Measurement Speed = 1.000000
Time (s)	Gate Voltage (V)	Gate Leak Current (A)	Voltage 1 (V)	Current (A)	STD_Current (A)	Resistance 1 (Ohms)	STD_Resistance 1 (Ohms)	di/dv (A/V)	Voltage 2 (V)	Voltage 3 (V)	STD_Voltage 2 (V)	STD_Voltage 3 (V)	Resistance 2 (Ohms)	Resistance 3 (Ohms)	STD_Resistance 2 (Ohms)	STD_Resistance 3 (Ohms)
5.969952649E+3	50.000000000E+0	153.443871729E-12	0.000000000E+0	-421.842152333E-12	482.354307576E-12	-0.000000000E+0	0.000000000E+0	NaN	-5.111699000E-3	-4.122904065E-3	334.110331111E-6	447.132982358E-6	12.117563339E+6	9.773570617E+6	792.026897415E+3	1.059953302E+6
5.982004779E+3	50.000000000E+0	168.933733669E-12	200.000002980E-3	31.862326333E-9	321.696809332E-12	6.277005668E+6	63.375557526E+3	161.420840023E-9	56.440639040E-3	80.813782693E-3	387.499684325E-6	468.689061447E-6	1.771391029E+6	2.536342822E+6	12.161688392E+3	14.709819256E+3
5.989380085E+3	50.000000000E+0	164.262184410E-12	400.000005960E-3	57.969614667E-9	370.014902009E-12	6.900166721E+6	44.043151362E+3	130.536439722E-9	123.688661967E-3	163.833741400E-3	677.251707886E-6	792.982112210E-6	2.133680941E+6	2.826200283E+6	11.682874067E+3	13.679271749E+3
5.997432779E+3	50.000000000E+0	163.809616797E-12	600.000023842E-3	80.873183333E-9	862.144897120E-12	7.419023205E+6	79.090159859E+3	114.517833095E-9	190.598925600E-3	240.250210967E-3	1.020046399E-3	847.612707507E-6	2.356762993E+6	2.970703032E+6	12.612912679E+3	10.480763494E+3
6.007293092E+3	50.000000000E+0	166.602120525E-12	800.000011921E-3	101.097103667E-9	892.896462309E-12	7.913184284E+6	69.889779200E+3	101.119607694E-9	276.228534200E-3	330.522658533E-3	1.412513785E-3	1.006768581E-3	2.732309079E+6	3.269358335E+6	13.971852147E+3	9.958431498E+3
6.014572661E+3	50.000000000E+0	165.945061396E-12	1.000000000E+0	119.338293333E-9	693.063764760E-12	8.379539979E+6	48.664643699E+3	91.205953770E-9	353.799761867E-3	414.654884067E-3	2.624636733E-3	1.628296426E-3	2.964679249E+6	3.474617178E+6	21.993248437E+3	13.644375001E+3
6.021410231E+3	50.000000000E+0	159.543627846E-12	1.200000048E+0	136.355370000E-9	583.615928944E-12	8.800533838E+6	37.667249417E+3	85.085363047E-9	441.060281133E-3	497.118253667E-3	2.584779832E-3	2.543666563E-3	3.234638145E+6	3.645754866E+6	18.956201228E+3	18.654685644E+3
6.028263315E+3	50.000000000E+0	156.957230546E-12	1.399999976E+0	152.618190000E-9	749.300621200E-12	9.173218318E+6	45.037214660E+3	81.314129080E-9	519.551015133E-3	579.628459300E-3	1.494099619E-3	2.334861449E-3	3.404253550E+6	3.797898922E+6	9.789787307E+3	15.298710126E+3
6.035113134E+3	50.000000000E+0	156.771249223E-12	1.600000024E+0	165.021500000E-9	1.127586424E-9	9.695706462E+6	66.250439934E+3	62.016535214E-9	606.410638333E-3	658.194759033E-3	2.007739869E-3	2.436227234E-3	3.674737161E+6	3.988539427E+6	12.166535080E+3	14.763089862E+3
6.041951615E+3	50.000000000E+0	153.440568122E-12	1.799999952E+0	177.422293333E-9	718.672471049E-12	10.145286246E+6	41.094824100E+3	62.003988841E-9	688.469028533E-3	746.043479567E-3	3.444230964E-3	2.346761771E-3	3.880397528E+6	4.204902696E+6	19.412616643E+3	13.226983637E+3
6.048802145E+3	50.000000000E+0	157.245644746E-12	2.000000000E+0	188.181600000E-9	740.442433908E-12	10.628031646E+6	41.818358541E+3	53.796520507E-9	767.238259333E-3	830.918055533E-3	2.794037271E-3	4.171654371E-3	4.077116250E+6	4.415511695E+6	14.847558266E+3	22.168237337E+3
6.055712615E+3	50.000000000E+0	157.294238745E-12	2.200000048E+0	198.459733333E-9	834.527056785E-12	11.085372386E+6	46.614207505E+3	51.390654414E-9	838.378656700E-3	917.290077233E-3	6.442492010E-3	4.845102240E-3	4.224427004E+6	4.622046305E+6	32.462464310E+3	24.413527917E+3
6.062559900E+3	50.000000000E+0	155.442082816E-12	2.400000095E+0	207.933980000E-9	823.539647267E-12	11.542125512E+6	45.713538369E+3	47.371222039E-9	916.004558433E-3	988.843945833E-3	4.442088084E-3	3.406259797E-3	4.405266318E+6	4.755566867E+6	21.362973401E+3	16.381448559E+3
6.069455370E+3	50.000000000E+0	156.628773840E-12	2.599999905E+0	215.603956667E-9	1.118454662E-9	12.059147452E+6	62.557338459E+3	38.349919907E-9	986.756011967E-3	1.077706345E+0	3.179127279E-3	3.849010882E-3	4.576706417E+6	4.998546233E+6	14.745217706E+3	17.852227490E+3
6.076284241E+3	50.000000000E+0	161.417715305E-12	2.799999952E+0	221.454416667E-9	805.220348974E-12	12.643685299E+6	45.973130009E+3	29.252293026E-9	1.070589075E+0	1.169277169E+0	4.579500942E-3	4.220350884E-3	4.834354135E+6	5.279990285E+6	20.679203473E+3	19.057424763E+3
6.083108122E+3	50.000000000E+0	157.240606646E-12	3.000000000E+0	228.653556667E-9	762.645039991E-12	13.120285745E+6	43.761054900E+3	35.995691418E-9	1.153051767E+0	1.272936630E+0	4.864521973E-3	5.227159945E-3	5.042789555E+6	5.567097439E+6	21.274639433E+3	22.860610702E+3
6.089930441E+3	50.000000000E+0	156.786358202E-12	3.200000048E+0	233.327196667E-9	817.834705702E-12	13.714646614E+6	48.071181317E+3	23.368194429E-9	1.214846928E+0	1.361823496E+0	5.161242839E-3	2.261694999E-3	5.206623770E+6	5.836539911E+6	22.120193927E+3	9.693233501E+3
6.096747953E+3	50.000000000E+0	153.859666905E-12	3.400000095E+0	240.212653333E-9	1.127700637E-9	14.154125722E+6	66.447859311E+3	34.427275125E-9	1.286138365E+0	1.448242518E+0	4.970005202E-3	4.302860185E-3	5.354165766E+6	6.029001796E+6	20.690022501E+3	17.912712448E+3
6.103567153E+3	50.000000000E+0	152.503617373E-12	3.599999905E+0	244.649640000E-9	853.596772123E-12	14.714920098E+6	51.341208995E+3	22.184954491E-9	1.380907834E+0	1.538247100E+0	3.381842387E-3	5.151137615E-3	5.644430273E+6	6.287551045E+6	13.823206063E+3	21.055161230E+3
6.110393686E+3	50.000000000E+0	155.393465919E-12	3.799999952E+0	248.214353333E-9	718.987435857E-12	15.309348155E+6	44.345658609E+3	17.823562417E-9	1.435443055E+0	1.612673901E+0	9.142164030E-3	5.044906281E-3	5.783078357E+6	6.497101716E+6	36.831729944E+3	20.324796748E+3
6.117240364E+3	50.000000000E+0	156.362256939E-12	4.000000000E+0	249.954030000E-9	940.903681226E-12	16.002942621E+6	60.239987419E+3	8.698381259E-9	1.498012543E+0	1.708986415E+0	6.297521982E-3	4.167564566E-3	5.993152194E+6	6.837202885E+6	25.194720734E+3	16.673324157E+3
