[Main]
Experiment = "IvsV"
Header length = 54    
Date = "20190903 19:05:46"
Comments = "SD: 1Vb to 2V-, BG: 2Va to 2V-, volt1: 1I- to 2I+, volt2: 1V- to 2Vb"

[System]
System = "PPMS"
Magnet stability range (G) = 5.000000E+1
Magnet check interval (s) = 1.000000E+0
Magnet approach mode = "Linear Approach"
Magnet mode = "Persistent"
Temperature stability time (s) = 1.000000E+0
Temperature approach mode = "Fast Settle"

[Dynamic Gate Voltage]
Pattern = "Linear+Reveresed"
Cycles = 1
Initial gate voltage (V) = -7.500000E+1
Final gate voltage (V) = 7.500000E+1
Measurement interval (V) = 2.500000E+1
Ramp step (V) = 1.000000E-1
Ramp delay (s) = 1.000000
Pre-measurement Delay = 3.000000E+2
Leak current measurement threshold = 1.000000
Check compliance = TRUE
Gate voltage source type = "Keithley 2400"
GPIB = "GPIB0::16::INSTR"
Gate leak limit (A) = 1.000000E-6
Autorange = TRUE
Number of current measurements = 30
Speed = 1.000000
Set finish gate voltage = TRUE
Finish gate voltage (V) = 0.000000E+0
Finish gate ramp step (V) = 1.000000E-1
Finish gate ramp delay (s) = 1.000000E+0

[Dynamic Voltage]
Voltage source = "Keithley 6430"
GPIB = "GPIB0::9::INSTR"
Initial Voltage (V) = 0.000000E+0
Final Voltage (V) = -10.000000E+0
Voltage step (V) = 200.000000E-3
Number of measurement sequences = 1.000000E+0
Samples/sequence = 30.000000E+0
Pre-measuement delay (s) = 1.000000E+0
Current limit (A) = 100.000000E-6
Auto-range = TRUE
Manual range (V) = 10.000000E+0
Measurement Type = "Static"
Pattern = "Linear"
Check compliance = TRUE
Measurement Speed = 1.000000
Time (s)	Gate Voltage (V)	Gate Leak Current (A)	Voltage 1 (V)	Current (A)	STD_Current (A)	Resistance 1 (Ohms)	STD_Resistance 1 (Ohms)	di/dv (A/V)	Voltage 2 (V)	Voltage 3 (V)	STD_Voltage 2 (V)	STD_Voltage 3 (V)	Resistance 2 (Ohms)	Resistance 3 (Ohms)	STD_Resistance 2 (Ohms)	STD_Resistance 3 (Ohms)
9.524523422E+3	0.000000000E+0	-66.807513919E-12	0.000000000E+0	2.073931163E-9	2.390830724E-9	0.000000000E+0	0.000000000E+0	NaN	-107.363540437E-3	-76.497432550E-3	24.895014209E-3	14.877650385E-3	-51.768131139E+6	-36.885232211E+6	12.003780381E+6	7.173647153E+6
9.534559043E+3	0.000000000E+0	-94.406107237E-12	-200.000002980E-3	-960.023066667E-12	115.265395483E-12	208.328330771E+6	25.012990073E+6	15.169770924E-9	-144.260531013E-3	-98.406400933E-3	16.388782678E-3	10.538310390E-3	150.267775871E+6	102.504204691E+6	17.071238438E+6	10.977142900E+6
9.545530425E+3	0.000000000E+0	-86.785612146E-12	-400.000005960E-3	-2.754466433E-9	191.380192410E-12	145.218689587E+6	10.089787415E+6	8.972216700E-9	-199.224159900E-3	-133.163904967E-3	13.508271956E-3	7.877624184E-3	72.327677509E+6	48.344718729E+6	4.904133807E+6	2.859945610E+6
9.552752582E+3	0.000000000E+0	-76.933956543E-12	-600.000023842E-3	-4.410403467E-9	57.269457164E-12	136.041980825E+6	1.766516477E+6	8.279684426E-9	-252.187313533E-3	-165.641003600E-3	12.417515808E-3	6.470066359E-3	57.180100514E+6	37.556882234E+6	2.815505634E+6	1.467001014E+6
9.559609374E+3	0.000000000E+0	-80.482714012E-12	-800.000011921E-3	-6.304677467E-9	71.183868273E-12	126.889918818E+6	1.432668890E+6	9.471370565E-9	-305.727816033E-3	-198.305258467E-3	12.695258339E-3	6.454615209E-3	48.492221474E+6	31.453672216E+6	2.013625345E+6	1.023781985E+6
9.567246451E+3	0.000000000E+0	-79.590938441E-12	-1.000000000E+0	-8.443920667E-9	245.471464248E-12	118.428398309E+6	3.442807375E+6	10.696216638E-9	-362.658857400E-3	-229.661240367E-3	9.990751758E-3	6.561771891E-3	42.949107614E+6	27.198412850E+6	1.183188729E+6	777.100135067E+3
9.575834222E+3	0.000000000E+0	-71.673684175E-12	-1.200000048E+0	-10.602177000E-9	112.732417213E-12	113.184306174E+6	1.203483061E+6	10.791279094E-9	-412.023318433E-3	-261.884047933E-3	10.329157109E-3	5.527723319E-3	38.862142976E+6	24.700969238E+6	974.248695221E+3	521.376253105E+3
9.582710575E+3	0.000000000E+0	-77.031181260E-12	-1.399999976E+0	-12.696400000E-9	126.836368221E-12	110.267475517E+6	1.101566281E+6	10.471118745E-9	-469.828133567E-3	-291.114930733E-3	9.549393576E-3	6.881393256E-3	37.004830784E+6	22.928935031E+6	752.133957330E+3	541.995625185E+3
9.589567191E+3	0.000000000E+0	-72.855497734E-12	-1.600000024E+0	-14.895159000E-9	208.387315673E-12	107.417451794E+6	1.502799294E+6	10.993792379E-9	-505.133275100E-3	-321.040525267E-3	8.744508535E-3	4.642372820E-3	33.912580262E+6	21.553346645E+6	587.070506281E+3	311.669906969E+3
9.596407765E+3	0.000000000E+0	-72.567174839E-12	-1.799999952E+0	-17.196333333E-9	160.078522657E-12	104.673474131E+6	974.392318147E+3	11.505875781E-9	-566.633861367E-3	-354.255791167E-3	10.068480919E-3	6.373319140E-3	32.950853556E+6	20.600658542E+6	585.501613856E+3	370.620818767E+3
9.603317137E+3	0.000000000E+0	-71.195979118E-12	-2.000000000E+0	-19.465911333E-9	214.605033263E-12	102.743712624E+6	1.132714389E+6	11.347887294E-9	-605.791439933E-3	-381.452666167E-3	7.867838235E-3	5.206392501E-3	31.120630807E+6	19.595931556E+6	404.185455284E+3	267.462047454E+3
9.610213085E+3	0.000000000E+0	-70.956233944E-12	-2.200000048E+0	-21.622506667E-9	274.758516699E-12	101.745837409E+6	1.292890588E+6	10.782974096E-9	-633.885819333E-3	-404.348380633E-3	8.424510915E-3	3.905886891E-3	29.316019142E+6	18.700347137E+6	389.617681491E+3	180.639874511E+3
9.617106698E+3	0.000000000E+0	-68.783756642E-12	-2.400000095E+0	-23.745125000E-9	330.612176881E-12	101.073382236E+6	1.407282165E+6	10.613089136E-9	-678.256839033E-3	-429.348827367E-3	8.705872310E-3	7.581045070E-3	28.564045842E+6	18.081556840E+6	366.638301976E+3	319.267431511E+3
9.623954086E+3	0.000000000E+0	-72.183311729E-12	-2.599999905E+0	-25.723679000E-9	360.388401449E-12	101.074185564E+6	1.416047999E+6	9.892779434E-9	-715.150618200E-3	-452.746575967E-3	7.261737671E-3	4.023395435E-3	27.801257285E+6	17.600381966E+6	282.297787607E+3	156.408242971E+3
9.630864209E+3	0.000000000E+0	-61.361081841E-12	-2.799999952E+0	-27.956644667E-9	427.419787956E-12	100.155078898E+6	1.531237496E+6	11.164825671E-9	-724.216975500E-3	-469.833493667E-3	11.647456404E-3	6.394089687E-3	25.905003413E+6	16.805789796E+6	416.625691060E+3	228.714488550E+3
