[Main]
Experiment = "RvsVg"
Header length = 77    
Date = "20191023 12:40:09"
Comments = ""

[System]
System = "PPMS"
Magnet stability range (G) = 5.000000E+1
Magnet check interval (s) = 1.000000E+0
Magnet approach mode = "Linear Approach"
Magnet mode = "Persistent"
Temperature stability time (s) = 1.000000E+0
Temperature approach mode = "Fast Settle"

[Static Temperature]
Set initial temperature = TRUE
Initial temperature (K) = 3.000000E+2
Delay after setting initial temperature (s) = 1.000000E+1
Initial temperature stabilization (K) = 2.000000E-1
Initial temperature ramp rate (K/min) = 1.000000E+1
Wait for initial temperature to stabilize = TRUE
Set final temperature = FALSE

[Dynamic Gate Voltage]
Pattern = "Linear Hysteresis"
Cycles = 1
Initial gate voltage (V) = 7.500000E+1
Final gate voltage (V) = -7.500000E+1
Measurement interval (V) = 5.000000E+0
Ramp step (V) = 1.000000E-1
Ramp delay (s) = 0.100000
Pre-measurement Delay = 1.000000E+0
Leak current measurement threshold = 1.000000
Check compliance = TRUE
Gate voltage source type = "Keithley 2400"
GPIB = "GPIB0::16::INSTR"
Gate leak limit (A) = 1.000000E-6
Autorange = TRUE
Number of current measurements = 30
Speed = 1.000000
Set finish gate voltage = TRUE
Finish gate voltage (V) = 0.000000E+0
Finish gate ramp step (V) = 1.000000E-1
Finish gate ramp delay (s) = 1.000000E-1

[Measure Voltage Configuration1]
Voltage meter = "Keithley 2182A"
Auto-range = "Manual"
GPIB = "GPIB0::7::INSTR"
Range (V) = 1.000000E+0
Speed = 1.000000

[Measure Voltage Configuration2]
Voltage meter = "Keithley 2182A"
Auto-range = "Manual"
GPIB = "GPIB0::8::INSTR"
Range (V) = 1.000000E+0
Speed = 1.000000

[Dynamic Voltage]
Voltage source = "Keithley 6430"
GPIB = "GPIB0::9::INSTR"
Initial Voltage (V) = 100.000000E-3
Final Voltage (V) = 100.000000E-3
Voltage step (V) = 1.000000E-12
Number of measurement sequences = 1.000000E+0
Samples/sequence = 30.000000E+0
Pre-measuement delay (s) = 5.000000E+0
Current limit (A) = 100.000000E-6
Auto-range = 0
Manual range (V) = 10.000000E+0
Measurement Type = "Subtract bias"
Pattern = "Linear"
Check compliance = 0
Measurement Speed = 1.000000
Time (s)	Gate Voltage (V)	Gate Leak Current (A)	Voltage 1 (V)	Current (A)	STD_Current (A)	Resistance 1 (Ohms)	STD_Resistance 1 (Ohms)	Voltage 2 (V)	Voltage 3 (V)	STD_Voltage 2 (V)	STD_Voltage 3 (V)	Resistance 2 (Ohms)	Resistance 3 (Ohms)	STD_Resistance 2 (Ohms)	STD_Resistance 3 (Ohms)	Temperature (K)
2.576731205E+0	0.000000000E+0	-58.978202530E-12	100.000001490E-3	2.739297158E-9	407.131707915E-12	36.505715058E+6	5.425710781E+6	26.244005537E-3	33.683067735E-3	1.451583094E-3	3.164018409E-3	9.580561738E+6	12.296244547E+6	529.910780213E+3	1.155047528E+6	300.001200000E+0
55.340463161E+0	-5.000000000E+0	-111.501628330E-12	100.000001490E-3	648.920441743E-12	195.506916783E-12	154.102097973E+6	46.427919521E+6	8.829566793E-3	21.362338365E-3	7.390582892E-3	12.235827107E-3	13.606547467E+6	32.919811106E+6	11.389043120E+6	18.855665995E+6	300.003100000E+0
108.140626431E+0	-10.000000000E+0	-138.041646921E-12	100.000001490E-3	505.898669297E-12	123.488465843E-12	197.668046111E+6	48.250223299E+6	8.188590227E-3	19.794508605E-3	12.781909610E-3	21.582176977E-3	16.186226064E+6	39.127417813E+6	25.265750605E+6	42.661066903E+6	300.005600000E+0
152.665526390E+0	-15.000000000E+0	-153.196587129E-12	100.000001490E-3	460.874321463E-12	135.866809725E-12	216.978896053E+6	63.965877489E+6	11.980893542E-3	31.669428532E-3	14.332327257E-3	23.281861716E-3	25.996010157E+6	68.715975390E+6	31.098124997E+6	50.516725780E+6	300.004200000E+0
198.215596676E+0	-20.000000000E+0	-171.290134391E-12	100.000001490E-3	466.831795733E-12	122.949009866E-12	214.209919727E+6	56.416246226E+6	15.750577071E-3	33.860284596E-3	16.059510988E-3	25.029486422E-3	33.739297998E+6	72.532087371E+6	34.401065084E+6	53.615641974E+6	300.002300000E+0
243.670307159E+0	-25.000000000E+0	-196.326717152E-12	100.000001490E-3	433.772728833E-12	155.974363500E-12	230.535473632E+6	82.895077016E+6	18.332757441E-3	39.185041578E-3	16.896927945E-3	27.561006169E-3	42.263508567E+6	90.335419849E+6	38.953412287E+6	63.537895162E+6	300.001300000E+0
291.516352177E+0	-30.000000000E+0	-204.624154889E-12	100.000001490E-3	489.396922567E-12	257.405960008E-12	204.333122827E+6	107.472199390E+6	12.674552663E-3	27.438412436E-3	19.564020238E-3	30.506486946E-3	25.898308875E+6	56.065764149E+6	39.975772907E+6	62.334856513E+6	299.996300000E+0
338.109229565E+0	-35.000000000E+0	-211.007396278E-12	100.000001490E-3	502.096942100E-12	277.186126103E-12	199.164729169E+6	109.950280725E+6	21.918533066E-3	43.752585362E-3	19.174629286E-3	28.951332996E-3	43.653986368E+6	87.139716842E+6	38.189097918E+6	57.660843094E+6	300.004300000E+0
385.545534134E+0	-40.000000000E+0	-214.906399620E-12	100.000001490E-3	464.751140333E-12	284.432045404E-12	215.168921196E+6	131.685392572E+6	9.556158755E-3	18.806326887E-3	17.628324290E-3	24.552678057E-3	20.561883395E+6	40.465370076E+6	37.930674635E+6	52.829731713E+6	300.011900000E+0
432.823093414E+0	-45.000000000E+0	-232.944588156E-12	100.000001490E-3	412.392287600E-12	140.698631155E-12	242.487564625E+6	82.731102013E+6	11.999889337E-3	30.820061363E-3	21.349542073E-3	31.689904030E-3	29.098238977E+6	74.734815102E+6	51.769983860E+6	76.844075369E+6	300.003600000E+0
