[Main]
Experiment = "RvsVg"
Header length = 74    
Date = "20191025 00:35:21"
Comments = ""

[System]
System = "PPMS"
Magnet stability range (G) = 5.000000E+1
Magnet check interval (s) = 1.000000E+0
Magnet approach mode = "Linear Approach"
Magnet mode = "Persistent"
Temperature stability time (s) = 1.000000E+0
Temperature approach mode = "Fast Settle"

[Static Temperature]
Set initial temperature = TRUE
Initial temperature (K) = 1.500000E+2
Delay after setting initial temperature (s) = 1.000000E+2
Initial temperature stabilization (K) = 2.000000E-1
Initial temperature ramp rate (K/min) = 1.000000E+1
Wait for initial temperature to stabilize = TRUE
Set final temperature = FALSE

[Dynamic Gate Voltage]
Pattern = "Linear Hysteresis"
Cycles = 1
Initial gate voltage (V) = -7.500000E+1
Final gate voltage (V) = 7.500000E+1
Measurement interval (V) = 5.000000E+0
Ramp step (V) = 1.000000E-1
Ramp delay (s) = 0.100000
Pre-measurement Delay = 1.000000E+0
Leak current measurement threshold = 1.000000
Check compliance = TRUE
Gate voltage source type = "Keithley 2400"
GPIB = "GPIB0::16::INSTR"
Gate leak limit (A) = 1.000000E-6
Autorange = TRUE
Number of current measurements = 30
Speed = 1.000000
Set finish gate voltage = FALSE

[Measure Voltage Configuration1]
Voltage meter = "Keithley 2182A"
Auto-range = "Manual"
GPIB = "GPIB0::7::INSTR"
Range (V) = 1.000000E+0
Speed = 1.000000

[Measure Voltage Configuration2]
Voltage meter = "Keithley 2182A"
Auto-range = "Manual"
GPIB = "GPIB0::8::INSTR"
Range (V) = 1.000000E+0
Speed = 1.000000

[Dynamic Voltage]
Voltage source = "Keithley 6430"
GPIB = "GPIB0::9::INSTR"
Initial Voltage (V) = 100.000000E-3
Final Voltage (V) = 100.000000E-3
Voltage step (V) = 1.000000E-12
Number of measurement sequences = 1.000000E+0
Samples/sequence = 30.000000E+0
Pre-measuement delay (s) = 5.000000E+0
Current limit (A) = 100.000000E-6
Auto-range = 0
Manual range (V) = 10.000000E+0
Measurement Type = "Subtract bias"
Pattern = "Linear"
Check compliance = 0
Measurement Speed = 1.000000
Time (s)	Gate Voltage (V)	Gate Leak Current (A)	Voltage 1 (V)	Current (A)	STD_Current (A)	Resistance 1 (Ohms)	STD_Resistance 1 (Ohms)	Voltage 2 (V)	Voltage 3 (V)	STD_Voltage 2 (V)	STD_Voltage 3 (V)	Resistance 2 (Ohms)	Resistance 3 (Ohms)	STD_Resistance 2 (Ohms)	STD_Resistance 3 (Ohms)	Temperature (K)
2.579528809E+0	0.000000000E+0	-54.328338096E-12	100.000001490E-3	-18.354610233E-12	182.619173788E-12	-5.448222557E+9	54.207084174E+9	0.000000000E+0	0.000000000E+0	27.170417096E+21	27.170417096E+21	-0.000000000E+0	-0.000000000E+0	NaN	NaN	150.207600000E+0
73.217752934E+0	-5.000000000E+0	-117.518424159E-12	100.000001490E-3	460.630860000E-15	206.329421423E-12	217.093577903E+9	97.242274049E+12	0.000000000E+0	0.000000000E+0	27.170417096E+21	27.170417096E+21	0.000000000E+0	0.000000000E+0	NaN	NaN	150.016800000E+0
142.023177147E+0	-10.000000000E+0	-140.732314922E-12	100.000001490E-3	-46.602799858E-12	194.967769887E-12	-2.145793853E+9	8.977156813E+9	0.000000000E+0	0.000000000E+0	27.170417096E+21	27.170417096E+21	-0.000000000E+0	-0.000000000E+0	NaN	NaN	150.006400000E+0
209.635508060E+0	-15.000000000E+0	-154.214218421E-12	100.000001490E-3	33.220495483E-12	206.106909029E-12	3.010189946E+9	18.675848636E+9	0.000000000E+0	0.000000000E+0	27.170417096E+21	27.170417096E+21	0.000000000E+0	0.000000000E+0	NaN	NaN	150.001900000E+0
271.826950550E+0	-20.000000000E+0	-171.826327588E-12	100.000001490E-3	-60.066589377E-12	154.462328994E-12	-1.664819037E+9	4.281112487E+9	0.000000000E+0	0.000000000E+0	27.170417096E+21	27.170417096E+21	-0.000000000E+0	-0.000000000E+0	NaN	NaN	150.000500000E+0
346.435156345E+0	-25.000000000E+0	-175.748741948E-12	100.000001490E-3	52.162236763E-12	193.056032191E-12	1.917095732E+9	7.095303392E+9	0.000000000E+0	0.000000000E+0	27.170417096E+21	27.170417096E+21	0.000000000E+0	0.000000000E+0	NaN	NaN	150.002500000E+0
415.393563271E+0	-30.000000000E+0	-199.703871437E-12	100.000001490E-3	-71.312780480E-12	202.951490551E-12	-1.402273208E+9	3.990777472E+9	0.000000000E+0	0.000000000E+0	27.170417096E+21	27.170417096E+21	-0.000000000E+0	-0.000000000E+0	NaN	NaN	149.999300000E+0
478.175793171E+0	-35.000000000E+0	-197.965663307E-12	100.000001490E-3	-3.357744187E-12	163.377906317E-12	-29.781899969E+9	1.449099214E+12	0.000000000E+0	0.000000000E+0	27.170417096E+21	27.170417096E+21	-0.000000000E+0	-0.000000000E+0	NaN	NaN	149.999100000E+0
549.528345108E+0	-40.000000000E+0	-216.025330726E-12	100.000001490E-3	55.456650300E-12	198.653118698E-12	1.803210272E+9	6.459339724E+9	0.000000000E+0	0.000000000E+0	27.170417096E+21	27.170417096E+21	0.000000000E+0	0.000000000E+0	NaN	NaN	150.003600000E+0
613.242366791E+0	-45.000000000E+0	-212.535417969E-12	100.000001490E-3	18.626264310E-12	198.620537386E-12	5.368763152E+9	57.249623684E+9	0.000000000E+0	0.000000000E+0	27.170417096E+21	27.170417096E+21	0.000000000E+0	0.000000000E+0	NaN	NaN	149.999400000E+0
