[Main]
Experiment = "RvsT"
Header length = 79    
Date = "20191025 09:50:52"
Comments = ""

[System]
System = "PPMS"
Magnet stability range (G) = 5.000000E+1
Magnet check interval (s) = 1.000000E+0
Magnet approach mode = "Linear Approach"
Magnet mode = "Persistent"
Temperature stability time (s) = 1.000000E+0
Temperature approach mode = "Fast Settle"

[Static Gate Voltage]
Set initial gate voltage = TRUE
Initial gate voltage (V) = 7.500000E+1
Initial gate volt. ramp step (V) = 1.000000E-1
Initial voltage ramp delay (s) = 1.000000E-1
Delay after inital voltage set = 1.000000
Leak current threshold for initial set = 1.000000
Set final gate voltage = FALSE
Gate voltage source type = "Keithley 2400"
GPIB = "GPIB0::16::INSTR"
Gate leak limit (A) = 1.000000E-6
Auto-range = FALSE
Manual range (V) = 5.000000
Check Compliance = TRUE
Measuement speed = 1.000000
Number of measurements = 1

[Dynamic Temperature]
Initial temperature (K) = 3.000000E+2
Final temperature (K) = 4.000000E+0
Ramp rate (K/min) = 1.000000E+1
Step control = "Step Control"
Temperature interval (K) = 1.000000
Stability Temperature (K) = 0.200000
Stability time (s) = FALSE
Go to other temperature at finish = FALSE

[Measure Voltage Configuration1]
Voltage meter = "Keithley 2182A"
Auto-range = "Manual"
GPIB = "GPIB0::7::INSTR"
Range (V) = 1.000000E+0
Speed = 1.000000

[Measure Voltage Configuration2]
Voltage meter = "Keithley 2182A"
Auto-range = "Manual"
GPIB = "GPIB0::8::INSTR"
Range (V) = 1.000000E+0
Speed = 1.000000

[Measure Voltage Configuration3]
Voltage meter = "Keithley 6430"
Auto-range = "Automatic"
GPIB = "GPIB0::9::INSTR"
Range (V) = 5.000000E+0
Speed = 1.000000

[Dynamic Current]
Operating mode = "Linear"
Current source = "Keithley 6430"
GPIB = "GPIB0::9::INSTR"
Initial current (A) = 1.000000E-9
Final current (A) = 1.000000E-9
Current step (A) = 1.000000E-12
Number of measurement sequences = 1.000000E+0
Samples/sequence = 3.000000E+1
Pre-measuement delay (s) = 5.000000E+0
Output limit (V) = 5.000000
Auto-range = 0
Manual range (A) = 0.000000
Check output compliance = "Skip data"
Inital delay (s) = 0.000000
Time (s)	Temperature (K)	Current (A)	Voltage 1 (V)	Voltage 2 (V)	Voltage 3 (V)	STD_Voltage 1 (V)	STD_Voltage 2 (V)	STD_Voltage 3 (V)	Resistance 1 (Ohms)	Resistance 2 (Ohms)	Resistance 3 (Ohms)	STD_Resistance 1 (Ohms)	STD_Resistance 2 (Ohms)	STD_Resistance 3 (Ohms)	Gate Voltage (V)	Gate Leak Current (A)
2.151134014E+0	300.020100000E+0	1.000000000E-9	2.353436589E-3	2.689859359E-3	6.550058783E-3	533.722295327E-6	767.765303814E-6	725.612316945E-6	2.353436589E+6	2.689859359E+6	6.550058783E+6	533.722295327E+3	767.765303814E+3	725.612316945E+3	75.000000000E+0	313.131964802E-12
77.497737408E+0	299.032900000E+0	1.000000000E-9	3.940575389E-3	3.722713545E-3	13.067572217E-3	800.141025722E-6	1.527557996E-3	396.741752763E-6	3.940575389E+6	3.722713545E+6	13.067572217E+6	800.141025722E+3	1.527557996E+6	396.741752763E+3	75.000000000E+0	238.812136732E-12
154.697724819E+0	298.059700000E+0	1.000000000E-9	5.465675822E-3	4.882738520E-3	18.977084333E-3	1.440149671E-3	1.922088813E-3	537.547194542E-6	5.465675822E+6	4.882738520E+6	18.977084333E+6	1.440149671E+6	1.922088813E+6	537.547194542E+3	75.000000000E+0	172.034830825E-12
231.796008587E+0	297.072600000E+0	1.000000000E-9	6.854271325E-3	5.908932643E-3	25.018251833E-3	1.905231756E-3	3.009599731E-3	504.905055630E-6	6.854271325E+6	5.908932643E+6	25.018251833E+6	1.905231756E+6	3.009599731E+6	504.905055630E+3	75.000000000E+0	53.565527014E-12
307.967706203E+0	296.028900000E+0	1.000000000E-9	8.080485200E-3	7.097436100E-3	31.184871667E-3	2.455006455E-3	4.275161866E-3	499.007261163E-6	8.080485200E+6	7.097436100E+6	31.184871667E+6	2.455006455E+6	4.275161866E+6	499.007261163E+3	75.000000000E+0	132.662505981E-12
383.013199806E+0	295.045700000E+0	1.000000000E-9	9.356997477E-3	7.563181147E-3	38.065377000E-3	3.076275246E-3	5.926067795E-3	861.034185708E-6	9.356997477E+6	7.563181147E+6	38.065377000E+6	3.076275246E+6	5.926067795E+6	861.034185708E+3	75.000000000E+0	78.707554363E-12
459.038490295E+0	294.021400000E+0	1.000000000E-9	10.551256496E-3	8.884014872E-3	43.773120667E-3	3.811601752E-3	7.781244012E-3	1.419458565E-3	10.551256496E+6	8.884014872E+6	43.773120667E+6	3.811601752E+6	7.781244012E+6	1.419458565E+6	75.000000000E+0	15.751799171E-12
536.212710381E+0	292.991200000E+0	1.000000000E-9	11.556655108E-3	8.347988485E-3	51.355465000E-3	4.517276589E-3	10.375271035E-3	1.135078115E-3	11.556655108E+6	8.347988485E+6	51.355465000E+6	4.517276589E+6	10.375271035E+6	1.135078115E+6	75.000000000E+0	226.693663841E-12
612.273460388E+0	292.060900000E+0	1.000000000E-9	12.855624580E-3	10.364686290E-3	58.074758833E-3	5.464638978E-3	12.585398898E-3	1.684716793E-3	12.855624580E+6	10.364686290E+6	58.074758833E+6	5.464638978E+6	12.585398898E+6	1.684716793E+6	75.000000000E+0	30.485104024E-12
688.223586082E+0	291.043500000E+0	1.000000000E-9	14.238898536E-3	10.175222617E-3	65.406297167E-3	6.514430958E-3	15.818033349E-3	1.185998751E-3	14.238898536E+6	10.175222617E+6	65.406297167E+6	6.514430958E+6	15.818033349E+6	1.185998751E+6	75.000000000E+0	179.778789078E-12
764.266041279E+0	290.034800000E+0	1.000000000E-9	16.335640371E-3	10.766078030E-3	72.681268833E-3	7.912285687E-3	19.038352692E-3	1.908016997E-3	16.335640371E+6	10.766078030E+6	72.681268833E+6	7.912285687E+6	19.038352692E+6	1.908016997E+6	75.000000000E+0	180.382098147E-12
839.274716854E+0	289.068800000E+0	1.000000000E-9	17.367936978E-3	9.810152118E-3	81.368437333E-3	8.750933738E-3	22.465504545E-3	2.171525357E-3	17.367936978E+6	9.810152118E+6	81.368437333E+6	8.750933738E+6	22.465504545E+6	2.171525357E+6	75.000000000E+0	118.029752638E-12
915.367524624E+0	288.016700000E+0	1.000000000E-9	18.552318649E-3	11.125768145E-3	86.935034167E-3	10.208516208E-3	26.508562444E-3	1.773366958E-3	18.552318649E+6	11.125768145E+6	86.935034167E+6	10.208516208E+6	26.508562444E+6	1.773366958E+6	75.000000000E+0	-34.583218234E-12
991.643122196E+0	287.017200000E+0	1.000000000E-9	19.539365088E-3	10.986196493E-3	97.102935833E-3	10.822345687E-3	30.704035172E-3	3.107153827E-3	19.539365088E+6	10.986196493E+6	97.102935833E+6	10.822345687E+6	30.704035172E+6	3.107153827E+6	75.000000000E+0	185.259835250E-12
1.067745176E+3	286.011500000E+0	1.000000000E-9	21.672173497E-3	11.408430555E-3	105.092316333E-3	11.930187859E-3	36.125274411E-3	1.850686446E-3	21.672173497E+6	11.408430555E+6	105.092316333E+6	11.930187859E+6	36.125274411E+6	1.850686446E+6	75.000000000E+0	173.292172279E-12
1.145015721E+3	285.040400000E+0	1.000000000E-9	22.816262334E-3	12.104438492E-3	114.054449667E-3	13.560569536E-3	40.244918185E-3	3.333192990E-3	22.816262334E+6	12.104438492E+6	114.054449667E+6	13.560569536E+6	40.244918185E+6	3.333192990E+6	75.000000000E+0	206.831871075E-12
1.225936450E+3	284.065700000E+0	1.000000000E-9	23.274396927E-3	10.584118231E-3	122.136235500E-3	15.399065949E-3	46.833847976E-3	3.573014052E-3	23.274396927E+6	10.584118231E+6	122.136235500E+6	15.399065949E+6	46.833847976E+6	3.573014052E+6	75.000000000E+0	120.343068843E-12
1.307661366E+3	283.049300000E+0	1.000000000E-9	23.232868618E-3	9.756839656E-3	132.370153333E-3	16.200349538E-3	56.085444672E-3	6.229205125E-3	23.232868618E+6	9.756839656E+6	132.370153333E+6	16.200349538E+6	56.085444672E+6	6.229205125E+6	75.000000000E+0	181.840584257E-12
1.390602911E+3	282.024700000E+0	1.000000000E-9	25.262895048E-3	12.639274307E-3	141.466760000E-3	17.235277656E-3	62.834078082E-3	9.182971715E-3	25.262895048E+6	12.639274307E+6	141.466760000E+6	17.235277656E+6	62.834078082E+6	9.182971715E+6	75.000000000E+0	83.535033057E-12
1.478257576E+3	281.046900000E+0	1.000000000E-9	26.032997375E-3	9.026530652E-3	158.834416667E-3	19.062956886E-3	73.802238360E-3	15.868198104E-3	26.032997375E+6	9.026530652E+6	158.834416667E+6	19.062956886E+6	73.802238360E+6	15.868198104E+6	75.000000000E+0	64.376802500E-12
1.570559085E+3	280.035000000E+0	1.000000000E-9	31.901646464E-3	10.703893075E-3	184.168406667E-3	24.737336145E-3	81.743510372E-3	7.472483599E-3	31.901646464E+6	10.703893075E+6	184.168406667E+6	24.737336145E+6	81.743510372E+6	7.472483599E+6	75.000000000E+0	71.215450204E-12
1.656705453E+3	279.091600000E+0	1.000000000E-9	30.370192863E-3	10.346681179E-3	198.974125000E-3	25.400441406E-3	97.223047436E-3	9.432388115E-3	30.370192863E+6	10.346681179E+6	198.974125000E+6	25.400441406E+6	97.223047436E+6	9.432388115E+6	75.000000000E+0	61.912801275E-12
1.743423135E+3	278.062700000E+0	1.000000000E-9	32.809436908E-3	10.045863480E-3	211.568643333E-3	28.532064634E-3	107.040536261E-3	11.455572300E-3	32.809436908E+6	10.045863480E+6	211.568643333E+6	28.532064634E+6	107.040536261E+6	11.455572300E+6	75.000000000E+0	-21.458406232E-12
1.828766006E+3	277.036400000E+0	1.000000000E-9	40.161549020E-3	9.143632241E-3	236.953968333E-3	32.554925628E-3	112.686092673E-3	19.893509949E-3	40.161549020E+6	9.143632241E+6	236.953968333E+6	32.554925628E+6	112.686092673E+6	19.893509949E+6	75.000000000E+0	64.427047031E-12
1.915964014E+3	276.038600000E+0	1.000000000E-9	41.418123786E-3	9.402214406E-3	258.141706667E-3	34.478098940E-3	125.592073175E-3	20.333277448E-3	41.418123786E+6	9.402214406E+6	258.141706667E+6	34.478098940E+6	125.592073175E+6	20.333277448E+6	75.000000000E+0	184.355211652E-12
1.996360958E+3	275.040700000E+0	1.000000000E-9	45.723022146E-3	10.020072375E-3	280.152345000E-3	39.575555418E-3	137.683629064E-3	21.141347575E-3	45.723022146E+6	10.020072375E+6	280.152345000E+6	39.575555418E+6	137.683629064E+6	21.141347575E+6	75.000000000E+0	126.729196581E-12
