[Main]
Experiment = "RvsT"
Header length = 73    
Date = "20191025 13:27:53"
Comments = ""

[System]
System = "PPMS"
Magnet stability range (G) = 5.000000E+1
Magnet check interval (s) = 1.000000E+0
Magnet approach mode = "Linear Approach"
Magnet mode = "Persistent"
Temperature stability time (s) = 1.000000E+0
Temperature approach mode = "Fast Settle"

[Static Gate Voltage]
Set initial gate voltage = TRUE
Initial gate voltage (V) = 7.500000E+1
Initial gate volt. ramp step (V) = 1.000000E-1
Initial voltage ramp delay (s) = 1.000000E-1
Delay after inital voltage set = 1.000000
Leak current threshold for initial set = 1.000000
Set final gate voltage = FALSE
Gate voltage source type = "Keithley 2400"
GPIB = "GPIB0::16::INSTR"
Gate leak limit (A) = 1.000000E-6
Auto-range = FALSE
Manual range (V) = 5.000000
Check Compliance = TRUE
Measuement speed = 1.000000
Number of measurements = 1

[Dynamic Temperature]
Initial temperature (K) = 2.700000E+2
Final temperature (K) = 4.000000E+0
Ramp rate (K/min) = 1.000000E+1
Step control = "Step Control"
Temperature interval (K) = 1.000000
Stability Temperature (K) = 0.200000
Stability time (s) = FALSE
Go to other temperature at finish = FALSE

[Measure Voltage Configuration1]
Voltage meter = "Keithley 2182A"
Auto-range = "Manual"
GPIB = "GPIB0::7::INSTR"
Range (V) = 1.000000E+0
Speed = 1.000000

[Measure Voltage Configuration2]
Voltage meter = "Keithley 2182A"
Auto-range = "Manual"
GPIB = "GPIB0::8::INSTR"
Range (V) = 1.000000E+0
Speed = 1.000000

[Dynamic Voltage]
Voltage source = "Keithley 6430"
GPIB = "GPIB0::9::INSTR"
Initial Voltage (V) = 1.000000E-6
Final Voltage (V) = 1.000000E-6
Voltage step (V) = 1.000000E-12
Number of measurement sequences = 1.000000E+0
Samples/sequence = 30.000000E+0
Pre-measuement delay (s) = 1.000000E+0
Current limit (A) = 100.000000E-6
Auto-range = 0
Manual range (V) = 10.000000E+0
Measurement Type = "Subtract bias"
Pattern = "Linear"
Check compliance = 0
Measurement Speed = 1.000000
Time (s)	Temperature (K)	Voltage 1 (V)	Current (A)	STD_Current (A)	Resistance 1 (Ohms)	STD_Resistance 1 (Ohms)	Voltage 2 (V)	Voltage 3 (V)	STD_Voltage 2 (V)	STD_Voltage 3 (V)	Resistance 2 (Ohms)	Resistance 3 (Ohms)	STD_Resistance 2 (Ohms)	STD_Resistance 3 (Ohms)	Gate Voltage (V)	Gate Leak Current (A)
304.683425426E+0	269.711800000E+0	999.999997475E-9	125.751419000E-12	408.565093298E-12	7.952196527E+3	25.836606393E+3	5.979992687E-3	11.759609203E-3	11.167034694E-3	28.066527320E-3	47.554077196E+6	93.514723705E+6	88.802454736E+6	223.190541654E+6	75.000000000E+0	186.819337777E-12
356.894381523E+0	269.000700000E+0	999.999997475E-9	-4.834495000E-12	70.989047514E-12	-206.846836634E+3	3.037309980E+6	7.776852563E-3	13.563482980E-3	17.486799287E-3	57.459840588E-3	-1.608617356E+9	-2.805563555E+9	3.617089124E+9	11.885386289E+9	75.000000000E+0	175.253908608E-12
418.674588680E+0	268.006300000E+0	999.999997475E-9	217.294233333E-15	21.225820930E-12	4.602054929E+6	449.539743084E+6	6.872887403E-3	12.360138013E-3	26.406113977E-3	90.885880400E-3	31.629405428E+9	56.882034206E+9	121.522387283E+9	418.261814893E+9	75.000000000E+0	154.838544764E-12
474.362514019E+0	266.991500000E+0	999.999997475E-9	-2.887746000E-12	29.743097029E-12	-346.290843265E+3	3.566713330E+6	5.620643353E-3	4.668447603E-3	34.877459842E-3	122.796132522E-3	-1.946377331E+9	-1.616640661E+9	12.077745010E+9	42.523176388E+9	75.000000000E+0	168.415434376E-12
529.534244061E+0	266.010300000E+0	999.999997475E-9	-8.622371333E-12	9.931124951E-12	-115.977375459E+3	133.581095347E+3	1.527093637E-3	5.368143277E-3	45.390107094E-3	147.449055770E-3	-177.108312508E+6	-622.583169889E+6	5.264225506E+9	17.100754545E+9	75.000000000E+0	-13.865450454E-12
585.731871605E+0	265.037200000E+0	999.999997475E-9	648.614000000E-15	10.179279405E-12	1.541749018E+6	24.196045761E+6	5.029171293E-3	8.815928123E-3	51.671954330E-3	167.551864963E-3	7.753719922E+9	13.591948560E+9	79.665185041E+9	258.322923901E+9	75.000000000E+0	34.307005153E-12
637.135605335E+0	264.040200000E+0	999.999997475E-9	1.923298467E-12	17.639584791E-12	519.940100201E+3	4.768644931E+6	2.265936097E-3	4.874362710E-3	61.281618908E-3	188.033729055E-3	1.178151044E+9	2.534376642E+9	31.862771156E+9	97.766276173E+9	75.000000000E+0	161.174573687E-12
689.674755096E+0	263.039000000E+0	999.999997475E-9	-2.569460667E-12	5.792151988E-12	-389.186731071E+3	877.315900371E+3	1.370543197E-3	10.317067713E-3	69.600621011E-3	202.853232501E-3	-533.397227849E+6	-4.015265868E+9	27.087638240E+9	78.947786644E+9	75.000000000E+0	-6.825618196E-12
747.842918396E+0	262.079300000E+0	999.999997475E-9	23.384117667E-12	22.096879847E-12	42.764067977E+3	40.410011843E+3	1.337768373E-3	7.026548903E-3	77.395336629E-3	213.126980877E-3	57.208417799E+6	300.483815703E+6	3.309739445E+9	9.114176721E+9	75.000000000E+0	89.318288876E-12
799.615202904E+0	261.032200000E+0	999.999997475E-9	22.566610667E-12	20.903752931E-12	44.313256086E+3	41.047961099E+3	2.833773063E-3	17.655650700E-3	87.171359286E-3	221.921437660E-3	125.573711763E+6	782.379372817E+6	3.862846777E+9	9.834061523E+9	75.000000000E+0	-27.341908251E-12
851.406471729E+0	260.047500000E+0	999.999997475E-9	13.874092333E-12	8.618125669E-12	72.076786967E+3	44.771707799E+3	3.504420773E-3	22.935264533E-3	93.852667963E-3	229.741868759E-3	252.587390161E+6	1.653100180E+9	6.764598772E+9	16.559055774E+9	75.000000000E+0	84.893383989E-12
904.126080036E+0	259.076500000E+0	999.999997475E-9	18.902211000E-12	17.767140590E-12	52.903863864E+3	49.727007440E+3	-1.477381207E-3	33.209455500E-3	100.619542515E-3	237.120346387E-3	-78.159174430E+6	1.756908517E+9	5.323162593E+9	12.544582556E+9	75.000000000E+0	68.148556243E-12
958.367791653E+0	258.002500000E+0	999.999997475E-9	16.930729000E-12	12.478591670E-12	59.064201989E+3	43.532564898E+3	1.232567643E-3	39.672866233E-3	115.233220434E-3	242.771239817E-3	72.800624435E+6	2.343246191E+9	6.806158225E+9	14.339089582E+9	75.000000000E+0	49.392476220E-12
1.014979094E+3	257.009400000E+0	999.999997475E-9	15.487596000E-12	10.248883313E-12	64.567799772E+3	42.727602504E+3	-267.125370000E-6	82.705042167E-3	130.995218585E-3	250.000150229E-3	-17.247697448E+6	5.340082616E+9	8.458073066E+9	16.141959684E+9	75.000000000E+0	23.848020780E-12
1.069748488E+3	256.042900000E+0	999.999997475E-9	23.841038000E-12	7.481349511E-12	41.944482345E+3	13.162234483E+3	8.735671043E-3	100.466726167E-3	137.425636002E-3	249.883570115E-3	366.413200773E+6	4.214024833E+9	5.764247178E+9	10.481237021E+9	75.000000000E+0	92.536749097E-12
1.122028551E+3	255.061600000E+0	999.999997475E-9	18.764447333E-12	6.692440181E-12	53.292270202E+3	19.006972286E+3	4.651512403E-3	95.967348000E-3	158.218838395E-3	251.731191117E-3	247.889656471E+6	5.114317853E+9	8.431841108E+9	13.415326689E+9	75.000000000E+0	16.757921439E-12
1.176764678E+3	254.026600000E+0	999.999997475E-9	20.270571000E-12	7.168279241E-12	49.332601310E+3	17.445481032E+3	-976.008463333E-6	140.377058367E-3	180.114041601E-3	253.334016115E-3	-48.149036519E+6	6.925165471E+9	8.885494227E+9	12.497626047E+9	75.000000000E+0	51.253140620E-12
1.230072913E+3	253.028000000E+0	999.999997475E-9	9.879521667E-12	7.168604104E-12	101.219475114E+3	73.445088661E+3	10.153072347E-3	110.285672800E-3	196.196541266E-3	254.393596269E-3	1.027688656E+9	11.163057942E+9	19.858910976E+9	25.749586352E+9	75.000000000E+0	48.185788692E-12
1.287240368E+3	252.040300000E+0	999.999997475E-9	21.098613000E-12	5.130138252E-12	47.396480398E+3	11.524477798E+3	12.329155853E-3	157.346126867E-3	207.133934433E-3	251.951386417E-3	584.358595199E+6	7.457652637E+9	9.817419488E+9	11.941608978E+9	75.000000000E+0	37.374624229E-12
1.339556749E+3	251.067100000E+0	999.999997475E-9	17.796629333E-12	4.375326087E-12	56.190415541E+3	13.814491853E+3	15.823261847E-3	NaN	226.966982618E-3	NaN	889.115660628E+6	NaN	12.753369100E+9	NaN	75.000000000E+0	26.714276624E-12
1.391741953E+3	250.059000000E+0	999.999997475E-9	10.518829667E-12	11.093607811E-12	95.067610102E+3	100.262369046E+3	2.944804370E-3	NaN	242.165504253E-3	NaN	279.955514379E+6	NaN	23.022095796E+9	NaN	75.000000000E+0	44.112796749E-12
1.450012282E+3	249.059800000E+0	999.999997475E-9	9.139196333E-12	5.848265028E-12	109.418811130E+3	70.018214200E+3	17.491005823E-3	NaN	257.860253631E-3	NaN	1.913845067E+9	NaN	28.214762461E+9	NaN	75.000000000E+0	-54.145174455E-12
