[Main]
Experiment = "RvsVg"
Header length = 74    
Date = "20191025 18:17:00"
Comments = ""

[System]
System = "PPMS"
Magnet stability range (G) = 5.000000E+1
Magnet check interval (s) = 1.000000E+0
Magnet approach mode = "Linear Approach"
Magnet mode = "Persistent"
Temperature stability time (s) = 1.000000E+0
Temperature approach mode = "Fast Settle"

[Static Temperature]
Set initial temperature = TRUE
Initial temperature (K) = 1.000000E+2
Delay after setting initial temperature (s) = 1.000000E+2
Initial temperature stabilization (K) = 2.000000E-1
Initial temperature ramp rate (K/min) = 1.000000E+1
Wait for initial temperature to stabilize = TRUE
Set final temperature = FALSE

[Dynamic Gate Voltage]
Pattern = "Linear Hysteresis"
Cycles = 1
Initial gate voltage (V) = -7.500000E+1
Final gate voltage (V) = 7.500000E+1
Measurement interval (V) = 5.000000E+0
Ramp step (V) = 1.000000E-1
Ramp delay (s) = 0.100000
Pre-measurement Delay = 1.000000E+0
Leak current measurement threshold = 1.000000
Check compliance = TRUE
Gate voltage source type = "Keithley 2400"
GPIB = "GPIB0::16::INSTR"
Gate leak limit (A) = 1.000000E-6
Autorange = TRUE
Number of current measurements = 30
Speed = 1.000000
Set finish gate voltage = FALSE

[Measure Voltage Configuration1]
Voltage meter = "Keithley 2182A"
Auto-range = "Manual"
GPIB = "GPIB0::7::INSTR"
Range (V) = 1.000000E+0
Speed = 1.000000

[Measure Voltage Configuration2]
Voltage meter = "Keithley 2182A"
Auto-range = "Manual"
GPIB = "GPIB0::8::INSTR"
Range (V) = 1.000000E+0
Speed = 1.000000

[Dynamic Voltage]
Voltage source = "Keithley 6430"
GPIB = "GPIB0::9::INSTR"
Initial Voltage (V) = 100.000000E-3
Final Voltage (V) = 100.000000E-3
Voltage step (V) = 1.000000E-12
Number of measurement sequences = 1.000000E+0
Samples/sequence = 30.000000E+0
Pre-measuement delay (s) = 5.000000E+0
Current limit (A) = 100.000000E-6
Auto-range = 0
Manual range (V) = 10.000000E+0
Measurement Type = "Subtract bias"
Pattern = "Linear"
Check compliance = 0
Measurement Speed = 1.000000
Time (s)	Gate Voltage (V)	Gate Leak Current (A)	Voltage 1 (V)	Current (A)	STD_Current (A)	Resistance 1 (Ohms)	STD_Resistance 1 (Ohms)	Voltage 2 (V)	Voltage 3 (V)	STD_Voltage 2 (V)	STD_Voltage 3 (V)	Resistance 2 (Ohms)	Resistance 3 (Ohms)	STD_Resistance 2 (Ohms)	STD_Resistance 3 (Ohms)	Temperature (K)
21.354308605E+0	0.000000000E+0	-162.432470483E-12	100.000001490E-3	163.750100000E-15	401.012441336E-15	610.686659062E+9	1.495528540E+12	0.000000000E+0	0.000000000E+0	27.170417096E+21	27.170417096E+21	0.000000000E+0	0.000000000E+0	NaN	NaN	99.998400000E+0
57.391768932E+0	-5.000000000E+0	-155.338555907E-12	100.000001490E-3	302.067400000E-15	412.712216367E-15	331.051948969E+9	452.313568401E+9	0.000000000E+0	0.000000000E+0	27.170417096E+21	27.170417096E+21	0.000000000E+0	0.000000000E+0	NaN	NaN	99.998500000E+0
93.252871037E+0	-10.000000000E+0	-157.226096494E-12	100.000001490E-3	640.562966667E-15	431.340162724E-15	156.112680086E+9	105.122637954E+9	0.000000000E+0	0.000000000E+0	27.170417096E+21	27.170417096E+21	0.000000000E+0	0.000000000E+0	NaN	NaN	100.000300000E+0
129.118036747E+0	-15.000000000E+0	-169.412425755E-12	100.000001490E-3	-515.079566667E-15	1.271471961E-12	-194.144765123E+9	479.245617792E+9	0.000000000E+0	0.000000000E+0	27.170417096E+21	27.170417096E+21	-0.000000000E+0	-0.000000000E+0	NaN	NaN	100.002100000E+0
164.977415085E+0	-20.000000000E+0	-177.932761465E-12	100.000001490E-3	12.639866667E-15	1.989385725E-12	NaN	NaN	0.000000000E+0	0.000000000E+0	27.170417096E+21	27.170417096E+21	0.000000000E+0	0.000000000E+0	NaN	NaN	100.000100000E+0
200.851413727E+0	-25.000000000E+0	-181.025495982E-12	100.000001490E-3	836.467400000E-15	705.365990444E-15	119.550387128E+9	100.812987122E+9	0.000000000E+0	0.000000000E+0	27.170417096E+21	27.170417096E+21	0.000000000E+0	0.000000000E+0	NaN	NaN	99.999600000E+0
236.664241791E+0	-30.000000000E+0	-185.514474153E-12	100.000001490E-3	1.137968067E-12	517.862602415E-15	87.875929404E+9	39.990276374E+9	0.000000000E+0	0.000000000E+0	27.170417096E+21	27.170417096E+21	0.000000000E+0	0.000000000E+0	NaN	NaN	99.999000000E+0
272.541348934E+0	-35.000000000E+0	-206.477674310E-12	100.000001490E-3	1.444559533E-12	540.983512727E-15	69.225254607E+9	25.924664607E+9	0.000000000E+0	0.000000000E+0	27.170417096E+21	27.170417096E+21	0.000000000E+0	0.000000000E+0	NaN	NaN	99.998700000E+0
308.390717506E+0	-40.000000000E+0	-203.936554912E-12	100.000001490E-3	1.155817300E-12	362.226418828E-15	86.518865473E+9	27.114509189E+9	0.000000000E+0	0.000000000E+0	27.170417096E+21	27.170417096E+21	0.000000000E+0	0.000000000E+0	NaN	NaN	100.000100000E+0
344.261827946E+0	-45.000000000E+0	-215.033342984E-12	100.000001490E-3	980.262600000E-15	830.937206926E-15	102.013482398E+9	86.473561403E+9	0.000000000E+0	0.000000000E+0	27.170417096E+21	27.170417096E+21	0.000000000E+0	0.000000000E+0	NaN	NaN	99.998500000E+0
380.112649441E+0	-50.000000000E+0	-228.435022287E-12	100.000001490E-3	1.021141400E-12	514.242566677E-15	97.929631969E+9	49.316955808E+9	0.000000000E+0	0.000000000E+0	27.170417096E+21	27.170417096E+21	0.000000000E+0	0.000000000E+0	NaN	NaN	99.999200000E+0
416.004522324E+0	-55.000000000E+0	-231.428798810E-12	100.000001490E-3	811.069966667E-15	610.575781958E-15	123.293927281E+9	92.816019769E+9	0.000000000E+0	0.000000000E+0	27.170417096E+21	27.170417096E+21	0.000000000E+0	0.000000000E+0	NaN	NaN	100.000400000E+0
451.845683098E+0	-60.000000000E+0	-250.236383466E-12	100.000001490E-3	906.099000000E-15	565.199566930E-15	110.363218026E+9	68.841531702E+9	0.000000000E+0	0.000000000E+0	27.170417096E+21	27.170417096E+21	0.000000000E+0	0.000000000E+0	NaN	NaN	100.000400000E+0
487.700267315E+0	-65.000000000E+0	-253.397781462E-12	100.000001490E-3	676.781100000E-15	3.987435643E-12	147.758265546E+9	870.557074615E+9	0.000000000E+0	0.000000000E+0	27.170417096E+21	27.170417096E+21	0.000000000E+0	0.000000000E+0	NaN	NaN	100.000400000E+0
523.557321548E+0	-70.000000000E+0	-250.653769499E-12	100.000001490E-3	1.030029000E-12	295.757576375E-15	97.084646636E+9	27.876418812E+9	0.000000000E+0	0.000000000E+0	27.170417096E+21	27.170417096E+21	0.000000000E+0	0.000000000E+0	NaN	NaN	100.000500000E+0
559.428416729E+0	-75.000000000E+0	-273.358623237E-12	100.000001490E-3	1.169074667E-12	326.617387613E-15	85.537737102E+9	23.897628638E+9	0.000000000E+0	0.000000000E+0	27.170417096E+21	27.170417096E+21	0.000000000E+0	0.000000000E+0	NaN	NaN	99.999600000E+0
595.263575077E+0	-70.000000000E+0	-187.442330985E-12	100.000001490E-3	676.914333333E-15	384.039444002E-15	147.729183097E+9	83.812427283E+9	0.000000000E+0	0.000000000E+0	27.170417096E+21	27.170417096E+21	0.000000000E+0	0.000000000E+0	NaN	NaN	99.999300000E+0
631.153132915E+0	-65.000000000E+0	-7.480873213E-12	100.000001490E-3	1.922417700E-12	4.643426543E-12	52.017832280E+9	125.644381622E+9	0.000000000E+0	0.000000000E+0	27.170417096E+21	27.170417096E+21	0.000000000E+0	0.000000000E+0	NaN	NaN	100.001500000E+0
666.983763218E+0	-60.000000000E+0	-125.357365229E-12	100.000001490E-3	507.254200000E-15	483.255043506E-15	197.139819621E+9	187.812761546E+9	0.000000000E+0	0.000000000E+0	27.170417096E+21	27.170417096E+21	0.000000000E+0	0.000000000E+0	NaN	NaN	100.000500000E+0
702.865409851E+0	-55.000000000E+0	-108.556327295E-12	100.000001490E-3	881.576933333E-15	351.358223609E-15	113.433096658E+9	45.209498835E+9	0.000000000E+0	0.000000000E+0	27.170417096E+21	27.170417096E+21	0.000000000E+0	0.000000000E+0	NaN	NaN	100.000500000E+0
738.741736889E+0	-50.000000000E+0	-105.083243727E-12	100.000001490E-3	675.383533333E-15	548.527958191E-15	148.064020745E+9	120.253531471E+9	0.000000000E+0	0.000000000E+0	27.170417096E+21	27.170417096E+21	0.000000000E+0	0.000000000E+0	NaN	NaN	99.999000000E+0
774.595094204E+0	-45.000000000E+0	-85.963968351E-12	100.000001490E-3	1.446705100E-12	2.815691640E-12	69.122588626E+9	134.531837155E+9	0.000000000E+0	0.000000000E+0	27.170417096E+21	27.170417096E+21	0.000000000E+0	0.000000000E+0	NaN	NaN	99.998700000E+0
810.445494652E+0	-40.000000000E+0	-78.013470626E-12	100.000001490E-3	-1.391663667E-12	3.218057460E-12	-71.856443396E+9	166.159517728E+9	0.000000000E+0	0.000000000E+0	27.170417096E+21	27.170417096E+21	-0.000000000E+0	-0.000000000E+0	NaN	NaN	99.999400000E+0
846.332444191E+0	-35.000000000E+0	-73.782614393E-12	100.000001490E-3	2.844797333E-12	19.366592066E-12	35.151889493E+9	239.304324483E+9	0.000000000E+0	0.000000000E+0	27.170417096E+21	27.170417096E+21	0.000000000E+0	0.000000000E+0	NaN	NaN	99.999300000E+0
883.115388870E+0	-30.000000000E+0	-56.743849781E-12	100.000001490E-3	2.185452144E-9	11.841269138E-9	45.757122502E+6	247.922336766E+6	0.000000000E+0	NaN	27.170417096E+21	NaN	0.000000000E+0	NaN	NaN	NaN	99.999400000E+0
