[Main]
Experiment = "RvsVg"
Header length = 74    
Date = "20191025 20:32:32"
Comments = ""

[System]
System = "PPMS"
Magnet stability range (G) = 5.000000E+1
Magnet check interval (s) = 1.000000E+0
Magnet approach mode = "Linear Approach"
Magnet mode = "Persistent"
Temperature stability time (s) = 1.000000E+0
Temperature approach mode = "Fast Settle"

[Static Temperature]
Set initial temperature = TRUE
Initial temperature (K) = 3.000000E+2
Delay after setting initial temperature (s) = 1.000000E+2
Initial temperature stabilization (K) = 2.000000E-1
Initial temperature ramp rate (K/min) = 1.000000E+1
Wait for initial temperature to stabilize = TRUE
Set final temperature = FALSE

[Dynamic Gate Voltage]
Pattern = "Linear Hysteresis"
Cycles = 1
Initial gate voltage (V) = -7.500000E+1
Final gate voltage (V) = 7.500000E+1
Measurement interval (V) = 5.000000E+0
Ramp step (V) = 1.000000E-1
Ramp delay (s) = 0.050000
Pre-measurement Delay = 1.000000E+0
Leak current measurement threshold = 1.000000
Check compliance = TRUE
Gate voltage source type = "Keithley 2400"
GPIB = "GPIB0::16::INSTR"
Gate leak limit (A) = 1.000000E-6
Autorange = TRUE
Number of current measurements = 30
Speed = 1.000000
Set finish gate voltage = FALSE

[Measure Voltage Configuration1]
Voltage meter = "Keithley 2182A"
Auto-range = "Manual"
GPIB = "GPIB0::7::INSTR"
Range (V) = 1.000000E+0
Speed = 1.000000

[Measure Voltage Configuration2]
Voltage meter = "Keithley 2182A"
Auto-range = "Manual"
GPIB = "GPIB0::8::INSTR"
Range (V) = 1.000000E+0
Speed = 1.000000

[Dynamic Voltage]
Voltage source = "Keithley 6430"
GPIB = "GPIB0::9::INSTR"
Initial Voltage (V) = 100.000000E-3
Final Voltage (V) = 100.000000E-3
Voltage step (V) = 1.000000E-12
Number of measurement sequences = 1.000000E+0
Samples/sequence = 30.000000E+0
Pre-measuement delay (s) = 5.000000E+0
Current limit (A) = 100.000000E-6
Auto-range = 0
Manual range (V) = 10.000000E+0
Measurement Type = "Subtract bias"
Pattern = "Linear"
Check compliance = 0
Measurement Speed = 1.000000
Time (s)	Gate Voltage (V)	Gate Leak Current (A)	Voltage 1 (V)	Current (A)	STD_Current (A)	Resistance 1 (Ohms)	STD_Resistance 1 (Ohms)	Voltage 2 (V)	Voltage 3 (V)	STD_Voltage 2 (V)	STD_Voltage 3 (V)	Resistance 2 (Ohms)	Resistance 3 (Ohms)	STD_Resistance 2 (Ohms)	STD_Resistance 3 (Ohms)	Temperature (K)
57.567224026E+0	0.000000000E+0	203.430598293E-12	100.000001490E-3	167.571247333E-12	12.449709604E-12	596.761097631E+6	44.336379220E+6	54.944949807E-3	62.314971437E-3	84.737568755E-3	113.190823393E-3	327.890080673E+6	371.871501993E+6	505.680837872E+6	675.478790033E+6	300.005500000E+0
93.974087238E+0	-5.000000000E+0	16.256334762E-12	100.000001490E-3	54.883868367E-12	19.352537144E-12	1.822029031E+9	642.463542510E+6	-13.650512990E-3	1.610505167E-3	289.411171532E-3	233.464417646E-3	-248.716305833E+6	29.343871243E+6	5.273155485E+9	4.253789403E+9	300.005800000E+0
130.948194504E+0	-10.000000000E+0	-57.332134757E-12	100.000001490E-3	82.659871200E-12	41.493297716E-12	1.209776885E+9	607.279345197E+6	17.866781167E-3	46.053787563E-3	359.665291396E-3	263.528733973E-3	216.148185417E+6	557.148068280E+6	4.351147494E+9	3.188109661E+9	300.005600000E+0
167.931383133E+0	-15.000000000E+0	-109.369060278E-12	100.000001490E-3	83.750663000E-12	45.216715520E-12	1.194020416E+9	644.647809924E+6	NaN	82.001295916E-3	NaN	277.116769433E-3	NaN	979.112200174E+6	NaN	3.308830754E+9	300.004700000E+0
204.771943569E+0	-20.000000000E+0	-126.954642516E-12	100.000001490E-3	95.885481000E-12	52.615895810E-12	1.042910777E+9	572.283563766E+6	NaN	93.848716554E-3	NaN	283.724920703E-3	NaN	978.758364412E+6	NaN	2.958997731E+9	300.005300000E+0
243.377378464E+0	-25.000000000E+0	-156.382725288E-12	100.000001490E-3	124.590805667E-12	50.628577573E-12	802.627456778E+6	326.154777157E+6	NaN	123.247394727E-3	NaN	284.420449278E-3	NaN	989.217415102E+6	NaN	2.282836585E+9	300.003700000E+0
279.418859482E+0	-30.000000000E+0	-166.436881175E-12	100.000001490E-3	124.781392000E-12	52.001782543E-12	801.401554249E+6	333.978557906E+6	NaN	134.307079637E-3	NaN	290.829241983E-3	NaN	1.076339008E+9	NaN	2.330710031E+9	300.006400000E+0
315.239440918E+0	-35.000000000E+0	-189.535567796E-12	100.000001490E-3	133.476980000E-12	64.006784268E-12	749.192868239E+6	359.263644509E+6	NaN	137.730087807E-3	NaN	295.631790729E-3	NaN	1.031863980E+9	NaN	2.214852259E+9	300.002100000E+0
351.225725174E+0	-40.000000000E+0	-207.146279296E-12	100.000001490E-3	135.306801000E-12	64.523050401E-12	739.061161383E+6	352.432251838E+6	0.000000000E+0	142.704121106E-3	27.170417096E+21	293.904929994E-3	0.000000000E+0	1.054670719E+9	NaN	2.172137157E+9	300.005600000E+0
386.997311115E+0	-45.000000000E+0	-214.540276748E-12	100.000001490E-3	132.717076000E-12	70.729786289E-12	753.482554800E+6	401.558425484E+6	0.000000000E+0	128.222032650E-3	27.170417096E+21	293.515816361E-3	0.000000000E+0	966.130633029E+6	NaN	2.211590439E+9	300.004400000E+0
422.978463173E+0	-50.000000000E+0	-224.088137860E-12	100.000001490E-3	140.309062667E-12	78.250138894E-12	712.712347938E+6	397.478531731E+6	0.000000000E+0	126.184726537E-3	27.170417096E+21	294.274576088E-3	0.000000000E+0	899.334113840E+6	NaN	2.097331209E+9	300.000700000E+0
459.663817883E+0	-55.000000000E+0	-238.185431332E-12	100.000001490E-3	147.940907667E-12	82.024719100E-12	675.945572238E+6	374.772918213E+6	0.000000000E+0	138.025643244E-3	27.170417096E+21	293.742983699E-3	0.000000000E+0	932.978210158E+6	NaN	1.985542662E+9	300.000400000E+0
495.438455582E+0	-60.000000000E+0	-260.350472199E-12	100.000001490E-3	147.059890000E-12	86.582271129E-12	679.995078808E+6	400.350620959E+6	0.000000000E+0	132.806280622E-3	27.170417096E+21	295.393232412E-3	0.000000000E+0	903.076159119E+6	NaN	2.008659414E+9	300.001900000E+0
531.429070473E+0	-65.000000000E+0	-260.377388169E-12	100.000001490E-3	148.019210000E-12	85.859232302E-12	675.587996248E+6	391.877964422E+6	0.000000000E+0	119.264251050E-3	27.170417096E+21	295.634831882E-3	0.000000000E+0	805.734951903E+6	NaN	1.997273407E+9	300.000400000E+0
568.834656239E+0	-70.000000000E+0	-262.797855236E-12	100.000001490E-3	147.624823333E-12	89.864979483E-12	677.392861391E+6	412.355417037E+6	0.000000000E+0	113.333251839E-3	27.170417096E+21	284.292487268E-3	0.000000000E+0	767.711346098E+6	NaN	1.925776986E+9	299.999800000E+0
603.828951359E+0	-75.000000000E+0	-287.120312248E-12	100.000001490E-3	29.449433333E-12	11.528002894E-12	3.395651127E+9	1.329230195E+9	0.000000000E+0	90.132881610E-3	27.170417096E+21	285.655416696E-3	0.000000000E+0	3.060598165E+9	NaN	9.699861232E+9	300.000800000E+0
638.667164326E+0	-70.000000000E+0	-189.705173098E-12	100.000001490E-3	-45.228294333E-12	49.331830103E-12	-2.211005367E+9	2.411608545E+9	NaN	34.274662520E-3	NaN	290.609003986E-3	NaN	-757.814616378E+6	NaN	6.425380578E+9	300.001200000E+0
676.645165920E+0	-65.000000000E+0	-155.652160374E-12	100.000001490E-3	43.267461667E-12	23.418787525E-12	2.311205641E+9	1.250954684E+9	NaN	77.076788467E-3	NaN	268.759899301E-3	NaN	1.781403057E+9	NaN	6.211593862E+9	300.004000000E+0
