[Main]
Experiment = "RvsVg"
Header length = 74    
Date = "20191028 16:50:23"
Comments = ""

[System]
System = "PPMS"
Magnet stability range (G) = 5.000000E+1
Magnet check interval (s) = 1.000000E+0
Magnet approach mode = "Linear Approach"
Magnet mode = "Persistent"
Temperature stability time (s) = 1.000000E+0
Temperature approach mode = "Fast Settle"

[Static Temperature]
Set initial temperature = TRUE
Initial temperature (K) = 2.000000E+2
Delay after setting initial temperature (s) = 1.000000E+1
Initial temperature stabilization (K) = 2.000000E-1
Initial temperature ramp rate (K/min) = 1.000000E+1
Wait for initial temperature to stabilize = TRUE
Set final temperature = FALSE

[Dynamic Gate Voltage]
Pattern = "Linear Hysteresis"
Cycles = 1
Initial gate voltage (V) = -7.500000E+1
Final gate voltage (V) = 7.500000E+1
Measurement interval (V) = 5.000000E+0
Ramp step (V) = 1.000000E-1
Ramp delay (s) = 0.100000
Pre-measurement Delay = 1.000000E+0
Leak current measurement threshold = 1.000000
Check compliance = TRUE
Gate voltage source type = "Keithley 2400"
GPIB = "GPIB0::16::INSTR"
Gate leak limit (A) = 1.000000E-6
Autorange = TRUE
Number of current measurements = 30
Speed = 1.000000
Set finish gate voltage = FALSE

[Measure Voltage Configuration1]
Voltage meter = "Keithley 2182A"
Auto-range = "Manual"
GPIB = "GPIB0::7::INSTR"
Range (V) = 1.000000E+0
Speed = 1.000000

[Measure Voltage Configuration2]
Voltage meter = "Keithley 2182A"
Auto-range = "Manual"
GPIB = "GPIB0::8::INSTR"
Range (V) = 1.000000E+0
Speed = 1.000000

[Dynamic Voltage]
Voltage source = "Keithley 6430"
GPIB = "GPIB0::9::INSTR"
Initial Voltage (V) = 100.000000E-3
Final Voltage (V) = 100.000000E-3
Voltage step (V) = 1.000000E-12
Number of measurement sequences = 1.000000E+0
Samples/sequence = 30.000000E+0
Pre-measuement delay (s) = 1.000000E+0
Current limit (A) = 100.000000E-6
Auto-range = 0
Manual range (V) = 10.000000E+0
Measurement Type = "Subtract bias"
Pattern = "Linear"
Check compliance = 0
Measurement Speed = 1.000000
Time (s)	Gate Voltage (V)	Gate Leak Current (A)	Voltage 1 (V)	Current (A)	STD_Current (A)	Resistance 1 (Ohms)	STD_Resistance 1 (Ohms)	Voltage 2 (V)	Voltage 3 (V)	STD_Voltage 2 (V)	STD_Voltage 3 (V)	Resistance 2 (Ohms)	Resistance 3 (Ohms)	STD_Resistance 2 (Ohms)	STD_Resistance 3 (Ohms)	Temperature (K)
2.584495068E+0	0.000000000E+0	-47.630822001E-12	100.000001490E-3	23.082701333E-12	3.789844945E-12	4.332248641E+9	711.292425319E+6	-23.357424303E-3	205.598137033E-3	129.562095164E-3	246.209860598E-3	-1.011901682E+9	8.907022366E+9	5.612952024E+9	10.666423182E+9	200.029300000E+0
33.847217560E+0	-5.000000000E+0	-99.903605758E-12	100.000001490E-3	318.799200000E-15	357.721693585E-15	313.677077891E+9	351.974206780E+9	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	199.989900000E+0
63.116295815E+0	-10.000000000E+0	-124.238201555E-12	100.000001490E-3	839.034433333E-15	509.091199778E-15	119.184621652E+9	72.316271683E+9	0.000000000E+0	0.000000000E+0	27.170417096E+21	27.170417096E+21	0.000000000E+0	0.000000000E+0	NaN	NaN	200.004900000E+0
90.996942997E+0	-15.000000000E+0	-146.115313598E-12	100.000001490E-3	838.310100000E-15	502.744133221E-15	119.287601915E+9	71.538136101E+9	0.000000000E+0	0.000000000E+0	27.170417096E+21	27.170417096E+21	0.000000000E+0	0.000000000E+0	NaN	NaN	199.999400000E+0
118.916633606E+0	-20.000000000E+0	-163.909005581E-12	100.000001490E-3	925.723633333E-15	519.291540938E-15	108.023602174E+9	60.596641169E+9	0.000000000E+0	0.000000000E+0	27.170417096E+21	27.170417096E+21	0.000000000E+0	0.000000000E+0	NaN	NaN	199.998100000E+0
146.824491024E+0	-25.000000000E+0	-193.205292274E-12	100.000001490E-3	1.161724800E-12	838.100797448E-15	86.078907406E+9	62.099733896E+9	0.000000000E+0	0.000000000E+0	27.170417096E+21	27.170417096E+21	0.000000000E+0	0.000000000E+0	NaN	NaN	200.001700000E+0
174.691060066E+0	-30.000000000E+0	-195.890632188E-12	100.000001490E-3	1.131511367E-12	518.476119606E-15	88.377372456E+9	40.495887608E+9	0.000000000E+0	0.000000000E+0	27.170417096E+21	27.170417096E+21	0.000000000E+0	0.000000000E+0	NaN	NaN	200.002900000E+0
202.576387882E+0	-35.000000000E+0	-210.415438776E-12	100.000001490E-3	1.550148233E-12	772.623618080E-15	64.509960622E+9	32.153001956E+9	0.000000000E+0	0.000000000E+0	27.170417096E+21	27.170417096E+21	0.000000000E+0	0.000000000E+0	NaN	NaN	199.999800000E+0
230.435639381E+0	-40.000000000E+0	-228.287782428E-12	100.000001490E-3	1.140553367E-12	682.693728601E-15	87.676740443E+9	52.480105354E+9	0.000000000E+0	0.000000000E+0	27.170417096E+21	27.170417096E+21	0.000000000E+0	0.000000000E+0	NaN	NaN	199.998900000E+0
258.304751873E+0	-45.000000000E+0	-235.656682131E-12	100.000001490E-3	-988.050000000E-15	1.104147518E-12	-101.209454471E+9	113.101733709E+9	0.000000000E+0	0.000000000E+0	27.170417096E+21	27.170417096E+21	-0.000000000E+0	-0.000000000E+0	NaN	NaN	199.999400000E+0
