[Main]
Experiment = "RvsVg"
Header length = 74    
Date = "20191029 09:49:57"
Comments = ""

[System]
System = "PPMS"
Magnet stability range (G) = 5.000000E+1
Magnet check interval (s) = 1.000000E+0
Magnet approach mode = "Linear Approach"
Magnet mode = "Persistent"
Temperature stability time (s) = 1.000000E+0
Temperature approach mode = "Fast Settle"

[Static Temperature]
Set initial temperature = TRUE
Initial temperature (K) = 8.000000E+1
Delay after setting initial temperature (s) = 1.000000E+1
Initial temperature stabilization (K) = 2.000000E-1
Initial temperature ramp rate (K/min) = 1.000000E+1
Wait for initial temperature to stabilize = TRUE
Set final temperature = FALSE

[Dynamic Gate Voltage]
Pattern = "Linear Hysteresis"
Cycles = 1
Initial gate voltage (V) = -7.500000E+1
Final gate voltage (V) = 7.500000E+1
Measurement interval (V) = 5.000000E+0
Ramp step (V) = 1.000000E-1
Ramp delay (s) = 0.100000
Pre-measurement Delay = 1.000000E+0
Leak current measurement threshold = 1.000000
Check compliance = TRUE
Gate voltage source type = "Keithley 2400"
GPIB = "GPIB0::16::INSTR"
Gate leak limit (A) = 1.000000E-6
Autorange = TRUE
Number of current measurements = 30
Speed = 1.000000
Set finish gate voltage = FALSE

[Measure Voltage Configuration1]
Voltage meter = "Keithley 2182A"
Auto-range = "Manual"
GPIB = "GPIB0::7::INSTR"
Range (V) = 1.000000E+0
Speed = 1.000000

[Measure Voltage Configuration2]
Voltage meter = "Keithley 2182A"
Auto-range = "Manual"
GPIB = "GPIB0::8::INSTR"
Range (V) = 1.000000E+0
Speed = 1.000000

[Dynamic Voltage]
Voltage source = "Keithley 6430"
GPIB = "GPIB0::9::INSTR"
Initial Voltage (V) = 100.000000E-3
Final Voltage (V) = 100.000000E-3
Voltage step (V) = 1.000000E-12
Number of measurement sequences = 1.000000E+0
Samples/sequence = 30.000000E+0
Pre-measuement delay (s) = 1.000000E+0
Current limit (A) = 100.000000E-6
Auto-range = 0
Manual range (V) = 10.000000E+0
Measurement Type = "Subtract bias"
Pattern = "Linear"
Check compliance = 0
Measurement Speed = 1.000000
Time (s)	Gate Voltage (V)	Gate Leak Current (A)	Voltage 1 (V)	Current (A)	STD_Current (A)	Resistance 1 (Ohms)	STD_Resistance 1 (Ohms)	Voltage 2 (V)	Voltage 3 (V)	STD_Voltage 2 (V)	STD_Voltage 3 (V)	Resistance 2 (Ohms)	Resistance 3 (Ohms)	STD_Resistance 2 (Ohms)	STD_Resistance 3 (Ohms)	Temperature (K)
34.442376614E+0	0.000000000E+0	-11.317002572E-12	100.000001490E-3	-62.782305267E-12	155.740912795E-12	-1.592805506E+9	3.951192654E+9	163.374733443E-3	NaN	377.350920664E-3	NaN	-2.602241710E+9	NaN	6.010466151E+9	NaN	79.999600000E+0
121.465680122E+0	-5.000000000E+0	-84.423793939E-12	100.000001490E-3	-2.926305633E-12	222.770100013E-12	-34.172780981E+9	2.601462318E+12	NaN	0.000000000E+0	NaN	27.170417096E+21	NaN	-0.000000000E+0	NaN	NaN	79.999600000E+0
216.973943233E+0	-10.000000000E+0	-102.669901863E-12	100.000001490E-3	-7.881381890E-12	246.320811917E-12	-12.688130443E+9	396.548554083E+9	0.000000000E+0	0.000000000E+0	27.170417096E+21	27.170417096E+21	-0.000000000E+0	-0.000000000E+0	NaN	NaN	80.000000000E+0
310.457216740E+0	-15.000000000E+0	-117.063685539E-12	100.000001490E-3	32.528504453E-12	241.198206813E-12	3.074226841E+9	22.795330246E+9	0.000000000E+0	0.000000000E+0	27.170417096E+21	27.170417096E+21	0.000000000E+0	0.000000000E+0	NaN	NaN	79.999400000E+0
403.873325825E+0	-20.000000000E+0	-120.553786398E-12	100.000001490E-3	63.764071030E-12	222.541993495E-12	1.568281320E+9	5.473434266E+9	0.000000000E+0	0.000000000E+0	27.170417096E+21	27.170417096E+21	0.000000000E+0	0.000000000E+0	NaN	NaN	80.000700000E+0
497.597388744E+0	-25.000000000E+0	-145.732700965E-12	100.000001490E-3	64.969259738E-12	239.281651272E-12	1.539189486E+9	5.668831741E+9	0.000000000E+0	0.000000000E+0	27.170417096E+21	27.170417096E+21	0.000000000E+0	0.000000000E+0	NaN	NaN	79.999800000E+0
590.405601025E+0	-30.000000000E+0	-151.544261862E-12	100.000001490E-3	1.112538071E-12	236.729609377E-12	89.884565838E+9	19.125941588E+12	0.000000000E+0	0.000000000E+0	27.170417096E+21	27.170417096E+21	0.000000000E+0	0.000000000E+0	NaN	NaN	80.000600000E+0
678.369634628E+0	-35.000000000E+0	-157.510012209E-12	100.000001490E-3	21.292256737E-12	218.337064414E-12	4.696543101E+9	48.159734609E+9	0.000000000E+0	0.000000000E+0	27.170417096E+21	27.170417096E+21	0.000000000E+0	0.000000000E+0	NaN	NaN	79.999400000E+0
766.440356255E+0	-40.000000000E+0	-187.696077662E-12	100.000001490E-3	63.884720910E-12	237.520131662E-12	1.565319533E+9	5.819778129E+9	0.000000000E+0	0.000000000E+0	27.170417096E+21	27.170417096E+21	0.000000000E+0	0.000000000E+0	NaN	NaN	79.999700000E+0
861.805978298E+0	-45.000000000E+0	-179.975307285E-12	100.000001490E-3	58.329980967E-12	229.489906067E-12	1.714384264E+9	6.744968491E+9	0.000000000E+0	0.000000000E+0	27.170417096E+21	27.170417096E+21	0.000000000E+0	0.000000000E+0	NaN	NaN	80.000100000E+0
957.152327061E+0	-50.000000000E+0	-198.164293539E-12	100.000001490E-3	-13.915575173E-12	213.655977299E-12	-7.186192467E+9	110.334855409E+9	0.000000000E+0	0.000000000E+0	27.170417096E+21	27.170417096E+21	-0.000000000E+0	-0.000000000E+0	NaN	NaN	79.999600000E+0
1.044489576E+3	-55.000000000E+0	-209.944939327E-12	100.000001490E-3	22.428128713E-12	214.894452408E-12	4.458686802E+9	42.720775819E+9	0.000000000E+0	0.000000000E+0	27.170417096E+21	27.170417096E+21	0.000000000E+0	0.000000000E+0	NaN	NaN	79.999700000E+0
1.148746498E+3	-60.000000000E+0	-198.475962054E-12	100.000001490E-3	-7.247725370E-12	213.770362647E-12	-13.797432489E+9	406.952801901E+9	0.000000000E+0	0.000000000E+0	27.170417096E+21	27.170417096E+21	-0.000000000E+0	-0.000000000E+0	NaN	NaN	80.000600000E+0
1.239771413E+3	-65.000000000E+0	-214.301546878E-12	100.000001490E-3	-31.496856270E-12	205.950138029E-12	-3.174920082E+9	20.760015651E+9	0.000000000E+0	0.000000000E+0	27.170417096E+21	27.170417096E+21	-0.000000000E+0	-0.000000000E+0	NaN	NaN	80.000300000E+0
1.334549692E+3	-70.000000000E+0	-227.807101424E-12	100.000001490E-3	2.147605067E-12	208.952361467E-12	46.563496726E+9	4.530419838E+12	0.000000000E+0	0.000000000E+0	27.170417096E+21	27.170417096E+21	0.000000000E+0	0.000000000E+0	NaN	NaN	79.999600000E+0
1.433949430E+3	-75.000000000E+0	-229.214992588E-12	100.000001490E-3	-17.008966090E-12	240.570142281E-12	-5.879252211E+9	83.154527642E+9	0.000000000E+0	0.000000000E+0	27.170417096E+21	27.170417096E+21	-0.000000000E+0	-0.000000000E+0	NaN	NaN	79.999100000E+0
1.528209103E+3	-70.000000000E+0	-176.644312603E-12	100.000001490E-3	-71.456588833E-12	248.466763674E-12	-1.399451095E+9	4.866130474E+9	0.000000000E+0	0.000000000E+0	27.170417096E+21	27.170417096E+21	-0.000000000E+0	-0.000000000E+0	NaN	NaN	80.000000000E+0
1.625242861E+3	-65.000000000E+0	-154.164057908E-12	100.000001490E-3	-6.813355533E-12	223.566276256E-12	-14.677056114E+9	481.597469242E+9	0.000000000E+0	0.000000000E+0	27.170417096E+21	27.170417096E+21	-0.000000000E+0	-0.000000000E+0	NaN	NaN	79.999700000E+0
