[Main]
Experiment = "RvsVg_300.0K"
Header length = 74    
Date = "20191031 01:35:41"
Comments = ""

[System]
System = "PPMS"
Magnet stability range (G) = 5.000000E+1
Magnet check interval (s) = 1.000000E+0
Magnet approach mode = "Linear Approach"
Magnet mode = "Persistent"
Temperature stability time (s) = 1.000000E+0
Temperature approach mode = "Fast Settle"

[Static Temperature]
Set initial temperature = TRUE
Initial temperature (K) = 3.000000E+2
Delay after setting initial temperature (s) = 1.000000E+1
Initial temperature stabilization (K) = 2.000000E-1
Initial temperature ramp rate (K/min) = 1.000000E+1
Wait for initial temperature to stabilize = TRUE
Set final temperature = FALSE

[Dynamic Gate Voltage]
Pattern = "Linear Hysteresis"
Cycles = 1
Initial gate voltage (V) = -7.500000E+1
Final gate voltage (V) = 7.500000E+1
Measurement interval (V) = 5.000000E+0
Ramp step (V) = 1.000000E-1
Ramp delay (s) = 0.100000
Pre-measurement Delay = 1.000000E+0
Leak current measurement threshold = 1.000000
Check compliance = TRUE
Gate voltage source type = "Keithley 2400"
GPIB = "GPIB0::16::INSTR"
Gate leak limit (A) = 1.000000E-6
Autorange = TRUE
Number of current measurements = 30
Speed = 1.000000
Set finish gate voltage = FALSE

[Measure Voltage Configuration1]
Voltage meter = "Keithley 2182A"
Auto-range = "Manual"
GPIB = "GPIB0::7::INSTR"
Range (V) = 1.000000E+0
Speed = 1.000000

[Measure Voltage Configuration2]
Voltage meter = "Keithley 2182A"
Auto-range = "Manual"
GPIB = "GPIB0::8::INSTR"
Range (V) = 1.000000E+0
Speed = 1.000000

[Dynamic Voltage]
Voltage source = "Keithley 6430"
GPIB = "GPIB0::9::INSTR"
Initial Voltage (V) = 100.000000E-3
Final Voltage (V) = 100.000000E-3
Voltage step (V) = 1.000000E-12
Number of measurement sequences = 1.000000E+0
Samples/sequence = 30.000000E+0
Pre-measuement delay (s) = 1.000000E+0
Current limit (A) = 100.000000E-6
Auto-range = 0
Manual range (V) = 10.000000E+0
Measurement Type = "Subtract bias"
Pattern = "Linear"
Check compliance = 0
Measurement Speed = 1.000000
Time (s)	Gate Voltage (V)	Gate Leak Current (A)	Voltage 1 (V)	Current (A)	STD_Current (A)	Resistance 1 (Ohms)	STD_Resistance 1 (Ohms)	Voltage 2 (V)	Voltage 3 (V)	STD_Voltage 2 (V)	STD_Voltage 3 (V)	Resistance 2 (Ohms)	Resistance 3 (Ohms)	STD_Resistance 2 (Ohms)	STD_Resistance 3 (Ohms)	Temperature (K)
15.661608696E+0	0.000000000E+0	-63.299441412E-12	100.000001490E-3	48.501781507E-12	124.414457844E-12	2.061779967E+9	5.288779687E+9	46.385979053E-3	69.272338210E-3	266.948111617E-3	214.545154195E-3	956.376809519E+6	1.428243171E+9	5.503882606E+9	4.423448944E+9	300.059000000E+0
108.090723038E+0	-5.000000000E+0	-95.642541225E-12	100.000001490E-3	-18.341023533E-12	141.178049579E-12	-5.452258502E+9	41.968171497E+9	-24.126018433E-3	66.523184407E-3	355.820149547E-3	241.036868155E-3	1.315412872E+9	-3.627015923E+9	19.400234065E+9	13.141952940E+9	300.018200000E+0
196.352914333E+0	-10.000000000E+0	-108.336878878E-12	100.000001490E-3	-4.801605233E-12	145.929585942E-12	-20.826368814E+9	632.951529762E+9	33.223693700E-3	141.122404454E-3	382.253168224E-3	266.706627575E-3	-6.919288881E+9	-29.390671993E+9	79.609453432E+9	55.545305083E+9	300.012000000E+0
285.911742210E+0	-15.000000000E+0	-131.594517343E-12	100.000001490E-3	17.551936723E-12	116.343641665E-12	5.697377051E+9	37.765267988E+9	NaN	54.681859016E-3	NaN	279.176226391E-3	NaN	3.115431640E+9	NaN	15.905722018E+9	300.004700000E+0
374.346094131E+0	-20.000000000E+0	-153.466349871E-12	100.000001490E-3	-6.475540067E-12	102.775313164E-12	-15.442727627E+9	245.096339714E+9	NaN	91.138943648E-3	NaN	267.762601142E-3	NaN	-14.074338620E+9	NaN	41.349848566E+9	300.001600000E+0
474.586767197E+0	-25.000000000E+0	-165.072823003E-12	100.000001490E-3	17.643204533E-12	119.317511456E-12	5.667904677E+9	38.330921117E+9	NaN	51.838077304E-3	NaN	297.691065776E-3	NaN	2.938132764E+9	NaN	16.872845588E+9	300.001600000E+0
573.585037708E+0	-30.000000000E+0	-170.768770421E-12	100.000001490E-3	26.292456733E-12	129.323548106E-12	3.803372294E+9	18.707479672E+9	NaN	80.651380497E-3	NaN	282.153502547E-3	NaN	3.067472215E+9	NaN	10.731347984E+9	300.005400000E+0
666.982604980E+0	-35.000000000E+0	-182.378616607E-12	100.000001490E-3	-2.917049900E-12	156.488499610E-12	-34.281210441E+9	1.839054994E+12	NaN	41.144810744E-3	NaN	273.114882951E-3	NaN	-14.104938947E+9	NaN	93.627086376E+9	300.000000000E+0
764.239987850E+0	-40.000000000E+0	-210.407221276E-12	100.000001490E-3	-18.897479120E-12	136.344737429E-12	-5.291711178E+9	38.179535296E+9	NaN	22.831356857E-3	NaN	274.786470955E-3	NaN	-1.208169445E+9	NaN	14.540906182E+9	300.016400000E+0
861.083241463E+0	-45.000000000E+0	-221.440446535E-12	100.000001490E-3	4.167946133E-12	140.107809705E-12	23.992632892E+9	806.525597020E+9	NaN	33.614138088E-3	NaN	271.314050105E-3	NaN	8.064916631E+9	NaN	65.095383056E+9	299.997600000E+0
