[Main]
Experiment = "RvsT_75.00Vg"
Header length = 73    
Date = "20191103 12:15:49"
Comments = "Volt1: V1+ to V1-; Volt2: V2+ to V2-"

[System]
System = "PPMS"
Magnet stability range (G) = 5.000000E+1
Magnet check interval (s) = 1.000000E+0
Magnet approach mode = "Linear Approach"
Magnet mode = "Persistent"
Temperature stability time (s) = 1.000000E+0
Temperature approach mode = "Fast Settle"

[Static Gate Voltage]
Set initial gate voltage = TRUE
Initial gate voltage (V) = 7.500000E+1
Initial gate volt. ramp step (V) = 1.000000E-1
Initial voltage ramp delay (s) = 1.000000E-1
Delay after inital voltage set = 100.000000
Leak current threshold for initial set = 1.000000
Set final gate voltage = FALSE
Gate voltage source type = "Keithley 2400"
GPIB = "GPIB0::16::INSTR"
Gate leak limit (A) = 1.000000E-6
Auto-range = FALSE
Manual range (V) = 5.000000
Check Compliance = TRUE
Measuement speed = 1.000000
Number of measurements = 1

[Dynamic Temperature]
Initial temperature (K) = 3.000000E+2
Final temperature (K) = 4.000000E+0
Ramp rate (K/min) = 1.000000E+1
Step control = "Step Control"
Temperature interval (K) = 1.000000
Stability Temperature (K) = 0.200000
Stability time (s) = FALSE
Go to other temperature at finish = FALSE

[Measure Voltage Configuration1]
Voltage meter = "Keithley 2182A"
Auto-range = "Manual"
GPIB = "GPIB0::7::INSTR"
Range (V) = 1.000000E+0
Speed = 1.000000

[Measure Voltage Configuration2]
Voltage meter = "Keithley 2182A"
Auto-range = "Manual"
GPIB = "GPIB0::8::INSTR"
Range (V) = 1.000000E+0
Speed = 1.000000

[Dynamic Voltage]
Voltage source = "Keithley 6430"
GPIB = "GPIB0::9::INSTR"
Initial Voltage (V) = 100.000000E-3
Final Voltage (V) = 100.000000E-3
Voltage step (V) = 1.000000E-12
Number of measurement sequences = 1.000000E+0
Samples/sequence = 30.000000E+0
Pre-measuement delay (s) = 1.000000E+0
Current limit (A) = 100.000000E-6
Auto-range = 0
Manual range (V) = 10.000000E+0
Measurement Type = "Subtract bias"
Pattern = "Linear"
Check compliance = 0
Measurement Speed = 1.000000
Time (s)	Temperature (K)	Voltage 1 (V)	Current (A)	STD_Current (A)	Resistance 1 (Ohms)	STD_Resistance 1 (Ohms)	Voltage 2 (V)	Voltage 3 (V)	STD_Voltage 2 (V)	STD_Voltage 3 (V)	Resistance 2 (Ohms)	Resistance 3 (Ohms)	STD_Resistance 2 (Ohms)	STD_Resistance 3 (Ohms)	Gate Voltage (V)	Gate Leak Current (A)
45.893761635E+0	4.500000000E+0	100.000001490E-3	-8.847378333E-12	21.213037543E-12	-11.302783460E+9	27.100273193E+9	311.256250787E-3	0.000000000E+0	324.783052641E-3	27.170417096E+21	-35.180619508E+9	-0.000000000E+0	36.709524608E+9	NaN	75.000000000E+0	130.347663219E-12
176.608283520E+0	298.826700000E+0	100.000001490E-3	-6.964783000E-12	23.302404380E-12	-14.357949342E+9	48.038071198E+9	314.844743530E-3	0.000000000E+0	324.689719099E-3	27.170417096E+21	-45.205248108E+9	-0.000000000E+0	46.618784691E+9	NaN	75.000000000E+0	176.608894176E-12
231.340956211E+0	298.064600000E+0	100.000001490E-3	-1.476827667E-12	22.310639602E-12	-67.712708630E+9	1.022945245E+12	304.269319323E-3	0.000000000E+0	324.014490815E-3	27.170417096E+21	-206.028994575E+9	-0.000000000E+0	219.398984816E+9	NaN	75.000000000E+0	62.917511479E-12
284.317469120E+0	297.034700000E+0	100.000001490E-3	-4.167153667E-12	24.301361057E-12	-23.997195565E+9	139.943126758E+9	324.062393477E-3	0.000000000E+0	321.759778371E-3	27.170417096E+21	-77.765885158E+9	-0.000000000E+0	77.213322116E+9	NaN	75.000000000E+0	98.266825233E-12
342.118508816E+0	296.070600000E+0	100.000001490E-3	168.987666667E-15	27.641192704E-12	591.759170729E+9	96.793627579E+12	279.147224767E-3	0.000000000E+0	326.837596432E-3	27.170417096E+21	NaN	0.000000000E+0	NaN	NaN	75.000000000E+0	32.395301719E-12
397.453939438E+0	295.055100000E+0	100.000001490E-3	-10.177345333E-12	22.460702043E-12	-9.825745144E+9	21.684744578E+9	323.248996017E-3	0.000000000E+0	327.526938644E-3	27.170417096E+21	-31.761622057E+9	-0.000000000E+0	32.181961790E+9	NaN	75.000000000E+0	127.783353343E-12
455.861980915E+0	294.013000000E+0	100.000001490E-3	-5.774932000E-12	20.131984673E-12	-17.316221471E+9	60.366062361E+9	312.468132133E-3	0.000000000E+0	326.040342292E-3	27.170417096E+21	-54.107672979E+9	-0.000000000E+0	56.457866914E+9	NaN	75.000000000E+0	163.509830675E-15
509.962003231E+0	293.045400000E+0	100.000001490E-3	-9.367765333E-12	21.601647593E-12	-10.674904626E+9	24.615852298E+9	NaN	0.000000000E+0	NaN	27.170417096E+21	NaN	-0.000000000E+0	NaN	NaN	75.000000000E+0	124.514787370E-12
564.053517818E+0	292.024200000E+0	100.000001490E-3	-10.092840333E-12	21.462898210E-12	-9.908013818E+9	21.069855960E+9	NaN	0.000000000E+0	NaN	27.170417096E+21	NaN	-0.000000000E+0	NaN	NaN	75.000000000E+0	120.290985506E-12
620.651089668E+0	291.015000000E+0	100.000001490E-3	-11.725268333E-12	21.839430472E-12	-8.528589594E+9	15.885311462E+9	NaN	0.000000000E+0	NaN	27.170417096E+21	NaN	-0.000000000E+0	NaN	NaN	75.000000000E+0	111.239864542E-12
674.943699360E+0	290.026500000E+0	100.000001490E-3	-10.820065333E-12	21.914553623E-12	-9.242088510E+9	18.718578677E+9	NaN	0.000000000E+0	NaN	27.170417096E+21	NaN	-0.000000000E+0	NaN	NaN	75.000000000E+0	153.880505560E-12
728.255474567E+0	289.063600000E+0	100.000001490E-3	-12.077522333E-12	19.988677512E-12	-8.279844055E+9	13.703401087E+9	NaN	0.000000000E+0	NaN	27.170417096E+21	NaN	-0.000000000E+0	NaN	NaN	75.000000000E+0	62.766632170E-12
784.525234699E+0	288.056400000E+0	100.000001490E-3	-11.261201333E-12	19.560063783E-12	-8.880047388E+9	15.424135327E+9	NaN	0.000000000E+0	NaN	27.170417096E+21	NaN	-0.000000000E+0	NaN	NaN	75.000000000E+0	93.690985525E-12
838.133531094E+0	287.049800000E+0	100.000001490E-3	-11.722783667E-12	20.524083685E-12	-8.530397245E+9	14.934898732E+9	NaN	0.000000000E+0	NaN	27.170417096E+21	NaN	-0.000000000E+0	NaN	NaN	75.000000000E+0	146.287565395E-12
891.259831429E+0	286.065700000E+0	100.000001490E-3	-11.572153333E-12	19.893213739E-12	-8.641434192E+9	14.855134774E+9	NaN	0.000000000E+0	NaN	27.170417096E+21	NaN	-0.000000000E+0	NaN	NaN	75.000000000E+0	44.966197432E-12
944.465698719E+0	285.059100000E+0	100.000001490E-3	-22.903760667E-12	45.934710017E-12	-4.366095287E+9	8.756436282E+9	NaN	0.000000000E+0	NaN	27.170417096E+21	NaN	-0.000000000E+0	NaN	NaN	75.000000000E+0	70.761584092E-12
995.752342701E+0	284.072100000E+0	100.000001490E-3	-13.546895000E-12	20.044674638E-12	-7.381765452E+9	10.922435491E+9	NaN	0.000000000E+0	NaN	27.170417096E+21	NaN	-0.000000000E+0	NaN	NaN	75.000000000E+0	105.859460087E-12
1.050459553E+3	283.017100000E+0	100.000001490E-3	-14.592558000E-12	18.169911584E-12	-6.852808225E+9	8.532768522E+9	NaN	0.000000000E+0	NaN	27.170417096E+21	NaN	-0.000000000E+0	NaN	NaN	75.000000000E+0	86.198638505E-12
1.104692258E+3	282.031900000E+0	100.000001490E-3	-14.740159333E-12	18.275414656E-12	-6.784187282E+9	8.411295488E+9	NaN	0.000000000E+0	NaN	27.170417096E+21	NaN	-0.000000000E+0	NaN	NaN	75.000000000E+0	131.302940742E-12
1.157824699E+3	281.075700000E+0	100.000001490E-3	-13.590610000E-12	17.527094980E-12	-7.358021567E+9	9.489253453E+9	NaN	0.000000000E+0	NaN	27.170417096E+21	NaN	-0.000000000E+0	NaN	NaN	75.000000000E+0	52.307429221E-12
1.211039071E+3	280.028200000E+0	100.000001490E-3	-14.562120333E-12	18.521628506E-12	-6.867131929E+9	8.734337004E+9	NaN	0.000000000E+0	NaN	27.170417096E+21	NaN	-0.000000000E+0	NaN	NaN	75.000000000E+0	113.552750536E-12
1.263387513E+3	279.039300000E+0	100.000001490E-3	-12.675820000E-12	15.345978428E-12	-7.889036093E+9	9.550859645E+9	NaN	0.000000000E+0	NaN	27.170417096E+21	NaN	-0.000000000E+0	NaN	NaN	75.000000000E+0	74.784151094E-12
1.315480737E+3	278.028900000E+0	100.000001490E-3	-13.472785000E-12	18.342788692E-12	-7.422370467E+9	10.105332570E+9	NaN	0.000000000E+0	NaN	27.170417096E+21	NaN	-0.000000000E+0	NaN	NaN	75.000000000E+0	13.237213409E-12
1.367886079E+3	277.045500000E+0	100.000001490E-3	-15.326110667E-12	16.021129181E-12	-6.524812698E+9	6.820704182E+9	NaN	0.000000000E+0	NaN	27.170417096E+21	NaN	-0.000000000E+0	NaN	NaN	75.000000000E+0	144.376607891E-12
1.419875282E+3	276.060400000E+0	100.000001490E-3	-16.601058333E-12	16.785313009E-12	-6.023712433E+9	6.090569447E+9	NaN	0.000000000E+0	NaN	27.170417096E+21	NaN	-0.000000000E+0	NaN	NaN	75.000000000E+0	139.700237489E-12
1.471999798E+3	275.049800000E+0	100.000001490E-3	-14.911162333E-12	16.433985613E-12	-6.706385408E+9	7.391284385E+9	NaN	0.000000000E+0	NaN	27.170417096E+21	NaN	-0.000000000E+0	NaN	NaN	75.000000000E+0	128.185295711E-12
1.523944726E+3	274.054700000E+0	100.000001490E-3	-16.192384667E-12	17.028887928E-12	-6.175742706E+9	6.494783355E+9	NaN	0.000000000E+0	NaN	27.170417096E+21	NaN	-0.000000000E+0	NaN	NaN	75.000000000E+0	149.706594343E-12
1.576265018E+3	273.029800000E+0	100.000001490E-3	-16.894773667E-12	16.539207574E-12	-5.918990302E+9	5.794419693E+9	NaN	0.000000000E+0	NaN	27.170417096E+21	NaN	-0.000000000E+0	NaN	NaN	75.000000000E+0	90.321770896E-12
1.628364989E+3	272.016800000E+0	100.000001490E-3	-15.751311667E-12	14.621116612E-12	-6.348677723E+9	5.893144602E+9	NaN	0.000000000E+0	NaN	27.170417096E+21	NaN	-0.000000000E+0	NaN	NaN	75.000000000E+0	100.831037964E-12
1.680311687E+3	271.058300000E+0	100.000001490E-3	-11.642896333E-12	18.108009053E-12	-8.588928272E+9	13.358221740E+9	NaN	0.000000000E+0	NaN	27.170417096E+21	NaN	-0.000000000E+0	NaN	NaN	75.000000000E+0	122.251958556E-12
1.733755023E+3	270.062500000E+0	100.000001490E-3	-11.618134667E-12	17.590342691E-12	-8.607233808E+9	13.031712633E+9	NaN	0.000000000E+0	NaN	27.170417096E+21	NaN	-0.000000000E+0	NaN	NaN	75.000000000E+0	106.161260338E-12
1.788587344E+3	269.019300000E+0	100.000001490E-3	-17.729663333E-12	14.080537170E-12	-5.640265109E+9	4.479383563E+9	NaN	0.000000000E+0	NaN	27.170417096E+21	NaN	-0.000000000E+0	NaN	NaN	75.000000000E+0	189.380469640E-12
1.840541162E+3	268.046000000E+0	100.000001490E-3	-17.135261667E-12	13.816796836E-12	-5.835919138E+9	4.705717989E+9	NaN	0.000000000E+0	NaN	27.170417096E+21	NaN	-0.000000000E+0	NaN	NaN	75.000000000E+0	111.088929722E-12
1.892653261E+3	267.035200000E+0	100.000001490E-3	-17.853213000E-12	13.989796121E-12	-5.601232758E+9	4.389131766E+9	NaN	0.000000000E+0	NaN	27.170417096E+21	NaN	-0.000000000E+0	NaN	NaN	75.000000000E+0	115.513931753E-12
1.944866443E+3	266.036800000E+0	100.000001490E-3	-15.594096667E-12	12.711474487E-12	-6.412683186E+9	5.227276735E+9	NaN	0.000000000E+0	NaN	27.170417096E+21	NaN	-0.000000000E+0	NaN	NaN	75.000000000E+0	2.476520725E-12
1.997066431E+3	265.025000000E+0	100.000001490E-3	-21.007156667E-12	16.487036037E-12	-4.760282559E+9	3.736010129E+9	NaN	0.000000000E+0	NaN	27.170417096E+21	NaN	-0.000000000E+0	NaN	NaN	75.000000000E+0	211.354017621E-12
2.048967995E+3	264.047800000E+0	100.000001490E-3	-17.991176333E-12	13.868036559E-12	-5.558280328E+9	4.284457746E+9	NaN	0.000000000E+0	NaN	27.170417096E+21	NaN	-0.000000000E+0	NaN	NaN	75.000000000E+0	158.154336849E-12
2.100741469E+3	263.039600000E+0	100.000001490E-3	-12.934956000E-12	14.224700040E-12	-7.730988918E+9	8.501845570E+9	NaN	0.000000000E+0	NaN	27.170417096E+21	NaN	-0.000000000E+0	NaN	NaN	75.000000000E+0	-26.688104851E-12
2.155100709E+3	262.016000000E+0	100.000001490E-3	-17.016861000E-12	12.039422843E-12	-5.876524554E+9	4.157638941E+9	NaN	0.000000000E+0	NaN	27.170417096E+21	NaN	-0.000000000E+0	NaN	NaN	75.000000000E+0	158.606808243E-12
2.206992003E+3	261.065900000E+0	100.000001490E-3	-17.180197000E-12	12.554444134E-12	-5.820655112E+9	4.253448865E+9	NaN	0.000000000E+0	NaN	27.170417096E+21	NaN	-0.000000000E+0	NaN	NaN	75.000000000E+0	124.715945904E-12
