[Main]
Experiment = "RvsVg_300.0K"
Header length = 74    
Date = "20191103 19:09:29"
Comments = "SD: 2V- to 1Vb; Volt1: 2Va to 2I+; Volt2: 2Vb to 2I-; Gate: 1I+ to 1Vb"

[System]
System = "PPMS"
Magnet stability range (G) = 5.000000E+1
Magnet check interval (s) = 1.000000E+0
Magnet approach mode = "Linear Approach"
Magnet mode = "Persistent"
Temperature stability time (s) = 1.000000E+0
Temperature approach mode = "Fast Settle"

[Static Temperature]
Set initial temperature = TRUE
Initial temperature (K) = 3.000000E+2
Delay after setting initial temperature (s) = 1.000000E+1
Initial temperature stabilization (K) = 2.000000E-1
Initial temperature ramp rate (K/min) = 1.000000E+1
Wait for initial temperature to stabilize = TRUE
Set final temperature = FALSE

[Dynamic Gate Voltage]
Pattern = "Linear Hysteresis"
Cycles = 1
Initial gate voltage (V) = -7.500000E+1
Final gate voltage (V) = 7.500000E+1
Measurement interval (V) = 5.000000E+0
Ramp step (V) = 1.000000E-1
Ramp delay (s) = 0.100000
Pre-measurement Delay = 1.000000E+0
Leak current measurement threshold = 1.000000
Check compliance = TRUE
Gate voltage source type = "Keithley 2400"
GPIB = "GPIB0::16::INSTR"
Gate leak limit (A) = 1.000000E-6
Autorange = TRUE
Number of current measurements = 30
Speed = 1.000000
Set finish gate voltage = FALSE

[Measure Voltage Configuration1]
Voltage meter = "Keithley 2182A"
Auto-range = "Manual"
GPIB = "GPIB0::7::INSTR"
Range (V) = 1.000000E+0
Speed = 1.000000

[Measure Voltage Configuration2]
Voltage meter = "Keithley 2182A"
Auto-range = "Manual"
GPIB = "GPIB0::8::INSTR"
Range (V) = 1.000000E+0
Speed = 1.000000

[Dynamic Voltage]
Voltage source = "Keithley 6430"
GPIB = "GPIB0::9::INSTR"
Initial Voltage (V) = 100.000000E-3
Final Voltage (V) = 100.000000E-3
Voltage step (V) = 1.000000E-12
Number of measurement sequences = 1.000000E+0
Samples/sequence = 100.000000E+0
Pre-measuement delay (s) = 1.000000E+0
Current limit (A) = 100.000000E-6
Auto-range = 0
Manual range (V) = 10.000000E+0
Measurement Type = "Subtract bias"
Pattern = "Linear"
Check compliance = 0
Measurement Speed = 1.000000
Time (s)	Gate Voltage (V)	Gate Leak Current (A)	Voltage 1 (V)	Current (A)	STD_Current (A)	Resistance 1 (Ohms)	STD_Resistance 1 (Ohms)	Voltage 2 (V)	Voltage 3 (V)	STD_Voltage 2 (V)	STD_Voltage 3 (V)	Resistance 2 (Ohms)	Resistance 3 (Ohms)	STD_Resistance 2 (Ohms)	STD_Resistance 3 (Ohms)	Temperature (K)
2.570107937E+0	0.000000000E+0	-71.114671675E-12	100.000001490E-3	31.492592381E-9	205.122936357E-12	3.175349945E+6	20.682232089E+3	37.556684212E-3	45.456365805E-3	146.088029017E-6	937.751854765E-6	1.192556134E+6	1.443398665E+6	4.638806080E+3	29.776902562E+3	299.993600000E+0
66.123144627E+0	-5.000000000E+0	-112.599382133E-12	100.000001490E-3	15.391892117E-9	469.813978323E-12	6.496927131E+6	198.308769250E+3	38.003896281E-3	42.742161704E-3	289.684354247E-6	3.255106680E-3	2.469085411E+6	2.776927059E+6	18.820581124E+3	211.481905846E+3	300.004500000E+0
129.687655926E+0	-10.000000000E+0	-141.215825607E-12	100.000001490E-3	13.632982231E-9	350.209571946E-12	7.335152338E+6	188.428365644E+3	37.978494249E-3	40.370773733E-3	278.243921277E-6	4.432881542E-3	2.785780367E+6	2.961257709E+6	20.409615194E+3	325.158609256E+3	300.000600000E+0
193.236543655E+0	-15.000000000E+0	-158.194204958E-12	100.000001490E-3	12.873331665E-9	296.134166858E-12	7.767996979E+6	178.692616128E+3	37.799524938E-3	43.154354945E-3	258.009893266E-6	4.825047889E-3	2.936265912E+6	3.352228939E+6	20.042200416E+3	374.809568644E+3	299.998400000E+0
257.101624012E+0	-20.000000000E+0	-183.563781999E-12	100.000001490E-3	12.220524037E-9	286.835476862E-12	8.182955263E+6	192.067203339E+3	38.074024960E-3	43.517859417E-3	258.598343060E-6	5.156659292E-3	3.115580383E+6	3.561046915E+6	21.160986409E+3	421.967116625E+3	300.004200000E+0
320.898702145E+0	-25.000000000E+0	-191.415210534E-12	100.000001490E-3	12.012201235E-9	316.002334404E-12	8.324868984E+6	219.000496327E+3	38.254724288E-3	41.821315172E-3	338.552923627E-6	5.808966289E-3	3.184655630E+6	3.481569644E+6	28.184086913E+3	483.588825631E+3	299.990200000E+0
384.434511662E+0	-30.000000000E+0	-206.529657265E-12	100.000001490E-3	11.640067518E-9	286.959863601E-12	8.591015587E+6	211.792299082E+3	38.551623536E-3	44.367430867E-3	336.115335098E-6	5.992098187E-3	3.311975938E+6	3.811612845E+6	28.875720400E+3	514.782081615E+3	300.004900000E+0
448.249499798E+0	-35.000000000E+0	-222.643193696E-12	100.000001490E-3	11.486532686E-9	255.376545281E-12	8.705847467E+6	193.554426811E+3	38.389375961E-3	42.409599945E-3	331.759436503E-6	6.299932934E-3	3.342120465E+6	3.692115028E+6	28.882470071E+3	548.462543657E+3	300.004500000E+0
511.827215195E+0	-40.000000000E+0	-241.460474300E-12	100.000001490E-3	11.225444925E-9	289.214904882E-12	8.908333002E+6	229.516308621E+3	38.569903580E-3	45.015296323E-3	276.961173377E-6	6.497866661E-3	3.435935398E+6	4.010112439E+6	24.672623243E+3	578.851591593E+3	300.004900000E+0
575.637774467E+0	-45.000000000E+0	-251.546268537E-12	100.000001490E-3	11.036247653E-9	257.377802517E-12	9.061050879E+6	211.313975281E+3	38.663175925E-3	45.421463989E-3	406.475760845E-6	6.736401444E-3	3.503289990E+6	4.115661901E+6	36.830974951E+3	610.388753113E+3	299.999500000E+0
