[Main]
Experiment = "RvsT_75.00Vg"
Header length = 73    
Date = "20191106 10:09:44"
Comments = "SD: 2V- to 1Vb; Volt1: 2Va to 2I+; Volt2: 2Vb to 2I-; Gate: 1I+ to 1Vb"

[System]
System = "PPMS"
Magnet stability range (G) = 5.000000E+1
Magnet check interval (s) = 1.000000E+0
Magnet approach mode = "Linear Approach"
Magnet mode = "Persistent"
Temperature stability time (s) = 1.000000E+0
Temperature approach mode = "Fast Settle"

[Static Gate Voltage]
Set initial gate voltage = TRUE
Initial gate voltage (V) = 7.500000E+1
Initial gate volt. ramp step (V) = 1.000000E-1
Initial voltage ramp delay (s) = 1.000000E-1
Delay after inital voltage set = 10.000000
Leak current threshold for initial set = 1.000000
Set final gate voltage = FALSE
Gate voltage source type = "Keithley 2400"
GPIB = "GPIB0::16::INSTR"
Gate leak limit (A) = 1.000000E-6
Auto-range = FALSE
Manual range (V) = 5.000000
Check Compliance = TRUE
Measuement speed = 1.000000
Number of measurements = 1

[Dynamic Temperature]
Initial temperature (K) = 4.000000E+0
Final temperature (K) = 3.000000E+2
Ramp rate (K/min) = 1.000000E+1
Step control = "Step Control"
Temperature interval (K) = 1.000000
Stability Temperature (K) = 0.200000
Stability time (s) = FALSE
Go to other temperature at finish = FALSE

[Measure Voltage Configuration1]
Voltage meter = "Keithley 2182A"
Auto-range = "Manual"
GPIB = "GPIB0::7::INSTR"
Range (V) = 1.000000E+0
Speed = 1.000000

[Measure Voltage Configuration2]
Voltage meter = "Keithley 2182A"
Auto-range = "Manual"
GPIB = "GPIB0::8::INSTR"
Range (V) = 1.000000E+0
Speed = 1.000000

[Dynamic Voltage]
Voltage source = "Keithley 6430"
GPIB = "GPIB0::9::INSTR"
Initial Voltage (V) = 100.000000E-3
Final Voltage (V) = 100.000000E-3
Voltage step (V) = 1.000000E-12
Number of measurement sequences = 1.000000E+0
Samples/sequence = 30.000000E+0
Pre-measuement delay (s) = 1.000000E+0
Current limit (A) = 100.000000E-6
Auto-range = 0
Manual range (V) = 10.000000E+0
Measurement Type = "Subtract bias"
Pattern = "Linear"
Check compliance = 0
Measurement Speed = 1.000000
Time (s)	Temperature (K)	Voltage 1 (V)	Current (A)	STD_Current (A)	Resistance 1 (Ohms)	STD_Resistance 1 (Ohms)	Voltage 2 (V)	Voltage 3 (V)	STD_Voltage 2 (V)	STD_Voltage 3 (V)	Resistance 2 (Ohms)	Resistance 3 (Ohms)	STD_Resistance 2 (Ohms)	STD_Resistance 3 (Ohms)	Gate Voltage (V)	Gate Leak Current (A)
2.126083374E+0	3.999800000E+0	100.000001490E-3	5.209123022E-6	948.310865425E-12	19.197089620E+3	3.494793384E+0	24.015632049E-3	30.700072671E-3	14.165408090E-6	8.375378972E-6	4.610302338E+3	5.893520376E+3	2.719346045E+0	1.607828983E+0	75.000000000E+0	117.727702587E-12
48.525056362E+0	4.882900000E+0	100.000001490E-3	5.192215146E-6	928.525776967E-12	19.259602825E+3	3.444201978E+0	23.786833914E-3	30.721255684E-3	18.143743058E-6	5.540120368E-6	4.581249668E+3	5.916791739E+3	3.494412798E+0	1.067005163E+0	75.000000000E+0	143.824951948E-12
93.557137012E+0	5.850200000E+0	100.000001490E-3	5.190014228E-6	693.743291786E-12	19.267770203E+3	2.575500902E+0	23.740852373E-3	30.774805960E-3	13.330501999E-6	7.507337634E-6	4.574332811E+3	5.929618804E+3	2.568490454E+0	1.446496542E+0	75.000000000E+0	97.513427888E-12
139.730507374E+0	6.870000000E+0	100.000001490E-3	5.201955145E-6	802.420340635E-12	19.223541670E+3	2.965300627E+0	23.681760708E-3	30.734193023E-3	17.705826453E-6	7.911510853E-6	4.552473070E+3	5.908200314E+3	3.403686875E+0	1.520872563E+0	75.000000000E+0	137.740596706E-12
185.968480110E+0	7.883500000E+0	100.000001490E-3	5.218390580E-6	750.401006418E-12	19.162996706E+3	2.755625857E+0	23.624997706E-3	30.682366082E-3	11.676046798E-6	6.433763902E-6	4.527257465E+3	5.879660714E+3	2.237480430E+0	1.232901946E+0	75.000000000E+0	104.854847027E-12
231.016993999E+0	8.866900000E+0	100.000001490E-3	5.235068071E-6	1.201906736E-9	19.101948652E+3	4.385570625E+0	23.550733694E-3	30.736198399E-3	10.551749040E-6	8.513607087E-6	4.498648991E+3	5.871212748E+3	2.015589654E+0	1.626264830E+0	75.000000000E+0	150.965198675E-12
276.301766396E+0	9.876400000E+0	100.000001490E-3	5.254675859E-6	618.216374224E-12	19.030669858E+3	2.238971924E+0	23.527578310E-3	30.753319726E-3	15.336462439E-6	7.829428886E-6	4.477455687E+3	5.852562660E+3	2.918631491E+0	1.489992741E+0	75.000000000E+0	102.692548909E-12
321.650609970E+0	10.887800000E+0	100.000001490E-3	5.278305609E-6	1.678498644E-9	18.945473963E+3	6.024651605E+0	23.440644386E-3	30.794178773E-3	14.169067908E-6	10.718819454E-6	4.440941113E+3	5.834103035E+3	2.684397031E+0	2.030731119E+0	75.000000000E+0	135.276581603E-12
365.917600155E+0	11.865300000E+0	100.000001490E-3	5.298507657E-6	503.234843519E-12	18.873239026E+3	1.792518215E+0	23.404668629E-3	30.829348576E-3	11.138711400E-6	6.098343504E-6	4.417218988E+3	5.818496560E+3	2.102235596E+0	1.150954929E+0	75.000000000E+0	121.699872402E-12
410.236790657E+0	12.881400000E+0	100.000001490E-3	5.325183318E-6	713.733341794E-12	18.778696528E+3	2.516905246E+0	23.395768062E-3	30.869680231E-3	16.171059377E-6	7.684841654E-6	4.393420219E+3	5.796923483E+3	3.036714121E+0	1.443113071E+0	75.000000000E+0	91.428892235E-12
