[Main]
Experiment = "RvsVg_300.0K"
Header length = 74    
Date = "20191121 12:46:13"
Comments = "SD: 1I+ to 1V-; Volt1: 1I+ to 1Va; Volt2: 1Va to 1V-; Gate: 2Va to 1V-; "

[System]
System = "PPMS"
Magnet stability range (G) = 5.000000E+1
Magnet check interval (s) = 1.000000E+0
Magnet approach mode = "Linear Approach"
Magnet mode = "Persistent"
Temperature stability time (s) = 1.000000E+0
Temperature approach mode = "Fast Settle"

[Static Temperature]
Set initial temperature = TRUE
Initial temperature (K) = 3.000000E+2
Delay after setting initial temperature (s) = 1.000000E+1
Initial temperature stabilization (K) = 2.000000E-1
Initial temperature ramp rate (K/min) = 1.000000E+1
Wait for initial temperature to stabilize = TRUE
Set final temperature = FALSE

[Dynamic Gate Voltage]
Pattern = "Linear Hysteresis"
Cycles = 1
Initial gate voltage (V) = -7.500000E+1
Final gate voltage (V) = 7.500000E+1
Measurement interval (V) = 5.000000E+0
Ramp step (V) = 1.000000E-1
Ramp delay (s) = 0.100000
Pre-measurement Delay = 1.000000E+0
Leak current measurement threshold = 1.000000
Check compliance = TRUE
Gate voltage source type = "Keithley 2400"
GPIB = "GPIB0::16::INSTR"
Gate leak limit (A) = 1.000000E-6
Autorange = TRUE
Number of current measurements = 30
Speed = 1.000000
Set finish gate voltage = FALSE

[Measure Voltage Configuration1]
Voltage meter = "Keithley 2182A"
Auto-range = "Manual"
GPIB = "GPIB0::7::INSTR"
Range (V) = 1.000000E+0
Speed = 1.000000

[Measure Voltage Configuration2]
Voltage meter = "Keithley 2182A"
Auto-range = "Manual"
GPIB = "GPIB0::8::INSTR"
Range (V) = 1.000000E+0
Speed = 1.000000

[Dynamic Voltage]
Voltage source = "Keithley 6430"
GPIB = "GPIB0::9::INSTR"
Initial Voltage (V) = 100.000000E-3
Final Voltage (V) = 100.000000E-3
Voltage step (V) = 1.000000E-12
Number of measurement sequences = 1.000000E+0
Samples/sequence = 30.000000E+0
Pre-measuement delay (s) = 1.000000E+0
Current limit (A) = 100.000000E-6
Auto-range = 0
Manual range (V) = 10.000000E+0
Measurement Type = "Subtract bias"
Pattern = "Linear"
Check compliance = 0
Measurement Speed = 1.000000
Time (s)	Gate Voltage (V)	Gate Leak Current (A)	Voltage 1 (V)	Current (A)	STD_Current (A)	Resistance 1 (Ohms)	STD_Resistance 1 (Ohms)	Voltage 2 (V)	Voltage 3 (V)	STD_Voltage 2 (V)	STD_Voltage 3 (V)	Resistance 2 (Ohms)	Resistance 3 (Ohms)	STD_Resistance 2 (Ohms)	STD_Resistance 3 (Ohms)	Temperature (K)
2.580341339E+0	0.000000000E+0	-65.863850774E-12	100.000001490E-3	4.407112388E-9	2.528969706E-9	22.690594812E+6	13.020731454E+6	149.122136533E-3	-131.078072800E-3	231.316925825E-3	172.650437112E-3	33.836699272E+6	-29.742393944E+6	52.487185589E+6	39.175410543E+6	300.008700000E+0
43.720542908E+0	-5.000000000E+0	-131.751374509E-12	100.000001490E-3	3.727454237E-9	2.318514151E-9	26.827962232E+6	16.687263245E+6	-165.393150657E-3	430.568660070E-3	234.933803542E-3	167.735006036E-3	-44.371611331E+6	115.512795783E+6	63.027951144E+6	44.999883398E+6	300.006500000E+0
87.719122887E+0	-10.000000000E+0	-167.802221424E-12	100.000001490E-3	3.262219884E-9	2.537285409E-9	30.653973382E+6	23.842010090E+6	-201.845829033E-3	439.781662833E-3	234.552282389E-3	171.434474521E-3	-61.873765782E+6	134.810551855E+6	71.899593139E+6	52.551477404E+6	300.004600000E+0
129.166395187E+0	-15.000000000E+0	-195.212131876E-12	100.000001490E-3	3.774872115E-9	2.439288617E-9	26.490964052E+6	17.118224166E+6	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	299.999400000E+0
174.418123245E+0	-20.000000000E+0	-244.845464736E-12	100.000001490E-3	2.914215822E-9	2.111471606E-9	34.314548953E+6	24.862330106E+6	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	300.005700000E+0
215.584035873E+0	-25.000000000E+0	-267.375883008E-12	100.000001490E-3	3.216711957E-9	2.257758045E-9	31.087645657E+6	21.819915191E+6	184.911562767E-3	-89.782384200E-3	235.114967211E-3	175.287332460E-3	57.484650555E+6	-27.911229047E+6	73.091706804E+6	54.492703985E+6	300.005100000E+0
256.396282196E+0	-30.000000000E+0	-294.507427704E-12	100.000001490E-3	3.616096322E-9	2.273957971E-9	27.654131028E+6	17.390115221E+6	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	300.003400000E+0
298.551290989E+0	-35.000000000E+0	-336.581068109E-12	100.000001490E-3	3.370017865E-9	2.559584668E-9	29.673433639E+6	22.537466806E+6	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	300.001500000E+0
341.338708878E+0	-40.000000000E+0	-360.931697492E-12	100.000001490E-3	3.740370917E-9	2.242432962E-9	26.735316818E+6	16.028398522E+6	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	300.004000000E+0
384.307955265E+0	-45.000000000E+0	-393.574800528E-12	100.000001490E-3	2.694706229E-9	1.918067235E-9	37.109797128E+6	26.414414010E+6	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	300.002900000E+0
427.818257332E+0	-50.000000000E+0	-404.121710170E-12	100.000001490E-3	3.364325957E-9	2.314456940E-9	29.723636401E+6	20.448100872E+6	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	299.999800000E+0
469.790977478E+0	-55.000000000E+0	-425.924532680E-12	100.000001490E-3	2.728112096E-9	1.896636441E-9	36.655385834E+6	25.483535156E+6	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	299.999200000E+0
511.014283180E+0	-60.000000000E+0	-453.062657761E-12	100.000001490E-3	2.471700112E-9	2.164448712E-9	40.457983153E+6	35.428743593E+6	NaN	0.000000000E+0	NaN	27.170417096E+21	NaN	0.000000000E+0	NaN	NaN	300.000800000E+0
552.293993473E+0	-65.000000000E+0	-480.440656703E-12	100.000001490E-3	3.274301876E-9	2.096324320E-9	30.540861926E+6	19.553344204E+6	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	300.001000000E+0
590.892906189E+0	-70.000000000E+0	-500.723022305E-12	100.000001490E-3	2.664602074E-9	1.644705240E-9	37.529056385E+6	23.164522869E+6	NaN	0.000000000E+0	NaN	27.170417096E+21	NaN	0.000000000E+0	NaN	NaN	300.002200000E+0
627.488463879E+0	-75.000000000E+0	-519.339234580E-12	100.000001490E-3	3.332434420E-9	2.351623171E-9	30.008092850E+6	21.176028567E+6	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	300.009500000E+0
670.100823879E+0	-70.000000000E+0	-383.024345574E-12	100.000001490E-3	3.457405822E-9	2.479476770E-9	28.923420226E+6	20.742415628E+6	0.000000000E+0	0.000000000E+0	27.170417096E+21	27.170417096E+21	0.000000000E+0	0.000000000E+0	NaN	NaN	300.006200000E+0
708.502676487E+0	-65.000000000E+0	-319.503222953E-12	100.000001490E-3	3.028804371E-9	2.092450302E-9	33.016328971E+6	22.809339616E+6	0.000000000E+0	0.000000000E+0	27.170417096E+21	27.170417096E+21	0.000000000E+0	0.000000000E+0	NaN	NaN	300.001700000E+0
752.092444897E+0	-60.000000000E+0	-285.918219193E-12	100.000001490E-3	2.326178531E-9	2.236418055E-9	42.988962437E+6	41.330143184E+6	0.000000000E+0	0.000000000E+0	27.170417096E+21	27.170417096E+21	0.000000000E+0	0.000000000E+0	NaN	NaN	299.996100000E+0
787.639857292E+0	-55.000000000E+0	-243.093690085E-12	100.000001490E-3	2.971866809E-9	2.180305616E-9	33.648883994E+6	24.686453151E+6	0.000000000E+0	0.000000000E+0	27.170417096E+21	27.170417096E+21	0.000000000E+0	0.000000000E+0	NaN	NaN	299.985900000E+0
826.273483276E+0	-50.000000000E+0	-206.251703216E-12	100.000001490E-3	3.719340873E-9	2.241643117E-9	26.886484705E+6	16.204458111E+6	0.000000000E+0	0.000000000E+0	27.170417096E+21	27.170417096E+21	0.000000000E+0	0.000000000E+0	NaN	NaN	299.996700000E+0
863.433117390E+0	-45.000000000E+0	-175.695536939E-12	100.000001490E-3	4.758211300E-9	2.744518704E-9	21.016301124E+6	12.122124868E+6	0.000000000E+0	0.000000000E+0	27.170417096E+21	27.170417096E+21	0.000000000E+0	0.000000000E+0	NaN	NaN	299.995100000E+0
899.016974926E+0	-40.000000000E+0	-149.140588652E-12	100.000001490E-3	3.451914044E-9	2.349680482E-9	28.969435567E+6	19.719180853E+6	0.000000000E+0	0.000000000E+0	27.170417096E+21	27.170417096E+21	0.000000000E+0	0.000000000E+0	NaN	NaN	300.005000000E+0
