[Main]
Experiment = "RvsVg_300.0K"
Header length = 67    
Date = "20191121 16:29:03"
Comments = "SD: 1I+ to 1V-; Volt1: 1I+ to 1Va; Volt2: 1Va to 1V-; Gate: 2Va to 1V-; "

[System]
System = "PPMS"
Magnet stability range (G) = 5.000000E+1
Magnet check interval (s) = 1.000000E+0
Magnet approach mode = "Linear Approach"
Magnet mode = "Persistent"
Temperature stability time (s) = 1.000000E+0
Temperature approach mode = "Fast Settle"

[Static Temperature]
Set initial temperature = TRUE
Initial temperature (K) = 3.000000E+2
Delay after setting initial temperature (s) = 1.000000E+1
Initial temperature stabilization (K) = 2.000000E-1
Initial temperature ramp rate (K/min) = 1.000000E+1
Wait for initial temperature to stabilize = TRUE
Set final temperature = FALSE

[Dynamic Gate Voltage]
Pattern = "Linear Hysteresis"
Cycles = 1
Initial gate voltage (V) = -7.500000E+1
Final gate voltage (V) = 7.500000E+1
Measurement interval (V) = 5.000000E+0
Ramp step (V) = 1.000000E-1
Ramp delay (s) = 0.100000
Pre-measurement Delay = 1.000000E+0
Leak current measurement threshold = 1.000000
Check compliance = TRUE
Gate voltage source type = "Keithley 2400"
GPIB = "GPIB0::16::INSTR"
Gate leak limit (A) = 1.000000E-6
Autorange = TRUE
Number of current measurements = 30
Speed = 1.000000
Set finish gate voltage = FALSE

[Measure Voltage Configuration1]
Voltage meter = "Keithley 2182A"
Auto-range = "Manual"
GPIB = "GPIB0::8::INSTR"
Range (V) = 1.000000E+0
Speed = 1.000000

[Dynamic Voltage]
Voltage source = "Keithley 6430"
GPIB = "GPIB0::9::INSTR"
Initial Voltage (V) = 500.000000E-3
Final Voltage (V) = 500.000000E-3
Voltage step (V) = 1.000000E-12
Number of measurement sequences = 1.000000E+0
Samples/sequence = 30.000000E+0
Pre-measuement delay (s) = 1.000000E+0
Current limit (A) = 100.000000E-6
Auto-range = 0
Manual range (V) = 10.000000E+0
Measurement Type = "Subtract bias"
Pattern = "Linear"
Check compliance = 0
Measurement Speed = 1.000000
Time (s)	Gate Voltage (V)	Gate Leak Current (A)	Voltage 1 (V)	Current (A)	STD_Current (A)	Resistance 1 (Ohms)	STD_Resistance 1 (Ohms)	Voltage 2 (V)	STD_Voltage 2 (V)	Resistance 2 (Ohms)	STD_Resistance 2 (Ohms)	Temperature (K)
2.579834461E+0	0.000000000E+0	-63.258751478E-12	500.000000000E-3	27.842906497E-9	173.940641338E-12	17.957895310E+6	112.186844706E+3	NaN	NaN	NaN	NaN	300.000500000E+0
26.555749416E+0	-5.000000000E+0	-127.125260087E-12	500.000000000E-3	23.588664790E-9	194.940820824E-12	21.196621532E+6	175.172560082E+3	0.000000000E+0	27.170417096E+21	0.000000000E+0	NaN	300.000200000E+0
49.765143871E+0	-10.000000000E+0	-174.132139726E-12	500.000000000E-3	22.926625943E-9	156.651631772E-12	21.808704047E+6	149.013164185E+3	0.000000000E+0	27.170417096E+21	0.000000000E+0	NaN	299.999200000E+0
72.999748707E+0	-15.000000000E+0	-216.549453369E-12	500.000000000E-3	22.246650159E-9	152.905797519E-12	22.475293872E+6	154.477312736E+3	0.000000000E+0	27.170417096E+21	0.000000000E+0	NaN	300.001400000E+0
96.215141773E+0	-20.000000000E+0	-260.886057202E-12	500.000000000E-3	22.414925589E-9	122.831457652E-12	22.306565240E+6	122.237654229E+3	0.000000000E+0	27.170417096E+21	0.000000000E+0	NaN	300.000000000E+0
119.490067005E+0	-25.000000000E+0	-313.568585912E-12	500.000000000E-3	22.262262486E-9	115.304796031E-12	22.459532148E+6	116.326531275E+3	0.000000000E+0	27.170417096E+21	0.000000000E+0	NaN	299.997200000E+0
142.740899086E+0	-30.000000000E+0	-343.921996437E-12	500.000000000E-3	22.168833215E-9	114.845544866E-12	22.554186553E+6	116.841866170E+3	0.000000000E+0	27.170417096E+21	0.000000000E+0	NaN	299.999400000E+0
165.967134476E+0	-35.000000000E+0	-377.301006179E-12	500.000000000E-3	21.772106020E-9	243.705924637E-12	22.965164672E+6	257.060418759E+3	0.000000000E+0	27.170417096E+21	0.000000000E+0	NaN	300.001800000E+0
189.178894520E+0	-40.000000000E+0	-415.822667965E-12	500.000000000E-3	21.854482815E-9	118.518835956E-12	22.878601349E+6	124.072723347E+3	0.000000000E+0	27.170417096E+21	0.000000000E+0	NaN	299.997000000E+0
212.390357494E+0	-45.000000000E+0	-447.594207068E-12	500.000000000E-3	21.439716187E-9	152.159822080E-12	23.321204238E+6	165.512932014E+3	0.000000000E+0	27.170417096E+21	0.000000000E+0	NaN	299.998900000E+0
235.583556175E+0	-50.000000000E+0	-475.015841476E-12	500.000000000E-3	21.373874230E-9	138.314929161E-12	23.393044921E+6	151.381416219E+3	0.000000000E+0	27.170417096E+21	0.000000000E+0	NaN	299.997300000E+0
258.819948196E+0	-55.000000000E+0	-509.920331885E-12	500.000000000E-3	21.471307120E-9	163.383031116E-12	23.286891534E+6	177.198477147E+3	0.000000000E+0	27.170417096E+21	0.000000000E+0	NaN	300.001500000E+0
282.045693398E+0	-60.000000000E+0	-538.215289003E-12	500.000000000E-3	21.294463574E-9	234.670727392E-12	23.480281542E+6	258.759030479E+3	0.000000000E+0	27.170417096E+21	0.000000000E+0	NaN	300.006000000E+0
305.267158985E+0	-65.000000000E+0	-565.992282671E-12	500.000000000E-3	21.309987845E-9	153.717871786E-12	23.463176218E+6	169.249721766E+3	0.000000000E+0	27.170417096E+21	0.000000000E+0	NaN	300.000200000E+0
328.556661606E+0	-70.000000000E+0	-598.315336164E-12	500.000000000E-3	21.194440098E-9	115.647304917E-12	23.591092650E+6	128.724621759E+3	0.000000000E+0	27.170417096E+21	0.000000000E+0	NaN	299.999600000E+0
354.173962593E+0	-75.000000000E+0	-614.871586979E-12	500.000000000E-3	21.170523081E-9	116.491861003E-12	23.617744261E+6	129.957817814E+3	0.000000000E+0	27.170417096E+21	0.000000000E+0	NaN	300.009500000E+0
379.707390308E+0	-70.000000000E+0	-486.593740301E-12	500.000000000E-3	22.771280180E-9	149.419785634E-12	21.957483112E+6	144.079840650E+3	0.000000000E+0	27.170417096E+21	0.000000000E+0	NaN	299.998100000E+0
402.971380711E+0	-65.000000000E+0	-419.453443275E-12	500.000000000E-3	23.831956801E-9	175.994096622E-12	20.980232726E+6	154.934701186E+3	0.000000000E+0	27.170417096E+21	0.000000000E+0	NaN	300.010000000E+0
426.185420036E+0	-60.000000000E+0	-363.073033675E-12	500.000000000E-3	24.394142575E-9	171.005082879E-12	20.496723690E+6	143.683834043E+3	0.000000000E+0	27.170417096E+21	0.000000000E+0	NaN	299.992900000E+0
449.442242622E+0	-55.000000000E+0	-311.736383004E-12	500.000000000E-3	25.535786036E-9	140.333419765E-12	19.580364563E+6	107.605049459E+3	0.000000000E+0	27.170417096E+21	0.000000000E+0	NaN	300.001800000E+0
472.662628174E+0	-50.000000000E+0	-266.724219563E-12	500.000000000E-3	26.207457312E-9	187.577147699E-12	19.078539136E+6	136.552657926E+3	0.000000000E+0	27.170417096E+21	0.000000000E+0	NaN	300.001300000E+0
