[Main]
Experiment = "RvsB_0.00Vg_2.0K"
Header length = 71    
Date = "20200220 14:40:41"
Comments = ""

[System]
System = "PPMS"
Magnet stability range (G) = 5.000000E+1
Magnet check interval (s) = 1.000000E+0
Magnet approach mode = "Linear Approach"
Magnet mode = "Persistent"
Temperature stability time (s) = 1.000000E+0
Temperature approach mode = "Fast Settle"

[Static Gate Voltage]
Set initial gate voltage = TRUE
Initial gate voltage (V) = 0.000000E+0
Initial gate volt. ramp step (V) = 1.000000E-1
Initial voltage ramp delay (s) = 5.000000E-2
Delay after inital voltage set = 1.000000
Leak current threshold for initial set = 1.000000
Set final gate voltage = FALSE
Gate voltage source type = "Keithley 2400"
GPIB = "GPIB0::16::INSTR"
Gate leak limit (A) = 1.000000E-6
Auto-range = TRUE
Manual range (V) = 5.000000
Check Compliance = TRUE
Measuement speed = 1.000000
Number of measurements = 0

[Static Temperature]
Set initial temperature = TRUE
Initial temperature (K) = 2.000000E+0
Delay after setting initial temperature (s) = 1.000000E+1
Initial temperature stabilization (K) = 2.000000E-1
Initial temperature ramp rate (K/min) = 1.000000E+1
Wait for initial temperature to stabilize = TRUE
Set final temperature = FALSE

[Dynamic magnetic field]
Initial field (T) = -9.000000E+0
Final field (T) = 9.000000E+0
Measurement interval (T) = 2.000000E-1
Ramp rate (G/s) = 1.000000E+2
Delay after field step (s) = 1.000000E+0
Measurement Pattern = "Linear"
Go to other field at finish = TRUE
Finish field (T) = 0.000000
Finish ramp rate (G/s) = 100.000000
Delay before setting finish field (s) = 0.000000
Stabilize finish field = TRUE

[Dynamic Voltage]
Voltage source = "Keithley 6430"
GPIB = "GPIB0::9::INSTR"
Initial Voltage (V) = 100.000000E-3
Final Voltage (V) = 100.000000E-3
Voltage step (V) = 1.000000E-12
Number of measurement sequences = 1.000000E+0
Samples/sequence = 30.000000E+0
Pre-measuement delay (s) = 1.000000E+0
Current limit (A) = 100.000000E-6
Auto-range = 0
Manual range (V) = 10.000000E+0
Measurement Type = "Subtract bias"
Pattern = "Linear"
Check compliance = 0
Measurement Speed = 1.000000
Time (s)	Magnetic Field (T)	Voltage 1 (V)	Current (A)	STD_Current (A)	Resistance 1 (Ohms)	STD_Resistance 1 (Ohms)	Gate Voltage (V)	Gate Leak Current (A)	Temperature (K)
921.306885719E+0	-8.999978125E+0	100.000001490E-3	595.461966867E-12	906.210800286E-12	167.936840729E+6	255.576656954E+6	0.000000000E+0	-79.123955998E-12	2.000700000E+0
1.040669631E+3	-8.799964844E+0	100.000001490E-3	802.392288333E-12	1.044441905E-9	124.627321254E+6	162.222392545E+6	0.000000000E+0	-67.401875400E-12	1.999300000E+0
1.144037863E+3	-8.599975781E+0	100.000001490E-3	762.963428467E-12	1.063373612E-9	131.067883150E+6	182.674716935E+6	0.000000000E+0	-74.904778213E-12	2.000000000E+0
1.260374822E+3	-8.399987500E+0	100.000001490E-3	539.117783333E-12	984.540905476E-12	185.488226472E+6	338.739978706E+6	0.000000000E+0	-60.678202567E-12	1.999800000E+0
1.399235167E+3	-8.199977344E+0	100.000001490E-3	982.903735000E-12	988.994206413E-12	101.739364629E+6	102.369783122E+6	0.000000000E+0	-69.483715656E-12	1.999200000E+0
1.505847612E+3	-7.999959375E+0	100.000001490E-3	659.649905667E-12	982.774330055E-12	151.595567029E+6	225.853487655E+6	0.000000000E+0	-66.028897627E-12	2.000800000E+0
1.624243758E+3	-7.799968750E+0	100.000001490E-3	608.742358667E-12	969.448869837E-12	164.273111714E+6	261.612125767E+6	0.000000000E+0	-76.031284740E-12	2.000700000E+0
1.756269276E+3	-7.599976563E+0	100.000001490E-3	674.444398667E-12	960.270223507E-12	148.270193492E+6	211.106285597E+6	0.000000000E+0	-70.122479524E-12	2.000600000E+0
1.873563238E+3	-7.399968750E+0	100.000001490E-3	700.146865667E-12	1.000125680E-9	142.827178688E+6	204.021664887E+6	0.000000000E+0	-67.753822344E-12	1.999900000E+0
1.999458960E+3	-7.199979687E+0	100.000001490E-3	551.403931333E-12	894.866963572E-12	181.355256660E+6	294.319315900E+6	0.000000000E+0	-69.006201447E-12	2.000300000E+0
2.132936711E+3	-6.999975781E+0	100.000001490E-3	567.398462000E-12	930.159592998E-12	176.242990046E+6	288.922369144E+6	0.000000000E+0	-63.977442094E-12	2.001100000E+0
2.264962794E+3	-6.799980469E+0	100.000001490E-3	578.076163667E-12	936.675011485E-12	172.987588445E+6	280.297236900E+6	0.000000000E+0	-63.569775138E-12	2.000100000E+0
