[Main]
Experiment = "RvsB_75.00Vg_1.8K"
Header length = 71    
Date = "20200225 04:12:16"
Comments = ""

[System]
System = "PPMS"
Magnet stability range (G) = 5.000000E+1
Magnet check interval (s) = 1.000000E+0
Magnet approach mode = "Linear Approach"
Magnet mode = "Persistent"
Temperature stability time (s) = 1.000000E+0
Temperature approach mode = "Fast Settle"

[Static Gate Voltage]
Set initial gate voltage = TRUE
Initial gate voltage (V) = 7.500000E+1
Initial gate volt. ramp step (V) = 1.000000E-1
Initial voltage ramp delay (s) = 5.000000E-2
Delay after inital voltage set = 1.000000
Leak current threshold for initial set = 1.000000
Set final gate voltage = FALSE
Gate voltage source type = "Keithley 2400"
GPIB = "GPIB0::16::INSTR"
Gate leak limit (A) = 1.000000E-6
Auto-range = TRUE
Manual range (V) = 5.000000
Check Compliance = TRUE
Measuement speed = 1.000000
Number of measurements = 0

[Static Temperature]
Set initial temperature = TRUE
Initial temperature (K) = 1.800000E+0
Delay after setting initial temperature (s) = 1.000000E+1
Initial temperature stabilization (K) = 2.000000E-1
Initial temperature ramp rate (K/min) = 1.000000E+1
Wait for initial temperature to stabilize = TRUE
Set final temperature = FALSE

[Dynamic magnetic field]
Initial field (T) = -9.000000E+0
Final field (T) = 9.000000E+0
Measurement interval (T) = 5.000000E-2
Ramp rate (G/s) = 1.000000E+2
Delay after field step (s) = 1.000000E+0
Measurement Pattern = "Linear+Reveresed"
Go to other field at finish = TRUE
Finish field (T) = 0.000000
Finish ramp rate (G/s) = 100.000000
Delay before setting finish field (s) = 0.000000
Stabilize finish field = TRUE

[Dynamic Voltage]
Voltage source = "Keithley 6430"
GPIB = "GPIB0::9::INSTR"
Initial Voltage (V) = 50.000000E-3
Final Voltage (V) = 50.000000E-3
Voltage step (V) = 1.000000E-12
Number of measurement sequences = 1.000000E+0
Samples/sequence = 30.000000E+0
Pre-measuement delay (s) = 1.000000E+0
Current limit (A) = 100.000000E-6
Auto-range = 0
Manual range (V) = 10.000000E+0
Measurement Type = "Subtract bias"
Pattern = "Linear"
Check compliance = 0
Measurement Speed = 1.000000
Time (s)	Magnetic Field (T)	Voltage 1 (V)	Current (A)	STD_Current (A)	Resistance 1 (Ohms)	STD_Resistance 1 (Ohms)	Gate Voltage (V)	Gate Leak Current (A)	Temperature (K)
921.315225601E+0	-8.999979687E+0	50.000000745E-3	736.077001951E-9	412.083830118E-12	67.927676877E+3	38.028490476E+0	75.000000000E+0	100.075994713E-12	1.825300000E+0
960.217863083E+0	-8.949968750E+0	50.000000745E-3	738.986570650E-9	574.255478951E-12	67.660229199E+3	52.577758335E+0	75.000000000E+0	100.473256798E-12	1.825300000E+0
998.750419140E+0	-8.899971094E+0	50.000000745E-3	738.889678671E-9	743.784217813E-12	67.669101611E+3	68.117354003E+0	75.000000000E+0	97.989152209E-12	1.821300000E+0
1.037310408E+3	-8.849962500E+0	50.000000745E-3	740.251989052E-9	738.261646678E-12	67.544567910E+3	67.362958380E+0	75.000000000E+0	97.521475617E-12	1.821300000E+0
1.075817326E+3	-8.799960937E+0	50.000000745E-3	741.054652527E-9	907.410888929E-12	67.471407911E+3	82.617779972E+0	75.000000000E+0	94.112161814E-12	1.819000000E+0
1.114128677E+3	-8.749979687E+0	50.000000745E-3	739.939962617E-9	714.951343789E-12	67.573050884E+3	65.291031670E+0	75.000000000E+0	103.917822264E-12	1.819000000E+0
1.152673112E+3	-8.699981250E+0	50.000000745E-3	739.568829106E-9	543.878038427E-12	67.606960674E+3	49.718078573E+0	75.000000000E+0	104.038493098E-12	1.817200000E+0
1.190990628E+3	-8.649982812E+0	50.000000745E-3	741.181265771E-9	848.076433665E-12	67.459882021E+3	77.189128762E+0	75.000000000E+0	103.238952803E-12	1.817200000E+0
1.229442595E+3	-8.599977344E+0	50.000000745E-3	739.988276068E-9	853.394379883E-12	67.568639075E+3	77.923797859E+0	75.000000000E+0	95.600629496E-12	1.814400000E+0
1.267996877E+3	-8.549985156E+0	50.000000745E-3	740.434564039E-9	708.548891541E-12	67.527912895E+3	64.619927477E+0	75.000000000E+0	101.463935170E-12	1.814400000E+0
1.306489545E+3	-8.499980469E+0	50.000000745E-3	740.483037307E-9	900.269304600E-12	67.523492404E+3	82.094152720E+0	75.000000000E+0	101.765632032E-12	1.812300000E+0
1.345108771E+3	-8.449956250E+0	50.000000745E-3	740.419794300E-9	865.125771570E-12	67.529259928E+3	78.902946070E+0	75.000000000E+0	101.468936031E-12	1.812300000E+0
1.383348538E+3	-8.399952344E+0	50.000000745E-3	740.374440571E-9	871.104083733E-12	67.533396624E+3	79.457926103E+0	75.000000000E+0	100.201785758E-12	1.810400000E+0
1.421871686E+3	-8.349952344E+0	50.000000745E-3	740.671269457E-9	545.722995882E-12	67.506332170E+3	49.738337846E+0	75.000000000E+0	103.766972792E-12	1.810400000E+0
