[Main]
Experiment = "IvsV_2.0K"
Header length = 41    
Date = "20200204 16:40:10"
Comments = "SD: 3I+ to 2V-; BG: 3I- to 2V-"

[System]
System = "PPMS"
Magnet stability range (G) = 5.000000E+1
Magnet check interval (s) = 1.000000E+0
Magnet approach mode = "Linear Approach"
Magnet mode = "Persistent"
Temperature stability time (s) = 1.000000E+0
Temperature approach mode = "Fast Settle"

[Static Temperature]
Set initial temperature = TRUE
Initial temperature (K) = 2.000000E+0
Delay after setting initial temperature (s) = 1.000000E+1
Initial temperature stabilization (K) = 2.000000E-1
Initial temperature ramp rate (K/min) = 1.000000E+1
Wait for initial temperature to stabilize = TRUE
Set final temperature = FALSE

[Dynamic Voltage]
Voltage source = "Keithley 6430"
GPIB = "GPIB0::9::INSTR"
Initial Voltage (V) = 0.000000E+0
Final Voltage (V) = -10.000000E+0
Voltage step (V) = 100.000000E-3
Number of measurement sequences = 1.000000E+0
Samples/sequence = 30.000000E+0
Pre-measuement delay (s) = 1.000000E+0
Current limit (A) = 100.000000E-6
Auto-range = 0
Manual range (V) = 10.000000E+0
Measurement Type = "Static"
Pattern = "Linear"
Check compliance = 0
Measurement Speed = 1.000000
Time (s)	Voltage 1 (V)	Current (A)	STD_Current (A)	Resistance 1 (Ohms)	STD_Resistance 1 (Ohms)	Temperature (K)
0.000000000E+0	0.000000000E+0	-20.149189667E-12	562.578740276E-15	-0.000000000E+0	0.000000000E+0	2.000200000E+0
8.925119877E+0	-100.000001490E-3	-18.423853333E-12	711.867210396E-15	5.427746285E+9	209.719136215E+6	2.000300000E+0
17.336143017E+0	-200.000002980E-3	-16.999731000E-12	595.565614245E-15	11.764892220E+9	412.169184407E+6	2.000100000E+0
25.788219929E+0	-300.000011921E-3	-15.886479667E-12	535.199996311E-15	18.883982998E+9	636.182958267E+6	2.000000000E+0
34.201689243E+0	-400.000005960E-3	-15.049592333E-12	519.226825330E-15	26.578793438E+9	916.996436348E+6	1.999600000E+0
42.640457630E+0	-500.000000000E-3	-14.282998333E-12	477.929028407E-15	35.006655349E+9	1.171371472E+9	1.999800000E+0
51.099760532E+0	-600.000023842E-3	-13.672943667E-12	438.034489332E-15	43.882285956E+9	1.405838800E+9	2.000200000E+0
59.525635242E+0	-699.999988079E-3	-13.154084000E-12	417.422673397E-15	53.215411129E+9	1.688701333E+9	2.000300000E+0
67.973497391E+0	-800.000011921E-3	-12.708148667E-12	402.682820299E-15	62.951735371E+9	1.994750219E+9	2.000600000E+0
76.399478436E+0	-899.999976158E-3	-12.326451000E-12	396.570967692E-15	73.013714666E+9	2.349023209E+9	2.022500000E+0
84.887032032E+0	-1.000000000E+0	-11.989968333E-12	380.352303231E-15	83.403055971E+9	2.645757149E+9	2.416400000E+0
93.296630859E+0	-1.100000024E+0	-11.703161000E-12	366.595227496E-15	93.991702228E+9	2.944239549E+9	2.750100000E+0
101.717106819E+0	-1.200000048E+0	-11.488555333E-12	368.352549976E-15	104.451779433E+9	3.348991948E+9	2.943600000E+0
110.154881477E+0	-1.299999952E+0	-11.364960000E-12	368.685504265E-15	114.386672044E+9	3.710766062E+9	3.069700000E+0
118.566374302E+0	-1.399999976E+0	-11.671234667E-12	376.209126305E-15	119.953031204E+9	3.866551085E+9	3.143000000E+0
126.942145348E+0	-1.500000000E+0	-13.067218000E-12	473.178170871E-15	114.791074887E+9	4.156709626E+9	3.189700000E+0
135.346784592E+0	-1.600000024E+0	-16.117158667E-12	564.172682783E-15	99.273082615E+9	3.475002170E+9	3.216100000E+0
143.750262260E+0	-1.700000048E+0	-20.953614000E-12	928.614159181E-15	81.131591318E+9	3.595558478E+9	3.231900000E+0
152.135560036E+0	-1.799999952E+0	-27.654423000E-12	1.126647201E-12	65.089043887E+9	2.651741789E+9	3.240700000E+0
160.580019951E+0	-1.899999976E+0	-40.464308667E-12	1.722807702E-12	46.954959538E+9	1.999153540E+9	3.244700000E+0
168.999207020E+0	-2.000000000E+0	-61.288945667E-12	2.172375987E-12	32.632312047E+9	1.156646608E+9	3.245800000E+0
177.424967766E+0	-2.099999905E+0	-100.006442333E-12	4.185294391E-12	20.998646244E+9	878.798548297E+6	3.243600000E+0
186.841129303E+0	-2.200000048E+0	-164.381643333E-12	15.235992270E-12	13.383489805E+9	1.240471522E+9	3.240600000E+0
195.151974201E+0	-2.299999952E+0	-270.467593333E-12	6.488746767E-12	8.503791245E+9	204.013158373E+6	3.236500000E+0
203.159611225E+0	-2.400000095E+0	-434.437940000E-12	4.568830365E-12	5.524379605E+9	58.097949009E+6	3.232300000E+0
211.166474342E+0	-2.500000000E+0	-694.771706667E-12	2.797242669E-12	3.598304272E+9	14.487248326E+6	3.228400000E+0
219.174210072E+0	-2.599999905E+0	-1.131571767E-9	7.407401064E-12	2.297688915E+9	15.040940235E+6	3.226700000E+0
222.519219875E+0	-2.700000048E+0	-1.796082700E-9	42.897155465E-12	1.503271563E+9	35.903733132E+6	3.225100000E+0
225.592747211E+0	-2.799999952E+0	-2.699013333E-9	30.372835919E-12	1.037416125E+9	11.674366088E+6	3.223800000E+0
228.643578053E+0	-2.900000095E+0	-4.116238433E-9	64.098385449E-12	704.526752358E+6	10.970945455E+6	3.221300000E+0
231.701622963E+0	-3.000000000E+0	-6.322075467E-9	33.320324749E-12	474.527711005E+6	2.500985241E+6	3.219700000E+0
234.764410973E+0	-3.099999905E+0	-9.360808800E-9	35.605143284E-12	331.167954700E+6	1.259643555E+6	3.218600000E+0
