[Main]
Experiment = "Rvst"
Header length = 36    
Date = "20200210 09:36:47"
Comments = ""

[System]
System = "PPMS"
Magnet stability range (G) = 5.000000E+1
Magnet check interval (s) = 1.000000E+0
Magnet approach mode = "Linear Approach"
Magnet mode = "Persistent"
Temperature stability time (s) = 1.000000E+0
Temperature approach mode = "Fast Settle"

[Time Sweep ]
Interval = 5.000000E+0
Duration = 3.600000E+3

[Dynamic Voltage]
Voltage source = "Keithley 6430"
GPIB = "GPIB0::9::INSTR"
Initial Voltage (V) = 100.000000E-3
Final Voltage (V) = 100.000000E-3
Voltage step (V) = 1.000000E-12
Number of measurement sequences = 1.000000E+0
Samples/sequence = 30.000000E+0
Pre-measuement delay (s) = 1.000000E+0
Current limit (A) = 1.000000E-3
Auto-range = 0
Manual range (V) = 10.000000E+0
Measurement Type = "Subtract bias"
Pattern = "Linear"
Check compliance = 0
Measurement Speed = 1.000000
Time (s)	Voltage 1 (V)	Current (A)	STD_Current (A)	Resistance 1 (Ohms)	STD_Resistance 1 (Ohms)
0.000000000E+0	100.000001490E-3	1.201929670E-9	32.165868813E-12	83.199544833E+6	2.226574242E+6
13.093465805E+0	100.000001490E-3	1.123537644E-9	26.691237882E-12	89.004584769E+6	2.114430751E+6
28.092868328E+0	100.000001490E-3	1.157535479E-9	22.636285531E-12	86.390441825E+6	1.689415783E+6
43.094008923E+0	100.000001490E-3	1.124171724E-9	30.384824561E-12	88.954382431E+6	2.404315324E+6
58.092673779E+0	100.000001490E-3	1.136113186E-9	35.553298010E-12	88.019400471E+6	2.754461452E+6
73.093639374E+0	100.000001490E-3	1.161332225E-9	31.175786307E-12	86.108005425E+6	2.311556262E+6
88.092228889E+0	100.000001490E-3	1.146301759E-9	32.090702482E-12	87.237065414E+6	2.442200486E+6
103.092449665E+0	100.000001490E-3	1.143584556E-9	25.873715424E-12	87.444344172E+6	1.978437069E+6
118.092155457E+0	100.000001490E-3	1.152834895E-9	29.715485352E-12	86.742691333E+6	2.235880597E+6
133.092801094E+0	100.000001490E-3	1.141446273E-9	28.283665518E-12	87.608154527E+6	2.170824679E+6
148.092338562E+0	100.000001490E-3	1.159102680E-9	21.454834273E-12	86.273634983E+6	1.596913348E+6
163.092873096E+0	100.000001490E-3	1.186590625E-9	25.192731098E-12	84.275064556E+6	1.789259915E+6
178.092794418E+0	100.000001490E-3	1.165887934E-9	34.841907786E-12	85.771538248E+6	2.563234373E+6
193.092149734E+0	100.000001490E-3	1.204022188E-9	21.402074407E-12	83.054949086E+6	1.476341731E+6
208.092410564E+0	100.000001490E-3	1.210893125E-9	27.878917105E-12	82.583672718E+6	1.901359682E+6
223.092478752E+0	100.000001490E-3	1.215854989E-9	22.400625708E-12	82.246651476E+6	1.515292920E+6
238.094943523E+0	100.000001490E-3	1.183059332E-9	20.937144905E-12	84.526615653E+6	1.495906377E+6
253.092614651E+0	100.000001490E-3	1.149781466E-9	18.507063081E-12	86.973050521E+6	1.399931883E+6
268.092703342E+0	100.000001490E-3	1.159391874E-9	27.117699303E-12	86.252115208E+6	2.017401516E+6
283.092245579E+0	100.000001490E-3	1.158371172E-9	22.240258832E-12	86.328116497E+6	1.657464983E+6
298.092524052E+0	100.000001490E-3	1.144910595E-9	35.395804174E-12	87.343065857E+6	2.700279016E+6
313.094898701E+0	100.000001490E-3	1.205454437E-9	41.722808314E-12	82.956268123E+6	2.871256156E+6
328.092434406E+0	100.000001490E-3	1.227617574E-9	24.332955550E-12	81.458593986E+6	1.614613858E+6
343.092953682E+0	100.000001490E-3	1.254100954E-9	41.555530778E-12	79.738398389E+6	2.642188779E+6
358.092251301E+0	100.000001490E-3	1.212587263E-9	36.741624021E-12	82.468292805E+6	2.498804910E+6
373.092361927E+0	100.000001490E-3	1.167311298E-9	35.966516221E-12	85.666952466E+6	2.639520272E+6
388.092517853E+0	100.000001490E-3	1.158107819E-9	24.955360467E-12	86.347747456E+6	1.860655051E+6
403.092565060E+0	100.000001490E-3	1.185495032E-9	23.678474390E-12	84.352948623E+6	1.684822863E+6
418.092913151E+0	100.000001490E-3	1.133170963E-9	21.515024665E-12	88.247938495E+6	1.675525260E+6
433.093324184E+0	100.000001490E-3	1.162250420E-9	24.811688681E-12	86.039978767E+6	1.836779002E+6
448.092280388E+0	100.000001490E-3	1.140937097E-9	20.557960542E-12	87.647252184E+6	1.579270896E+6
463.093109608E+0	100.000001490E-3	1.172534505E-9	17.857321603E-12	85.285337939E+6	1.298868137E+6
478.092642784E+0	100.000001490E-3	1.148708124E-9	18.626875182E-12	87.054317284E+6	1.411629176E+6
493.092502594E+0	100.000001490E-3	1.159460517E-9	20.801530127E-12	86.247008881E+6	1.547331477E+6
508.092136383E+0	100.000001490E-3	1.165958824E-9	21.160492915E-12	85.766323323E+6	1.556536680E+6
523.093104839E+0	100.000001490E-3	1.144605751E-9	23.255979140E-12	87.366328042E+6	1.775099855E+6
538.092854500E+0	100.000001490E-3	1.175012380E-9	21.353192358E-12	85.105487586E+6	1.546599745E+6
553.093031406E+0	100.000001490E-3	1.193839951E-9	17.545358911E-12	83.763323087E+6	1.231033998E+6
