[Main]
Experiment = "IvsV_300.0K"
Header length = 41    
Date = "20200213 15:14:58"
Comments = "3I+ to 2V-; BG: 3I- to 2V-"

[System]
System = "PPMS"
Magnet stability range (G) = 5.000000E+1
Magnet check interval (s) = 1.000000E+0
Magnet approach mode = "Linear Approach"
Magnet mode = "Persistent"
Temperature stability time (s) = 1.000000E+0
Temperature approach mode = "Fast Settle"

[Static Temperature]
Set initial temperature = TRUE
Initial temperature (K) = 3.000000E+2
Delay after setting initial temperature (s) = 1.000000E+1
Initial temperature stabilization (K) = 2.000000E-1
Initial temperature ramp rate (K/min) = 1.000000E+1
Wait for initial temperature to stabilize = TRUE
Set final temperature = FALSE

[Dynamic Voltage]
Voltage source = "Keithley 6430"
GPIB = "GPIB0::9::INSTR"
Initial Voltage (V) = 0.000000E+0
Final Voltage (V) = 10.000000E+0
Voltage step (V) = 100.000000E-3
Number of measurement sequences = 1.000000E+0
Samples/sequence = 30.000000E+0
Pre-measuement delay (s) = 1.000000E+0
Current limit (A) = 100.000000E-6
Auto-range = 0
Manual range (V) = 10.000000E+0
Measurement Type = "Static"
Pattern = "Linear"
Check compliance = 1
Measurement Speed = 1.000000
Time (s)	Voltage 1 (V)	Current (A)	STD_Current (A)	Resistance 1 (Ohms)	STD_Resistance 1 (Ohms)	Temperature (K)
0.000000000E+0	0.000000000E+0	1.266628400E-12	69.201597967E-15	0.000000000E+0	0.000000000E+0	300.002200000E+0
8.437404156E+0	100.000001490E-3	218.103326667E-12	8.233946464E-12	458.498286195E+6	17.309457861E+6	300.002200000E+0
16.678483486E+0	200.000002980E-3	386.176850000E-12	17.170660041E-12	517.897442532E+6	23.027379610E+6	300.002200000E+0
24.592665672E+0	300.000011921E-3	611.834580000E-12	27.794208096E-12	490.328630855E+6	22.274478179E+6	300.002200000E+0
32.508737564E+0	400.000005960E-3	896.031370000E-12	32.811585018E-12	446.412948645E+6	16.347102242E+6	300.002200000E+0
40.416292191E+0	500.000000000E-3	1.177124467E-9	54.939819015E-12	424.763917630E+6	19.824966195E+6	300.002200000E+0
43.765985012E+0	600.000023842E-3	1.486923300E-9	42.110130289E-12	403.517803401E+6	11.427749686E+6	300.002200000E+0
46.754575253E+0	699.999988079E-3	1.917285033E-9	61.927539888E-12	365.099594431E+6	11.792570903E+6	300.002200000E+0
49.747117996E+0	800.000011921E-3	2.388996300E-9	50.372335186E-12	334.868669291E+6	7.060754700E+6	300.002200000E+0
52.738041878E+0	899.999976158E-3	2.937923500E-9	61.349331022E-12	306.338805676E+6	6.396926535E+6	300.002200000E+0
55.729547977E+0	1.000000000E+0	3.517907467E-9	70.147185361E-12	284.259892983E+6	5.668151193E+6	300.002200000E+0
58.717744827E+0	1.100000024E+0	4.123764933E-9	80.079694251E-12	266.746539055E+6	5.179970642E+6	300.001700000E+0
61.752683163E+0	1.200000048E+0	4.768496400E-9	112.687454810E-12	251.651662709E+6	5.946944905E+6	300.001700000E+0
64.741571426E+0	1.299999952E+0	5.486289100E-9	132.438542452E-12	236.954328986E+6	5.720056925E+6	300.001700000E+0
67.728296280E+0	1.399999976E+0	6.265040367E-9	123.406045339E-12	223.462243533E+6	4.401662263E+6	300.001700000E+0
70.718196869E+0	1.500000000E+0	7.071689767E-9	149.732243548E-12	212.113377353E+6	4.491177205E+6	300.001700000E+0
73.711783409E+0	1.600000024E+0	8.138147133E-9	172.383379835E-12	196.604951671E+6	4.164513802E+6	300.001700000E+0
76.709287167E+0	1.700000048E+0	9.116895667E-9	166.560089674E-12	186.466985018E+6	3.406637400E+6	300.001700000E+0
79.701291561E+0	1.799999952E+0	10.320147333E-9	182.573612644E-12	174.416109982E+6	3.085593478E+6	300.001700000E+0
83.416581154E+0	1.899999976E+0	11.256874000E-9	217.590276225E-12	168.785754923E+6	3.262552200E+6	300.001700000E+0
86.408678532E+0	2.000000000E+0	12.713428000E-9	236.766159284E-12	157.313983294E+6	2.929707678E+6	300.001700000E+0
89.396387577E+0	2.099999905E+0	14.189734667E-9	269.148741427E-12	147.994303908E+6	2.807133577E+6	300.001700000E+0
92.382892132E+0	2.200000048E+0	15.904934000E-9	289.457564773E-12	138.321859599E+6	2.517351448E+6	300.001700000E+0
95.373034000E+0	2.299999952E+0	17.643468000E-9	325.821645959E-12	130.359856255E+6	2.407353414E+6	300.001700000E+0
98.363726616E+0	2.400000095E+0	18.988861667E-9	378.588880751E-12	126.389887793E+6	2.519888080E+6	300.001700000E+0
101.352078438E+0	2.500000000E+0	20.955474333E-9	350.989950074E-12	119.300568445E+6	1.998203424E+6	300.001700000E+0
104.342182636E+0	2.599999905E+0	23.193516000E-9	395.680537648E-12	112.100291505E+6	1.912426887E+6	300.001700000E+0
107.333847523E+0	2.700000048E+0	25.522244000E-9	380.260071599E-12	105.790072679E+6	1.576183529E+6	300.001700000E+0
110.325011253E+0	2.799999952E+0	28.198107000E-9	462.199349014E-12	99.297444056E+6	1.627599115E+6	300.001700000E+0
113.317059517E+0	2.900000095E+0	30.445951667E-9	637.425675257E-12	95.250761977E+6	1.994198833E+6	300.001700000E+0
116.308289051E+0	3.000000000E+0	33.337708667E-9	604.790129211E-12	89.988188150E+6	1.632504756E+6	300.001700000E+0
119.294747353E+0	3.099999905E+0	36.164330333E-9	549.467078983E-12	85.719820499E+6	1.302394347E+6	299.999500000E+0
122.306377888E+0	3.200000048E+0	39.960247333E-9	664.705809071E-12	80.079585619E+6	1.332057965E+6	299.999500000E+0
125.294201851E+0	3.299999952E+0	42.919893333E-9	690.943400094E-12	76.887422033E+6	1.237767680E+6	299.999500000E+0
128.284944057E+0	3.400000095E+0	46.915853000E-9	770.186289790E-12	72.470175388E+6	1.189694569E+6	299.999500000E+0
