[Main]
Experiment = "IvsV_300.0K"
Header length = 41    
Date = "20200213 15:20:53"
Comments = "3I+ to 2V-; BG: 3I- to 2V-"

[System]
System = "PPMS"
Magnet stability range (G) = 5.000000E+1
Magnet check interval (s) = 1.000000E+0
Magnet approach mode = "Linear Approach"
Magnet mode = "Persistent"
Temperature stability time (s) = 1.000000E+0
Temperature approach mode = "Fast Settle"

[Static Temperature]
Set initial temperature = TRUE
Initial temperature (K) = 3.000000E+2
Delay after setting initial temperature (s) = 1.000000E+1
Initial temperature stabilization (K) = 2.000000E-1
Initial temperature ramp rate (K/min) = 1.000000E+1
Wait for initial temperature to stabilize = TRUE
Set final temperature = FALSE

[Dynamic Voltage]
Voltage source = "Keithley 6430"
GPIB = "GPIB0::9::INSTR"
Initial Voltage (V) = 0.000000E+0
Final Voltage (V) = -10.000000E+0
Voltage step (V) = 100.000000E-3
Number of measurement sequences = 1.000000E+0
Samples/sequence = 30.000000E+0
Pre-measuement delay (s) = 1.000000E+0
Current limit (A) = 100.000000E-6
Auto-range = 0
Manual range (V) = 10.000000E+0
Measurement Type = "Static"
Pattern = "Linear"
Check compliance = 1
Measurement Speed = 1.000000
Time (s)	Voltage 1 (V)	Current (A)	STD_Current (A)	Resistance 1 (Ohms)	STD_Resistance 1 (Ohms)	Temperature (K)
0.000000000E+0	0.000000000E+0	-23.137628667E-12	890.107470616E-15	-0.000000000E+0	0.000000000E+0	300.001800000E+0
8.392488956E+0	-100.000001490E-3	-318.512073333E-12	44.121118707E-12	313.959845991E+6	43.490532366E+6	300.001800000E+0
16.634232044E+0	-200.000002980E-3	-849.014760000E-12	92.216044362E-12	235.567168444E+6	25.586212960E+6	300.001800000E+0
24.656934261E+0	-300.000011921E-3	-2.107231167E-9	199.484896094E-12	142.366920472E+6	13.477425157E+6	300.001800000E+0
27.647972584E+0	-400.000005960E-3	-4.613575200E-9	349.974134053E-12	86.700658084E+6	6.576892414E+6	300.001800000E+0
30.635354519E+0	-500.000000000E-3	-7.648022733E-9	494.332099589E-12	65.376374709E+6	4.225620360E+6	300.001800000E+0
33.625511169E+0	-600.000023842E-3	-11.681893333E-9	870.771618098E-12	51.361539326E+6	3.828503602E+6	300.001800000E+0
37.339246273E+0	-699.999988079E-3	-15.260792000E-9	919.423542205E-12	45.869178223E+6	2.763500238E+6	300.001800000E+0
40.333968163E+0	-800.000011921E-3	-20.161187333E-9	824.919531607E-12	39.680203288E+6	1.623563839E+6	300.001800000E+0
43.324040890E+0	-899.999976158E-3	-24.143961333E-9	1.269743135E-9	37.276400659E+6	1.960384759E+6	300.001800000E+0
46.315326214E+0	-1.000000000E+0	-28.051594333E-9	817.425176176E-12	35.648597656E+6	1.038802318E+6	300.001800000E+0
49.300431252E+0	-1.100000024E+0	-34.118602333E-9	1.739691157E-9	32.240477294E+6	1.643926462E+6	300.001800000E+0
52.330702305E+0	-1.200000048E+0	-41.271640333E-9	1.829291544E-9	29.075656746E+6	1.288726413E+6	300.001800000E+0
55.359262466E+0	-1.299999952E+0	-50.638449000E-9	1.357164417E-9	25.672191348E+6	688.042096207E+3	300.001800000E+0
58.350508690E+0	-1.399999976E+0	-63.132061000E-9	1.993653181E-9	22.175736923E+6	700.289643010E+3	300.003300000E+0
61.362990379E+0	-1.500000000E+0	-68.175138000E-9	2.972883997E-9	22.002155683E+6	959.438564478E+3	300.003300000E+0
64.353547096E+0	-1.600000024E+0	-75.777274000E-9	1.867142116E-9	21.114510187E+6	520.258768086E+3	300.003300000E+0
67.339040756E+0	-1.700000048E+0	-82.444933667E-9	2.478068567E-9	20.619824313E+6	619.775360473E+3	300.003300000E+0
70.321991920E+0	-1.799999952E+0	-86.160471667E-9	1.480677680E-9	20.891249984E+6	359.018549405E+3	300.003300000E+0
73.312843323E+0	-1.899999976E+0	-99.155681000E-9	2.779086870E-9	19.161786365E+6	537.057164520E+3	300.003300000E+0
