[Main]
Experiment = "IvsV_300.0K"
Header length = 41    
Date = "20200216 17:18:20"
Comments = "SD: 1I+ to 1V+; BG: 3I- to 1V+"

[System]
System = "PPMS"
Magnet stability range (G) = 5.000000E+1
Magnet check interval (s) = 1.000000E+0
Magnet approach mode = "Linear Approach"
Magnet mode = "Persistent"
Temperature stability time (s) = 1.000000E+0
Temperature approach mode = "Fast Settle"

[Static Temperature]
Set initial temperature = TRUE
Initial temperature (K) = 3.000000E+2
Delay after setting initial temperature (s) = 1.000000E+1
Initial temperature stabilization (K) = 2.000000E-1
Initial temperature ramp rate (K/min) = 1.000000E+1
Wait for initial temperature to stabilize = TRUE
Set final temperature = FALSE

[Dynamic Voltage]
Voltage source = "Keithley 6430"
GPIB = "GPIB0::9::INSTR"
Initial Voltage (V) = 0.000000E+0
Final Voltage (V) = 10.000000E+0
Voltage step (V) = 100.000000E-3
Number of measurement sequences = 1.000000E+0
Samples/sequence = 30.000000E+0
Pre-measuement delay (s) = 1.000000E+0
Current limit (A) = 100.000000E-6
Auto-range = 0
Manual range (V) = 10.000000E+0
Measurement Type = "Static"
Pattern = "Linear"
Check compliance = 1
Measurement Speed = 1.000000
Time (s)	Voltage 1 (V)	Current (A)	STD_Current (A)	Resistance 1 (Ohms)	STD_Resistance 1 (Ohms)	Temperature (K)
0.000000000E+0	0.000000000E+0	-139.692000000E-15	14.445286224E-15	-0.000000000E+0	0.000000000E+0	300.014500000E+0
8.422410488E+0	100.000001490E-3	14.605136333E-12	915.293760884E-15	6.846906404E+9	429.090873908E+6	300.014500000E+0
16.756769657E+0	200.000002980E-3	29.594708667E-12	1.163704638E-12	6.757964920E+9	265.732472921E+6	300.014500000E+0
25.090538502E+0	300.000011921E-3	45.733390333E-12	898.802402021E-15	6.559758849E+9	128.919526126E+6	300.014500000E+0
33.425993919E+0	400.000005960E-3	64.307140000E-12	1.901806652E-12	6.220149208E+9	183.953463656E+6	300.014500000E+0
41.769011974E+0	500.000000000E-3	86.657516667E-12	897.920541744E-15	5.769839931E+9	59.785440387E+6	300.014500000E+0
51.097558498E+0	600.000023842E-3	115.160046667E-12	1.275935037E-12	5.210140506E+9	57.726624916E+6	299.998900000E+0
59.381093025E+0	699.999988079E-3	143.147553333E-12	1.319258294E-12	4.890059046E+9	45.067140907E+6	299.998900000E+0
67.290070534E+0	800.000011921E-3	181.687576667E-12	1.454298764E-12	4.403162982E+9	35.244646884E+6	299.998900000E+0
75.202335358E+0	899.999976158E-3	221.004923333E-12	3.636667519E-12	4.072307361E+9	67.010398164E+6	299.998900000E+0
83.109820366E+0	1.000000000E+0	268.062226667E-12	2.577232714E-12	3.730477108E+9	35.865954562E+6	299.998900000E+0
91.023477077E+0	1.100000024E+0	309.426823333E-12	2.711105193E-12	3.554960142E+9	31.147496520E+6	299.998900000E+0
98.934292793E+0	1.200000048E+0	367.310270000E-12	1.665608154E-12	3.266992910E+9	14.814532762E+6	299.998900000E+0
106.850479126E+0	1.299999952E+0	426.301383333E-12	1.976285926E-12	3.049485653E+9	14.137077226E+6	299.998900000E+0
114.762669563E+0	1.399999976E+0	491.110140000E-12	5.125332053E-12	2.850684321E+9	29.750360528E+6	300.001800000E+0
122.782696724E+0	1.500000000E+0	555.439936667E-12	2.851439800E-12	2.700562025E+9	13.863767316E+6	300.001800000E+0
130.691106319E+0	1.600000024E+0	643.068496667E-12	3.884500089E-12	2.488070916E+9	15.029365839E+6	300.001800000E+0
138.602661610E+0	1.700000048E+0	720.711713333E-12	5.492588355E-12	2.358779546E+9	17.976404192E+6	300.001800000E+0
146.511201859E+0	1.799999952E+0	808.361526667E-12	4.209541511E-12	2.226726400E+9	11.595674590E+6	300.001800000E+0
154.420472145E+0	1.899999976E+0	904.985050000E-12	13.137679575E-12	2.099482170E+9	30.478209574E+6	300.001800000E+0
162.329444885E+0	2.000000000E+0	1.016535577E-9	16.318157561E-12	1.967466802E+9	31.583187057E+6	300.001800000E+0
169.489294529E+0	2.099999905E+0	1.102413000E-9	23.128426097E-12	1.904912138E+9	39.964713408E+6	300.001800000E+0
172.771496773E+0	2.200000048E+0	1.200759967E-9	24.602130791E-12	1.832173048E+9	37.539027119E+6	300.001800000E+0
175.759075165E+0	2.299999952E+0	1.307891567E-9	33.095599583E-12	1.758555534E+9	44.499445733E+6	300.001800000E+0
178.747002602E+0	2.400000095E+0	1.392541200E-9	29.566943004E-12	1.723467927E+9	36.593300054E+6	300.001800000E+0
181.733812332E+0	2.500000000E+0	1.503926567E-9	32.038850246E-12	1.662315206E+9	35.413077418E+6	299.998900000E+0
184.840557575E+0	2.599999905E+0	1.618959233E-9	36.405350526E-12	1.605969966E+9	36.113262358E+6	299.998900000E+0
187.828595161E+0	2.700000048E+0	1.752710100E-9	38.171730790E-12	1.540471552E+9	33.549453140E+6	299.998900000E+0
190.821601868E+0	2.799999952E+0	1.906621300E-9	42.379130698E-12	1.468566386E+9	32.642332705E+6	299.998900000E+0
193.815333843E+0	2.900000095E+0	2.063980800E-9	45.376157428E-12	1.405051876E+9	30.889752040E+6	299.998900000E+0
196.804044247E+0	3.000000000E+0	2.228273967E-9	56.156415827E-12	1.346333550E+9	33.929969029E+6	299.998900000E+0
199.787309170E+0	3.099999905E+0	2.357554867E-9	64.608082132E-12	1.314921637E+9	36.035032025E+6	299.998900000E+0
202.772737503E+0	3.200000048E+0	2.539281133E-9	66.171067527E-12	1.260199198E+9	32.839501358E+6	299.998900000E+0
205.761223316E+0	3.299999952E+0	2.699707067E-9	68.775520741E-12	1.222354823E+9	31.139707892E+6	299.998900000E+0
208.751492977E+0	3.400000095E+0	2.877159633E-9	73.985274531E-12	1.181721047E+9	30.387593061E+6	299.998900000E+0
211.740777969E+0	3.500000000E+0	3.057381467E-9	113.974070917E-12	1.144770464E+9	42.675129506E+6	299.998900000E+0
214.729482651E+0	3.599999905E+0	3.188132733E-9	97.684820403E-12	1.129187586E+9	34.598461154E+6	299.998900000E+0
217.718320370E+0	3.700000048E+0	3.336371000E-9	115.706052244E-12	1.108989392E+9	38.459986782E+6	299.998900000E+0
