[Main]
Experiment = "IvsV_300.0K"
Header length = 41    
Date = "20200216 17:25:39"
Comments = "SD: 1I+ to 1V+; BG: 3I- to 1V+"

[System]
System = "PPMS"
Magnet stability range (G) = 5.000000E+1
Magnet check interval (s) = 1.000000E+0
Magnet approach mode = "Linear Approach"
Magnet mode = "Persistent"
Temperature stability time (s) = 1.000000E+0
Temperature approach mode = "Fast Settle"

[Static Temperature]
Set initial temperature = TRUE
Initial temperature (K) = 3.000000E+2
Delay after setting initial temperature (s) = 1.000000E+1
Initial temperature stabilization (K) = 2.000000E-1
Initial temperature ramp rate (K/min) = 1.000000E+1
Wait for initial temperature to stabilize = TRUE
Set final temperature = FALSE

[Dynamic Voltage]
Voltage source = "Keithley 6430"
GPIB = "GPIB0::9::INSTR"
Initial Voltage (V) = 0.000000E+0
Final Voltage (V) = -10.000000E+0
Voltage step (V) = 100.000000E-3
Number of measurement sequences = 1.000000E+0
Samples/sequence = 30.000000E+0
Pre-measuement delay (s) = 1.000000E+0
Current limit (A) = 100.000000E-6
Auto-range = 0
Manual range (V) = 10.000000E+0
Measurement Type = "Static"
Pattern = "Linear"
Check compliance = 1
Measurement Speed = 1.000000
Time (s)	Voltage 1 (V)	Current (A)	STD_Current (A)	Resistance 1 (Ohms)	STD_Resistance 1 (Ohms)	Temperature (K)
0.000000000E+0	0.000000000E+0	-38.620610667E-12	2.340730670E-12	-0.000000000E+0	0.000000000E+0	300.007000000E+0
8.807830811E+0	-100.000001490E-3	-84.583400333E-12	3.183865607E-12	1.182265091E+9	44.502504589E+6	300.007000000E+0
18.136055470E+0	-200.000002980E-3	-130.978496667E-12	6.405952874E-12	1.526968228E+9	74.681621480E+6	300.007000000E+0
26.639513969E+0	-300.000011921E-3	-172.689393333E-12	7.135866595E-12	1.737223150E+9	71.785489588E+6	300.007000000E+0
34.558901787E+0	-400.000005960E-3	-213.849813333E-12	7.729480093E-12	1.870471616E+9	67.607134633E+6	300.007000000E+0
42.471360207E+0	-500.000000000E-3	-253.241960000E-12	7.863659831E-12	1.974396344E+9	61.308881123E+6	300.007000000E+0
50.385383606E+0	-600.000023842E-3	-309.521723333E-12	13.139387715E-12	1.938474681E+9	82.289443636E+6	300.007000000E+0
58.298716068E+0	-699.999988079E-3	-353.556026667E-12	10.410371238E-12	1.979884192E+9	58.297208618E+6	299.997600000E+0
66.269369602E+0	-800.000011921E-3	-407.436453333E-12	10.984248666E-12	1.963496406E+9	52.934715599E+6	299.997600000E+0
74.182442665E+0	-899.999976158E-3	-456.681113333E-12	11.630758809E-12	1.970740523E+9	50.190837829E+6	299.997600000E+0
82.092932224E+0	-1.000000000E+0	-502.164980000E-12	9.302069823E-12	1.991377415E+9	36.888139356E+6	299.997600000E+0
90.008428097E+0	-1.100000024E+0	-552.999680000E-12	11.528520582E-12	1.989151285E+9	41.468326934E+6	299.997600000E+0
97.923100948E+0	-1.200000048E+0	-617.628096667E-12	15.113070360E-12	1.942916869E+9	47.542266132E+6	299.997600000E+0
105.839344025E+0	-1.299999952E+0	-675.417376667E-12	23.336334988E-12	1.924735722E+9	66.501513183E+6	299.997600000E+0
113.754436970E+0	-1.399999976E+0	-754.893866667E-12	12.518527985E-12	1.854565308E+9	30.754558660E+6	299.997600000E+0
121.674862385E+0	-1.500000000E+0	-831.551380000E-12	29.184238428E-12	1.803857267E+9	63.308415869E+6	299.997300000E+0
129.632974625E+0	-1.600000024E+0	-879.174296667E-12	29.823246794E-12	1.819889446E+9	61.734075139E+6	299.997300000E+0
137.544892788E+0	-1.700000048E+0	-971.222420000E-12	27.072881367E-12	1.750371504E+9	48.791707329E+6	299.997300000E+0
145.554820061E+0	-1.799999952E+0	-1.059807967E-9	28.732470220E-12	1.698420854E+9	46.045914124E+6	299.997300000E+0
148.840564251E+0	-1.899999976E+0	-1.173036067E-9	34.845826095E-12	1.619728523E+9	48.115126254E+6	299.997300000E+0
151.832706451E+0	-2.000000000E+0	-1.264275000E-9	36.491778269E-12	1.581934310E+9	45.660632444E+6	299.997300000E+0
154.823219299E+0	-2.099999905E+0	-1.413390033E-9	48.788093619E-12	1.485789382E+9	51.287210022E+6	299.997300000E+0
157.817996979E+0	-2.200000048E+0	-1.534930967E-9	46.753034940E-12	1.433289246E+9	43.657091848E+6	299.997300000E+0
160.814163208E+0	-2.299999952E+0	-1.661444967E-9	43.699501644E-12	1.384337127E+9	36.410981876E+6	299.997300000E+0
163.808259487E+0	-2.400000095E+0	-1.798777767E-9	55.328975116E-12	1.334239360E+9	41.040142752E+6	299.997300000E+0
166.800476074E+0	-2.500000000E+0	-1.954951333E-9	61.508999914E-12	1.278804212E+9	40.235256421E+6	299.997300000E+0
169.841455460E+0	-2.599999905E+0	-2.082874900E-9	55.718335256E-12	1.248274635E+9	33.392204486E+6	299.997300000E+0
172.829383373E+0	-2.700000048E+0	-2.254829300E-9	64.092779664E-12	1.197429911E+9	34.036550545E+6	299.997300000E+0
175.822004795E+0	-2.799999952E+0	-2.421435667E-9	81.040217307E-12	1.156338775E+9	38.700159120E+6	299.997300000E+0
178.822897911E+0	-2.900000095E+0	-2.554069367E-9	85.897916423E-12	1.135442965E+9	38.186975738E+6	299.997300000E+0
181.818812370E+0	-3.000000000E+0	-2.653021233E-9	97.427868117E-12	1.130786276E+9	41.526277574E+6	299.997300000E+0
184.808329582E+0	-3.099999905E+0	-2.878856733E-9	72.746063055E-12	1.076816317E+9	27.210158389E+6	299.997300000E+0
187.803631306E+0	-3.200000048E+0	-3.142552800E-9	112.108914925E-12	1.018280440E+9	36.326618032E+6	300.002500000E+0
190.850798607E+0	-3.299999952E+0	-3.233296733E-9	149.932336575E-12	1.020630095E+9	47.327996022E+6	300.002500000E+0
193.843163967E+0	-3.400000095E+0	-3.437534833E-9	115.537445338E-12	989.080914148E+6	33.243556093E+6	300.002500000E+0
196.837902546E+0	-3.500000000E+0	-3.713043333E-9	98.436395398E-12	942.622987612E+6	24.989853549E+6	300.002500000E+0
199.830892086E+0	-3.599999905E+0	-3.865088167E-9	150.052703563E-12	931.414692084E+6	36.159923567E+6	300.002500000E+0
202.825034618E+0	-3.700000048E+0	-4.089602733E-9	158.242082444E-12	904.733366282E+6	35.007530382E+6	300.002500000E+0
205.819795609E+0	-3.799999952E+0	-4.282440733E-9	125.138305742E-12	887.344434854E+6	25.929320708E+6	300.002500000E+0
208.815571308E+0	-3.900000095E+0	-4.638117433E-9	157.979347786E-12	840.858419698E+6	28.640556569E+6	300.002500000E+0
211.813132286E+0	-4.000000000E+0	-4.840456567E-9	174.152290339E-12	826.368328051E+6	29.731479874E+6	300.002500000E+0
214.811670780E+0	-4.099999905E+0	-5.157517533E-9	189.506718544E-12	794.956076859E+6	29.209695660E+6	300.002500000E+0
217.807873726E+0	-4.199999809E+0	-5.241135733E-9	228.448756616E-12	801.352993504E+6	34.929088711E+6	300.002500000E+0
220.798122406E+0	-4.300000191E+0	-5.600945400E-9	236.030860196E-12	767.727568052E+6	32.353002099E+6	300.002500000E+0
223.793463230E+0	-4.400000095E+0	-5.966301100E-9	252.262850589E-12	737.475367337E+6	31.181402897E+6	300.002500000E+0
226.788950443E+0	-4.500000000E+0	-6.454492033E-9	227.787383456E-12	697.188868893E+6	24.604698154E+6	300.002500000E+0
229.782488346E+0	-4.599999905E+0	-6.713278400E-9	221.909451889E-12	685.209167645E+6	22.649796681E+6	300.002500000E+0
232.777325630E+0	-4.699999809E+0	-7.027267933E-9	250.748612052E-12	668.823197557E+6	23.865105200E+6	300.002500000E+0
235.771722794E+0	-4.800000191E+0	-7.217562000E-9	208.750289334E-12	665.044538687E+6	19.234783140E+6	300.002500000E+0
238.762076855E+0	-4.900000095E+0	-7.686515800E-9	241.513067815E-12	637.480000414E+6	20.029848969E+6	300.002500000E+0
241.754066467E+0	-5.000000000E+0	-8.206230267E-9	189.299054139E-12	609.293163550E+6	14.055006477E+6	300.002500000E+0
244.742181778E+0	-5.099999905E+0	-8.487873433E-9	334.462456209E-12	600.857204657E+6	23.676622664E+6	300.002500000E+0
247.733469963E+0	-5.199999809E+0	-8.957064067E-9	332.879881463E-12	580.547350177E+6	21.575432717E+6	300.002500000E+0
250.727614403E+0	-5.300000191E+0	-9.568202600E-9	377.867435848E-12	553.918056745E+6	21.875330668E+6	300.001000000E+0
254.201301098E+0	-5.400000095E+0	-9.528861900E-9	488.640520799E-12	566.699376278E+6	29.060372715E+6	300.001000000E+0
257.585612774E+0	-5.500000000E+0	-10.109219000E-9	305.924051098E-12	544.057854519E+6	16.464217749E+6	300.001000000E+0
260.970189571E+0	-5.599999905E+0	-10.540159333E-9	275.920046064E-12	531.301257176E+6	13.908391962E+6	300.001000000E+0
